N1,N2,...,Nx
[0, 40, 35, 11, 50, 6, 32, 46, 33, 32, 17, 38, 31, 49, 7, 42, 43, 36, 43, 45, 15, 10, 33, 50, 40, 47, 27, 37, 31, 31, 19, 47, 12, 12, 0, 48, 41, 36, 50, 37, 32, 26, 49, 23, 13, 20, 13, 0, 4, 46, 49, 14, 22, 28, 35, 20, 37, 43, 50, 10, 17, 31, 31, 1, 5, 31, 8, 7, 5, 45, 1, 8, 9, 25, 4, 27, 8, 40, 12, 1, 7, 26, 43, 8, 30, 26, 22, 36, 47, 20, 5, 42, 1, 26, 16, 45, 31, 50, 6, 40, 1, 48, 35, 36, 40]
[40, 0, 50, 20, 32, 1, 43, 31, 3, 34, 47, 6, 4, 46, 50, 22, 25, 30, 49, 38, 24, 16, 18, 36, 15, 36, 46, 18, 33, 39, 15, 43, 45, 2, 0, 23, 32, 6, 46, 21, 18, 41, 22, 6, 25, 21, 48, 13, 41, 14, 46, 19, 11, 38, 35, 12, 37, 5, 16, 27, 10, 38, 32, 18, 15, 4, 37, 1, 4, 33, 44, 49, 6, 21, 32, 20, 0, 43, 40, 35, 16, 5, 18, 1, 21, 39, 24, 25, 26, 14, 32, 46, 49, 19, 33, 43, 36, 15, 46, 17, 4, 50, 42, 44, 6]
[35, 50, 0, 4, 18, 45, 28, 33, 30, 37, 13, 37, 37, 29, 16, 4, 49, 26, 46, 22, 42, 13, 11, 48, 40, 45, 7, 27, 48, 29, 16, 15, 32, 5, 18, 34, 7, 21, 40, 22, 37, 44, 3, 43, 6, 6, 30, 36, 13, 24, 6, 2, 43, 4, 28, 16, 27, 12, 36, 43, 13, 42, 29, 14, 49, 45, 23, 33, 30, 4, 46, 36, 26, 43, 41, 14, 5, 39, 24, 42, 18, 17, 0, 13, 29, 18, 48, 15, 20, 17, 42, 50, 16, 35, 24, 29, 16, 43, 48, 49, 19, 40, 50, 45, 49]
[11, 20, 4, 0, 8, 45, 18, 6, 12, 3, 48, 18, 20, 25, 38, 11, 19, 43, 26, 40, 45, 38, 11, 0, 1, 20, 19, 43, 2, 23, 48, 45, 28, 7, 18, 0, 17, 20, 21, 49, 45, 4, 40, 39, 46, 11, 46, 24, 12, 16, 14, 30, 36, 39, 29, 38, 34, 42, 13, 42, 18, 23, 47, 4, 15, 28, 43, 5, 29, 41, 21, 5, 27, 36, 44, 8, 23, 49, 15, 22, 45, 45, 41, 18, 13, 44, 25, 3, 12, 22, 27, 34, 6, 34, 46, 15, 34, 25, 24, 20, 34, 11, 42, 41, 32]
[50, 32, 18, 8, 0, 12, 42, 41, 6, 49, 32, 39, 45, 44, 5, 31, 21, 32, 17, 20, 13, 11, 49, 14, 15, 22, 6, 17, 49, 28, 41, 45, 38, 24, 12, 30, 41, 41, 27, 17, 24, 26, 18, 35, 14, 22, 10, 36, 46, 40, 15, 48, 0, 33, 13, 49, 19, 50, 12, 6, 39, 4, 4, 35, 46, 21, 36, 37, 50, 20, 40, 26, 43, 18, 43, 0, 14, 11, 30, 32, 31, 9, 49, 5, 28, 43, 30, 25, 19, 28, 16, 24, 26, 39, 5, 50, 2, 24, 24, 4, 45, 39, 23, 26, 30]
[6, 1, 45, 45, 12, 0, 8, 14, 46, 50, 25, 37, 12, 21, 37, 32, 13, 9, 35, 10, 0, 1, 45, 29, 36, 5, 29, 14, 3, 16, 44, 33, 13, 14, 36, 25, 46, 26, 19, 22, 5, 41, 10, 31, 6, 15, 14, 8, 48, 21, 14, 4, 9, 12, 50, 36, 40, 20, 40, 29, 45, 25, 6, 32, 24, 28, 25, 14, 17, 10, 25, 47, 50, 41, 18, 14, 22, 9, 32, 44, 13, 4, 2, 23, 40, 47, 12, 21, 16, 20, 9, 34, 43, 42, 39, 2, 11, 30, 1, 2, 22, 24, 8, 49, 37]
[32, 43, 28, 18, 42, 8, 0, 32, 12, 41, 27, 17, 8, 28, 2, 29, 18, 1, 39, 16, 29, 36, 10, 6, 8, 15, 24, 3, 9, 28, 37, 3, 0, 35, 36, 19, 13, 18, 39, 43, 29, 6, 47, 32, 43, 44, 14, 9, 31, 29, 29, 25, 17, 2, 42, 39, 32, 41, 18, 33, 16, 29, 46, 43, 7, 20, 30, 15, 10, 24, 35, 36, 4, 25, 50, 0, 27, 4, 45, 11, 7, 34, 49, 10, 18, 23, 47, 41, 25, 41, 8, 37, 27, 6, 19, 9, 22, 15, 6, 27, 42, 7, 30, 40, 0]
[46, 31, 33, 6, 41, 14, 32, 0, 38, 32, 29, 17, 45, 12, 42, 0, 42, 36, 23, 47, 28, 24, 46, 8, 22, 34, 16, 3, 41, 44, 21, 16, 20, 8, 26, 3, 2, 7, 3, 16, 8, 41, 11, 9, 12, 1, 36, 0, 44, 39, 1, 38, 42, 3, 11, 5, 14, 37, 42, 34, 17, 20, 31, 11, 43, 33, 35, 29, 38, 13, 39, 3, 13, 34, 30, 6, 36, 20, 6, 29, 34, 11, 18, 50, 5, 24, 28, 17, 7, 48, 44, 35, 32, 35, 47, 25, 30, 49, 6, 12, 38, 45, 3, 16, 34]
[33, 3, 30, 12, 6, 46, 12, 38, 0, 38, 16, 5, 44, 34, 48, 22, 25, 21, 34, 26, 13, 29, 3, 13, 39, 39, 42, 47, 15, 5, 47, 28, 28, 14, 35, 35, 0, 13, 7, 46, 44, 30, 41, 9, 21, 37, 14, 22, 43, 4, 35, 32, 20, 47, 40, 20, 2, 19, 11, 16, 23, 21, 2, 14, 38, 40, 2, 45, 48, 36, 18, 11, 47, 17, 28, 16, 26, 18, 49, 0, 30, 46, 9, 13, 38, 34, 14, 25, 39, 41, 41, 14, 24, 33, 16, 42, 36, 23, 33, 16, 15, 40, 9, 7, 8]
[32, 34, 37, 3, 49, 50, 41, 32, 38, 0, 22, 42, 7, 25, 10, 16, 15, 15, 32, 15, 45, 14, 3, 27, 28, 5, 6, 3, 3, 36, 5, 22, 20, 7, 3, 0, 46, 12, 0, 24, 1, 26, 16, 2, 35, 25, 19, 12, 45, 0, 21, 31, 44, 21, 3, 6, 26, 3, 21, 32, 18, 43, 43, 9, 42, 3, 4, 19, 50, 30, 3, 48, 40, 17, 31, 25, 25, 2, 29, 5, 34, 26, 32, 37, 47, 28, 23, 0, 3, 45, 16, 44, 32, 3, 41, 32, 25, 27, 31, 16, 32, 9, 0, 31, 31]
