N1,N2,...,Nx
[0, 7, 6, 19, 46, 31, 2, 38, 37, 8, 26, 11, 27, 17, 43, 16, 12, 16, 7, 34, 23, 46, 7, 1, 19, 16, 5, 5, 37, 50, 43, 24, 26, 27, 6, 22, 46]
[7, 0, 41, 21, 2, 26, 45, 27, 29, 4, 24, 25, 17, 20, 41, 14, 43, 13, 2, 26, 41, 46, 31, 29, 4, 11, 30, 50, 36, 19, 15, 27, 33, 10, 3, 44, 47]
[6, 41, 0, 44, 40, 48, 38, 4, 35, 33, 2, 37, 36, 9, 8, 34, 44, 9, 32, 17, 24, 9, 10, 45, 21, 48, 47, 29, 46, 39, 42, 14, 17, 4, 44, 1, 16]
[19, 21, 44, 0, 28, 39, 21, 3, 20, 13, 12, 24, 41, 2, 37, 3, 33, 33, 13, 27, 27, 8, 7, 21, 23, 18, 37, 11, 7, 40, 11, 15, 37, 25, 37, 43, 24]
[46, 2, 40, 28, 0, 24, 37, 37, 36, 12, 36, 17, 45, 16, 9, 42, 20, 28, 5, 46, 25, 3, 33, 4, 25, 1, 28, 2, 41, 50, 13, 32, 37, 47, 45, 22, 32]
[31, 26, 48, 39, 24, 0, 33, 34, 24, 3, 21, 10, 2, 31, 36, 3, 18, 24, 6, 48, 37, 43, 24, 25, 23, 0, 5, 27, 30, 9, 14, 35, 14, 7, 21, 9, 41]
[2, 45, 38, 21, 37, 33, 0, 29, 49, 39, 33, 17, 18, 14, 13, 38, 7, 40, 39, 45, 27, 47, 42, 5, 20, 30, 21, 23, 17, 11, 37, 40, 1, 16, 36, 18, 43]
[38, 27, 4, 3, 37, 34, 29, 0, 39, 27, 18, 9, 22, 40, 48, 49, 13, 43, 17, 25, 48, 13, 28, 6, 32, 2, 5, 49, 27, 45, 25, 43, 2, 31, 35, 40, 50]
[37, 29, 35, 20, 36, 24, 49, 39, 0, 23, 44, 34, 34, 13, 45, 29, 50, 12, 50, 50, 2, 30, 4, 29, 35, 12, 3, 33, 41, 47, 41, 41, 13, 29, 17, 41, 15]
[8, 4, 33, 13, 12, 3, 39, 27, 23, 0, 3, 39, 3, 13, 44, 50, 2, 7, 50, 38, 29, 1, 10, 8, 10, 27, 14, 30, 5, 22, 30, 14, 34, 1, 22, 8, 11]
[26, 24, 2, 12, 36, 21, 33, 18, 44, 3, 0, 29, 35, 29, 10, 4, 11, 32, 44, 43, 8, 21, 0, 44, 24, 3, 5, 29, 43, 35, 14, 23, 41, 39, 3, 6, 26]
[11, 25, 37, 24, 17, 10, 17, 9, 34, 39, 29, 0, 3, 21, 28, 44, 20, 36, 29, 21, 44, 45, 33, 25, 41, 29, 36, 43, 24, 19, 9, 38, 38, 36, 24, 9, 41]
[27, 17, 36, 41, 45, 2, 18, 22, 34, 3, 35, 3, 0, 4, 14, 27, 11, 23, 17, 45, 16, 11, 1, 14, 29, 34, 37, 43, 14, 7, 37, 31, 2, 4, 40, 4, 26]
[17, 20, 9, 2, 16, 31, 14, 40, 13, 13, 29, 21, 4, 0, 25, 44, 36, 35, 22, 38, 9, 36, 2, 44, 44, 29, 4, 49, 1, 40, 32, 4, 14, 29, 32, 2, 6]
[43, 41, 8, 37, 9, 36, 13, 48, 45, 44, 10, 28, 14, 25, 0, 23, 38, 15, 10, 26, 25, 50, 0, 2, 50, 49, 31, 12, 31, 42, 40, 33, 48, 1, 1, 46, 13]
[16, 14, 34, 3, 42, 3, 38, 49, 29, 50, 4, 44, 27, 44, 23, 0, 13, 9, 22, 21, 19, 15, 3, 27, 20, 38, 3, 34, 10, 26, 47, 26, 44, 26, 17, 50, 43]
[12, 43, 44, 33, 20, 18, 7, 13, 50, 2, 11, 20, 11, 36, 38, 13, 0, 28, 38, 13, 50, 40, 41, 22, 45, 36, 25, 13, 46, 1, 45, 8, 42, 50, 40, 9, 49]
