N1,N2,...,Nx
[0, 19, 5, 45, 9, 10, 12, 2, 26, 6, 32, 9, 6, 49, 39, 44, 24, 15, 7, 21, 12, 25, 15, 25, 44, 32, 16, 27, 42, 3, 2, 26, 35, 8, 17, 23, 3, 37, 32, 4, 50, 49, 26, 10, 43, 13, 44, 1, 34, 13, 43, 41, 49, 0, 9, 18, 0, 35, 43, 17, 1, 31, 28, 36, 15, 30, 26, 29, 5, 38, 0, 19, 11, 2, 45, 8, 19, 31, 49, 28, 12, 25, 7, 7, 43, 16, 46, 25, 2, 21]
[19, 0, 1, 9, 5, 35, 35, 9, 19, 25, 28, 3, 47, 49, 47, 10, 11, 23, 50, 23, 41, 46, 9, 0, 45, 8, 14, 50, 27, 11, 17, 24, 18, 20, 39, 43, 3, 24, 19, 1, 20, 21, 24, 4, 9, 13, 16, 45, 26, 20, 48, 40, 26, 46, 37, 29, 18, 16, 14, 50, 40, 44, 50, 24, 47, 49, 5, 28, 26, 6, 10, 1, 2, 31, 48, 17, 23, 19, 47, 11, 38, 6, 43, 17, 14, 30, 15, 40, 3, 20]
[5, 1, 0, 1, 43, 29, 21, 1, 0, 25, 25, 27, 31, 28, 30, 10, 6, 10, 50, 22, 6, 40, 38, 4, 4, 29, 41, 32, 48, 42, 21, 27, 35, 10, 15, 5, 4, 24, 15, 38, 30, 1, 4, 46, 16, 36, 26, 30, 4, 28, 16, 13, 18, 48, 43, 20, 1, 22, 50, 3, 18, 49, 32, 41, 50, 6, 14, 20, 26, 29, 41, 39, 9, 41, 40, 18, 31, 9, 36, 20, 3, 22, 4, 27, 2, 24, 17, 2, 37, 6]
[45, 9, 1, 0, 17, 49, 6, 46, 20, 44, 18, 50, 49, 41, 19, 14, 40, 26, 26, 4, 34, 19, 9, 5, 18, 50, 11, 46, 4, 5, 24, 41, 4, 2, 50, 37, 8, 13, 10, 42, 26, 21, 33, 15, 11, 20, 41, 41, 24, 43, 42, 16, 41, 17, 4, 16, 24, 10, 7, 28, 44, 50, 9, 3, 32, 27, 44, 42, 48, 26, 49, 29, 37, 28, 24, 26, 27, 36, 27, 17, 26, 6, 44, 50, 46, 26, 19, 38, 47, 35]
[9, 5, 43, 17, 0, 18, 2, 0, 15, 1, 1, 22, 41, 24, 18, 44, 48, 31, 31, 37, 20, 19, 17, 8, 15, 32, 14, 31, 12, 50, 35, 48, 14, 2, 27, 38, 35, 34, 19, 27, 29, 49, 15, 35, 9, 14, 44, 28, 39, 35, 2, 3, 46, 0, 32, 0, 28, 37, 29, 43, 14, 9, 29, 42, 30, 20, 12, 5, 7, 27, 10, 47, 38, 19, 46, 42, 22, 30, 17, 14, 12, 45, 14, 49, 38, 5, 4, 26, 12, 41]
[10, 35, 29, 49, 18, 0, 18, 50, 18, 3, 19, 12, 19, 25, 19, 12, 11, 16, 40, 30, 4, 35, 41, 5, 9, 5, 43, 50, 10, 17, 19, 38, 6, 42, 47, 37, 45, 21, 25, 31, 42, 25, 50, 42, 23, 4, 47, 0, 39, 3, 24, 47, 45, 32, 10, 37, 49, 33, 18, 31, 14, 11, 22, 15, 31, 10, 49, 15, 18, 3, 20, 36, 19, 18, 17, 19, 49, 44, 23, 43, 27, 27, 24, 42, 28, 29, 37, 42, 50, 31]
[12, 35, 21, 6, 2, 18, 0, 18, 34, 43, 13, 32, 17, 3, 15, 38, 18, 4, 34, 27, 33, 4, 14, 29, 17, 10, 44, 14, 32, 46, 50, 17, 13, 0, 44, 11, 18, 48, 37, 45, 46, 6, 42, 1, 41, 21, 45, 48, 39, 37, 19, 30, 17, 21, 0, 21, 13, 1, 38, 36, 20, 38, 35, 15, 14, 46, 18, 0, 0, 24, 6, 29, 33, 34, 26, 50, 21, 36, 13, 21, 25, 17, 42, 33, 46, 22, 44, 8, 34, 15]
[2, 9, 1, 46, 0, 50, 18, 0, 50, 13, 49, 11, 29, 22, 21, 17, 6, 7, 3, 30, 39, 17, 13, 14, 25, 38, 32, 39, 21, 5, 17, 8, 16, 16, 4, 27, 22, 5, 45, 44, 19, 3, 17, 28, 9, 50, 38, 31, 10, 40, 29, 3, 41, 13, 39, 18, 14, 16, 40, 12, 22, 16, 48, 2, 2, 29, 2, 45, 22, 49, 31, 1, 13, 29, 3, 1, 47, 24, 29, 6, 50, 40, 33, 24, 25, 39, 42, 43, 0, 32]
[26, 19, 0, 20, 15, 18, 34, 50, 0, 37, 3, 14, 41, 31, 0, 44, 30, 29, 42, 38, 19, 33, 8, 46, 27, 12, 28, 46, 37, 42, 34, 30, 11, 1, 42, 5, 47, 23, 5, 2, 49, 15, 12, 49, 45, 18, 38, 9, 47, 38, 5, 48, 39, 39, 25, 47, 48, 8, 50, 43, 1, 36, 7, 39, 47, 47, 26, 17, 36, 19, 20, 45, 33, 36, 22, 36, 2, 45, 46, 50, 6, 35, 25, 2, 35, 22, 8, 3, 30, 20]
[6, 25, 25, 44, 1, 3, 43, 13, 37, 0, 14, 47, 42, 13, 17, 29, 8, 44, 42, 21, 12, 37, 2, 17, 46, 2, 25, 34, 48, 4, 49, 33, 32, 30, 35, 2, 13, 22, 6, 1, 17, 2, 14, 10, 6, 13, 46, 13, 50, 2, 2, 45, 14, 21, 23, 10, 3, 9, 45, 27, 46, 46, 34, 48, 46, 36, 48, 43, 14, 40, 6, 12, 27, 29, 11, 23, 45, 33, 29, 30, 26, 4, 10, 40, 37, 48, 43, 2, 3, 41]
