N1,N2,...,Nx
[0, 3, 8, 32, 34, 5, 18, 44, 8, 33, 35, 16, 26, 33, 21, 2, 4, 12, 39, 39, 3, 14, 9, 50, 49, 33, 21, 35, 44, 45, 5, 45, 15, 6, 14, 33, 3, 28, 38, 32, 35, 10, 39, 27, 38, 48, 38, 44, 28, 37, 4, 26, 39, 19, 2, 30, 14, 21, 5, 25, 20, 17, 7, 13, 3, 1, 23, 34, 1, 35, 40, 37, 40, 45, 2, 14, 11, 8, 16, 4, 35, 26, 15, 34, 25, 23, 44, 23, 6, 18, 39, 31, 30, 36, 41, 10, 41, 29, 35, 30, 34, 44, 25, 8, 42, 20, 43, 20, 18, 36, 0, 8, 37, 32, 15, 35, 48, 2, 31]
[3, 0, 28, 26, 39, 47, 47, 11, 42, 10, 5, 33, 11, 12, 34, 7, 11, 18, 1, 25, 2, 36, 41, 37, 17, 44, 43, 5, 6, 48, 3, 16, 15, 4, 20, 15, 21, 41, 5, 21, 7, 38, 6, 16, 5, 7, 20, 0, 5, 33, 22, 49, 42, 26, 30, 15, 11, 25, 12, 48, 49, 15, 4, 9, 29, 17, 34, 49, 7, 24, 31, 49, 28, 50, 4, 3, 46, 9, 46, 20, 26, 22, 5, 35, 2, 44, 42, 40, 19, 23, 32, 28, 25, 25, 7, 3, 50, 46, 19, 20, 28, 35, 48, 6, 40, 43, 7, 10, 9, 39, 39, 46, 45, 50, 17, 1, 28, 31, 1]
[8, 28, 0, 24, 6, 46, 21, 0, 41, 44, 21, 34, 40, 19, 33, 20, 2, 26, 19, 25, 32, 44, 45, 30, 14, 1, 45, 7, 11, 5, 21, 30, 46, 24, 24, 28, 49, 29, 43, 30, 12, 47, 21, 29, 42, 31, 33, 31, 38, 50, 38, 8, 19, 9, 2, 47, 39, 46, 5, 32, 10, 38, 2, 11, 42, 15, 33, 48, 43, 17, 47, 28, 26, 34, 22, 31, 31, 28, 34, 48, 34, 31, 39, 18, 0, 50, 29, 38, 20, 1, 7, 17, 31, 22, 33, 7, 35, 5, 8, 12, 22, 20, 14, 33, 14, 47, 8, 1, 25, 13, 9, 22, 15, 45, 17, 49, 4, 16, 33]
[32, 26, 24, 0, 27, 41, 10, 44, 8, 46, 15, 29, 26, 12, 43, 45, 28, 22, 34, 21, 24, 31, 28, 48, 6, 23, 16, 23, 48, 13, 32, 4, 25, 8, 31, 11, 38, 8, 48, 5, 5, 34, 0, 16, 1, 9, 45, 35, 39, 26, 17, 24, 12, 18, 22, 8, 45, 44, 42, 10, 12, 8, 43, 33, 45, 49, 11, 33, 36, 27, 13, 0, 21, 47, 45, 49, 0, 48, 39, 5, 25, 39, 35, 29, 50, 30, 6, 50, 32, 10, 24, 3, 5, 20, 41, 38, 38, 44, 9, 29, 19, 7, 13, 30, 9, 5, 23, 32, 41, 42, 33, 50, 28, 19, 22, 20, 48, 33, 19]
[34, 39, 6, 27, 0, 21, 37, 18, 4, 30, 19, 20, 27, 22, 13, 27, 11, 31, 46, 11, 36, 26, 43, 27, 45, 39, 37, 47, 18, 21, 38, 21, 27, 7, 2, 21, 32, 25, 7, 18, 37, 24, 12, 18, 39, 40, 30, 9, 36, 19, 33, 26, 22, 49, 43, 30, 32, 24, 28, 3, 45, 28, 20, 4, 7, 30, 12, 31, 23, 48, 50, 11, 48, 16, 28, 17, 14, 13, 0, 37, 13, 26, 7, 49, 19, 47, 38, 16, 26, 13, 11, 49, 0, 22, 43, 42, 9, 6, 34, 26, 50, 26, 14, 40, 49, 43, 20, 9, 40, 0, 35, 10, 48, 4, 12, 29, 50, 26, 32]
[5, 47, 46, 41, 21, 0, 33, 46, 4, 9, 13, 10, 48, 9, 9, 14, 4, 38, 37, 2, 14, 21, 44, 37, 15, 39, 16, 4, 35, 13, 30, 40, 50, 1, 47, 45, 43, 22, 22, 1, 40, 23, 25, 45, 6, 28, 25, 46, 24, 41, 4, 14, 10, 17, 4, 13, 10, 40, 34, 50, 45, 23, 34, 36, 37, 15, 1, 36, 48, 36, 27, 17, 5, 26, 0, 17, 13, 7, 25, 19, 48, 43, 7, 41, 6, 37, 0, 28, 18, 31, 18, 14, 49, 1, 47, 4, 1, 41, 30, 13, 40, 11, 9, 8, 36, 14, 3, 9, 25, 34, 26, 40, 25, 42, 50, 26, 16, 37, 20]
[18, 47, 21, 10, 37, 33, 0, 8, 0, 19, 41, 47, 25, 0, 18, 36, 27, 18, 10, 50, 33, 20, 0, 24, 49, 20, 33, 2, 10, 28, 20, 24, 33, 32, 33, 22, 32, 39, 9, 46, 38, 45, 2, 50, 0, 20, 36, 6, 22, 50, 48, 18, 45, 46, 37, 27, 41, 30, 3, 44, 46, 46, 39, 11, 35, 47, 29, 6, 21, 39, 37, 29, 13, 23, 17, 12, 22, 19, 24, 11, 19, 10, 28, 2, 16, 20, 49, 31, 1, 4, 43, 6, 7, 47, 29, 47, 10, 1, 5, 0, 38, 14, 29, 18, 24, 4, 9, 20, 34, 8, 31, 32, 27, 29, 40, 37, 20, 5, 6]
[44, 11, 0, 44, 18, 46, 8, 0, 13, 24, 46, 33, 20, 44, 23, 25, 2, 15, 11, 27, 2, 17, 8, 8, 21, 41, 19, 41, 50, 8, 38, 14, 5, 45, 24, 1, 26, 15, 26, 40, 50, 6, 44, 50, 48, 34, 4, 24, 32, 23, 18, 34, 28, 6, 34, 41, 27, 44, 36, 23, 18, 1, 9, 26, 7, 30, 16, 17, 20, 28, 27, 39, 47, 29, 18, 13, 34, 48, 32, 21, 21, 24, 36, 46, 42, 36, 18, 4, 50, 40, 22, 9, 38, 15, 37, 9, 2, 21, 25, 37, 4, 48, 17, 38, 21, 12, 37, 20, 14, 17, 31, 39, 6, 29, 28, 44, 23, 39, 25]
[8, 42, 41, 8, 4, 4, 0, 13, 0, 6, 32, 10, 44, 28, 30, 10, 24, 45, 47, 6, 32, 37, 0, 20, 42, 25, 18, 47, 42, 19, 34, 21, 9, 6, 41, 34, 11, 50, 32, 38, 15, 39, 23, 44, 10, 24, 45, 8, 6, 7, 10, 50, 44, 24, 23, 34, 40, 48, 20, 14, 50, 25, 4, 6, 5, 39, 49, 35, 20, 23, 50, 42, 1, 45, 22, 2, 6, 46, 47, 44, 34, 6, 30, 7, 31, 13, 30, 47, 16, 2, 33, 7, 31, 44, 20, 17, 14, 18, 15, 29, 19, 21, 15, 32, 47, 49, 0, 40, 25, 17, 19, 34, 49, 23, 8, 30, 42, 17, 32]
[33, 10, 44, 46, 30, 9, 19, 24, 6, 0, 29, 3, 39, 42, 9, 1, 0, 41, 46, 33, 11, 12, 40, 16, 3, 13, 15, 10, 46, 43, 29, 17, 10, 43, 7, 18, 42, 12, 35, 33, 5, 37, 10, 9, 33, 47, 49, 15, 25, 10, 45, 8, 22, 34, 31, 12, 4, 20, 21, 4, 49, 15, 13, 39, 50, 29, 10, 43, 36, 5, 14, 31, 16, 24, 40, 49, 35, 12, 27, 2, 3, 15, 21, 4, 8, 33, 7, 38, 27, 16, 11, 31, 49, 1, 18, 13, 36, 25, 25, 42, 30, 23, 18, 9, 36, 45, 45, 32, 29, 30, 28, 31, 45, 34, 37, 18, 0, 50, 50]
