N1,N2,...,Nx
[0, 18, 31, 35, 46, 38, 34, 21, 43, 15, 12, 7, 44, 8, 41, 43, 36, 34, 43, 30, 49, 15, 36, 14, 8, 28, 24, 3, 32, 40, 40, 21, 6, 25, 24, 34, 23, 47, 28, 35, 1, 45, 36, 46, 5, 26, 17, 0, 32, 0, 12, 17, 29, 42, 0, 23, 32, 22, 39, 26, 47, 36, 34, 3, 34, 1, 46, 25, 20, 28, 37, 49, 50, 26, 32, 6, 47, 21, 2, 30, 5]
[18, 0, 28, 9, 35, 33, 29, 14, 18, 6, 3, 9, 31, 3, 32, 39, 27, 9, 35, 32, 5, 16, 49, 11, 17, 36, 34, 34, 13, 1, 0, 24, 0, 12, 3, 9, 24, 4, 30, 25, 36, 45, 18, 5, 31, 19, 47, 6, 7, 6, 25, 42, 23, 30, 47, 35, 13, 28, 4, 42, 17, 41, 35, 22, 22, 19, 2, 7, 17, 11, 9, 40, 35, 23, 2, 5, 8, 23, 21, 8, 15]
[31, 28, 0, 47, 14, 12, 35, 22, 32, 38, 46, 10, 40, 49, 9, 37, 1, 16, 46, 21, 30, 14, 43, 44, 46, 36, 4, 23, 31, 25, 18, 18, 27, 23, 11, 33, 43, 18, 18, 14, 32, 36, 31, 26, 31, 3, 5, 11, 45, 15, 9, 5, 25, 42, 41, 9, 30, 30, 48, 9, 50, 30, 30, 36, 11, 21, 11, 23, 15, 20, 42, 12, 30, 49, 44, 33, 6, 40, 26, 36, 14]
[35, 9, 47, 0, 0, 43, 26, 16, 19, 25, 24, 25, 3, 7, 20, 29, 12, 47, 25, 30, 25, 9, 15, 50, 29, 14, 39, 12, 44, 42, 5, 46, 23, 37, 45, 1, 13, 25, 21, 25, 16, 3, 1, 12, 41, 30, 14, 39, 11, 43, 11, 33, 14, 9, 12, 11, 12, 15, 11, 17, 25, 20, 19, 46, 7, 28, 16, 0, 50, 50, 43, 34, 8, 41, 6, 31, 32, 26, 42, 31, 7]
[46, 35, 14, 0, 0, 26, 41, 7, 1, 43, 43, 37, 28, 41, 22, 14, 48, 44, 10, 17, 3, 8, 11, 27, 13, 7, 0, 33, 39, 39, 21, 43, 42, 34, 40, 47, 36, 28, 49, 46, 16, 14, 16, 31, 44, 45, 1, 4, 10, 13, 36, 50, 9, 26, 28, 10, 35, 31, 47, 28, 50, 31, 27, 32, 3, 0, 19, 16, 27, 28, 48, 33, 14, 44, 49, 48, 32, 45, 9, 0, 20]
[38, 33, 12, 43, 26, 0, 27, 47, 34, 32, 38, 47, 50, 19, 17, 34, 39, 4, 36, 31, 23, 6, 45, 0, 6, 17, 40, 45, 49, 30, 24, 29, 11, 31, 35, 35, 50, 19, 5, 38, 30, 10, 37, 11, 44, 17, 50, 47, 24, 33, 24, 28, 32, 44, 49, 3, 0, 0, 27, 47, 42, 34, 44, 27, 47, 17, 30, 2, 28, 29, 17, 31, 6, 45, 30, 21, 21, 50, 45, 35, 47]
[34, 29, 35, 26, 41, 27, 0, 36, 35, 44, 0, 25, 1, 7, 30, 10, 14, 0, 38, 11, 35, 17, 47, 45, 0, 47, 2, 1, 26, 4, 47, 32, 38, 0, 33, 49, 27, 25, 31, 30, 38, 20, 40, 4, 24, 17, 8, 50, 20, 45, 25, 34, 12, 3, 0, 47, 18, 14, 43, 28, 37, 20, 3, 48, 13, 15, 26, 22, 50, 1, 25, 27, 25, 1, 13, 29, 8, 42, 31, 20, 31]
[21, 14, 22, 16, 7, 47, 36, 0, 40, 0, 48, 31, 12, 24, 25, 49, 27, 10, 38, 8, 25, 30, 38, 25, 25, 24, 7, 47, 36, 9, 49, 45, 38, 38, 27, 6, 46, 3, 40, 2, 16, 18, 6, 37, 35, 6, 25, 46, 18, 41, 41, 39, 15, 6, 23, 14, 44, 40, 20, 23, 38, 11, 24, 2, 42, 49, 21, 11, 41, 40, 28, 24, 0, 43, 29, 29, 4, 49, 48, 29, 39]
[43, 18, 32, 19, 1, 34, 35, 40, 0, 16, 19, 17, 40, 16, 29, 25, 26, 11, 27, 47, 46, 36, 31, 28, 16, 3, 26, 27, 22, 7, 13, 50, 16, 45, 7, 20, 3, 19, 17, 35, 22, 28, 44, 30, 29, 27, 34, 28, 3, 10, 29, 2, 16, 35, 43, 18, 34, 40, 33, 21, 10, 5, 43, 8, 26, 3, 32, 3, 18, 25, 33, 36, 4, 7, 39, 24, 12, 3, 37, 43, 1]
[15, 6, 38, 25, 43, 32, 44, 0, 16, 0, 46, 23, 32, 0, 25, 7, 24, 48, 38, 33, 39, 17, 24, 47, 44, 8, 29, 36, 1, 36, 34, 33, 38, 36, 43, 39, 38, 50, 4, 10, 25, 30, 4, 46, 14, 32, 15, 36, 5, 15, 49, 0, 35, 37, 40, 26, 9, 9, 17, 27, 23, 1, 11, 16, 25, 12, 47, 33, 28, 32, 38, 24, 29, 44, 49, 15, 31, 49, 2, 0, 4]
[12, 3, 46, 24, 43, 38, 0, 48, 19, 46, 0, 28, 14, 48, 41, 39, 34, 4, 3, 36, 46, 30, 34, 1, 46, 49, 45, 12, 19, 22, 27, 22, 15, 48, 49, 15, 36, 20, 13, 46, 2, 1, 35, 20, 41, 8, 1, 45, 41, 45, 16, 40, 22, 21, 39, 33, 21, 26, 41, 42, 6, 49, 28, 17, 29, 41, 1, 5, 44, 46, 4, 6, 6, 6, 48, 5, 14, 1, 49, 37, 26]
[7, 9, 10, 25, 37, 47, 25, 31, 17, 23, 28, 0, 21, 0, 5, 46, 37, 50, 14, 29, 7, 47, 22, 4, 26, 41, 26, 39, 17, 34, 8, 5, 50, 48, 5, 24, 35, 39, 38, 33, 3, 42, 12, 19, 46, 29, 47, 44, 39, 46, 13, 9, 32, 11, 43, 8, 16, 8, 42, 49, 30, 49, 30, 3, 31, 6, 12, 41, 15, 39, 43, 29, 44, 45, 47, 50, 24, 9, 34, 18, 38]
[44, 31, 40, 3, 28, 50, 1, 12, 40, 32, 14, 21, 0, 26, 21, 50, 1, 1, 35, 40, 3, 33, 23, 37, 3, 23, 33, 20, 35, 32, 33, 15, 50, 5, 19, 18, 42, 11, 42, 27, 19, 20, 35, 0, 34, 25, 26, 7, 26, 16, 21, 40, 13, 50, 9, 7, 3, 9, 24, 15, 19, 50, 40, 45, 24, 4, 45, 48, 27, 40, 14, 20, 40, 1, 18, 37, 39, 12, 47, 19, 4]
[8, 3, 49, 7, 41, 19, 7, 24, 16, 0, 48, 0, 26, 0, 4, 48, 20, 0, 15, 38, 25, 20, 4, 38, 17, 47, 24, 16, 29, 49, 26, 41, 2, 49, 7, 8, 44, 5, 46, 44, 35, 11, 27, 16, 40, 8, 2, 42, 5, 7, 36, 21, 5, 16, 34, 11, 43, 9, 44, 23, 5, 17, 16, 33, 6, 1, 11, 24, 13, 41, 49, 38, 44, 10, 48, 20, 22, 24, 19, 0, 26]
[41, 32, 9, 20, 22, 17, 30, 25, 29, 25, 41, 5, 21, 4, 0, 20, 50, 37, 19, 47, 24, 31, 50, 1, 19, 23, 20, 41, 42, 0, 15, 43, 13, 7, 5, 35, 31, 33, 26, 34, 14, 10, 34, 46, 11, 7, 4, 35, 2, 34, 18, 18, 46, 3, 36, 15, 16, 45, 25, 35, 47, 15, 32, 44, 38, 33, 37, 43, 22, 17, 13, 25, 29, 7, 8, 42, 10, 2, 49, 12, 13]
[43, 39, 37, 29, 14, 34, 10, 49, 25, 7, 39, 46, 50, 48, 20, 0, 46, 40, 50, 32, 10, 44, 22, 31, 0, 9, 2, 29, 7, 35, 50, 13, 42, 11, 6, 9, 32, 45, 6, 8, 28, 14, 39, 10, 43, 7, 0, 48, 4, 6, 3, 10, 35, 44, 2, 3, 25, 50, 13, 41, 21, 42, 2, 0, 6, 49, 22, 5, 47, 48, 46, 33, 23, 12, 41, 22, 33, 11, 39, 4, 2]
[36, 27, 1, 12, 48, 39, 14, 27, 26, 24, 34, 37, 1, 20, 50, 46, 0, 31, 21, 44, 43, 11, 49, 37, 26, 4, 5, 29, 10, 24, 45, 17, 9, 26, 11, 49, 46, 46, 17, 22, 34, 28, 8, 1, 29, 50, 30, 31, 14, 24, 0, 29, 10, 2, 8, 5, 15, 49, 49, 30, 0, 15, 0, 13, 20, 8, 0, 25, 22, 27, 35, 2, 39, 31, 49, 19, 27, 49, 41, 38, 48]
[34, 9, 16, 47, 44, 4, 0, 10, 11, 48, 4, 50, 1, 0, 37, 40, 31, 0, 35, 36, 30, 13, 17, 18, 22, 5, 26, 33, 50, 39, 44, 36, 8, 46, 50, 45, 8, 22, 3, 35, 3, 47, 31, 42, 11, 12, 3, 13, 12, 42, 9, 1, 36, 50, 5, 26, 36, 15, 6, 24, 38, 4, 37, 41, 45, 33, 19, 37, 50, 50, 38, 1, 45, 44, 18, 10, 10, 20, 47, 17, 48]
[43, 35, 46, 25, 10, 36, 38, 38, 27, 38, 3, 14, 35, 15, 19, 50, 21, 35, 0, 29, 18, 48, 36, 9, 12, 14, 9, 12, 13, 17, 50, 36, 14, 39, 28, 49, 5, 48, 30, 23, 44, 37, 31, 18, 45, 46, 36, 5, 14, 44, 27, 24, 5, 42, 16, 9, 24, 40, 37, 40, 25, 28, 50, 44, 16, 42, 29, 19, 33, 32, 49, 11, 5, 45, 1, 16, 31, 0, 21, 29, 24]
[30, 32, 21, 30, 17, 31, 11, 8, 47, 33, 36, 29, 40, 38, 47, 32, 44, 36, 29, 0, 44, 37, 22, 31, 12, 13, 17, 12, 10, 12, 19, 46, 39, 12, 26, 18, 6, 14, 46, 17, 41, 41, 35, 25, 18, 29, 29, 34, 4, 30, 19, 14, 43, 22, 19, 4, 24, 12, 44, 35, 38, 15, 9, 6, 25, 0, 11, 38, 14, 47, 28, 11, 25, 31, 16, 36, 50, 24, 10, 25, 0]
[49, 5, 30, 25, 3, 23, 35, 25, 46, 39, 46, 7, 3, 25, 24, 10, 43, 30, 18, 44, 0, 20, 41, 28, 0, 23, 38, 43, 28, 23, 6, 19, 6, 33, 18, 28, 33, 44, 18, 33, 20, 37, 45, 16, 36, 34, 36, 42, 14, 25, 10, 50, 15, 23, 32, 5, 1, 27, 23, 22, 34, 6, 18, 12, 33, 18, 26, 46, 25, 20, 9, 43, 25, 45, 23, 44, 43, 25, 10, 5, 1]
