N1,N2,...,Nx
[0, 42, 17, 10, 8, 4, 2, 0, 31, 27, 2, 7, 30, 39, 39, 47, 25, 6, 37, 37, 11, 13, 32, 0, 22, 0, 13, 50, 4, 43, 24, 2, 4, 40, 50, 0, 46, 41, 48, 48, 28, 32, 45, 29, 23, 17, 19, 6, 39, 45, 47, 41, 15, 4, 25, 33, 44, 35, 22, 46, 49, 43, 24]
[42, 0, 18, 33, 8, 50, 3, 17, 39, 20, 24, 24, 31, 14, 15, 19, 4, 15, 9, 19, 40, 14, 43, 40, 25, 2, 33, 6, 8, 32, 44, 13, 31, 46, 44, 29, 1, 17, 33, 6, 50, 43, 39, 48, 48, 24, 39, 47, 43, 38, 0, 45, 47, 0, 4, 11, 32, 27, 7, 3, 33, 40, 49]
[17, 18, 0, 23, 42, 47, 46, 15, 48, 13, 16, 50, 48, 46, 34, 23, 6, 37, 15, 50, 18, 11, 22, 34, 17, 24, 30, 16, 44, 30, 27, 44, 25, 45, 8, 29, 30, 2, 30, 48, 18, 27, 45, 40, 31, 1, 17, 32, 40, 43, 16, 43, 31, 38, 37, 23, 24, 24, 13, 48, 30, 16, 32]
[10, 33, 23, 0, 42, 45, 13, 2, 41, 50, 31, 29, 11, 7, 37, 10, 18, 31, 22, 7, 30, 27, 4, 41, 5, 16, 49, 21, 27, 32, 20, 34, 1, 11, 8, 23, 17, 36, 35, 29, 35, 4, 35, 50, 38, 48, 34, 0, 5, 46, 41, 42, 45, 5, 7, 40, 6, 49, 50, 20, 24, 14, 7]
[8, 8, 42, 42, 0, 30, 36, 16, 8, 39, 36, 33, 49, 40, 4, 21, 15, 22, 39, 7, 5, 28, 47, 15, 7, 16, 16, 19, 42, 31, 19, 14, 7, 45, 21, 0, 43, 49, 5, 20, 9, 8, 47, 12, 1, 5, 20, 20, 35, 9, 1, 11, 24, 49, 25, 8, 21, 15, 39, 44, 32, 37, 3]
[4, 50, 47, 45, 30, 0, 34, 49, 48, 39, 49, 50, 26, 42, 49, 29, 2, 29, 33, 12, 10, 18, 41, 8, 30, 24, 46, 4, 0, 17, 12, 46, 21, 14, 9, 38, 47, 38, 42, 44, 43, 47, 27, 48, 2, 50, 29, 48, 29, 25, 5, 37, 8, 28, 38, 5, 6, 2, 39, 16, 5, 28, 43]
[2, 3, 46, 13, 36, 34, 0, 5, 10, 27, 46, 41, 28, 31, 2, 14, 2, 6, 19, 8, 22, 25, 25, 39, 28, 40, 17, 36, 42, 26, 9, 32, 33, 18, 33, 15, 19, 42, 45, 25, 33, 2, 16, 16, 12, 26, 36, 19, 9, 10, 15, 29, 23, 30, 4, 37, 45, 30, 7, 14, 6, 19, 32]
[0, 17, 15, 2, 16, 49, 5, 0, 33, 9, 18, 1, 15, 48, 48, 14, 14, 8, 10, 41, 44, 26, 15, 37, 26, 14, 25, 35, 28, 34, 9, 45, 49, 5, 0, 27, 0, 9, 4, 19, 48, 47, 30, 38, 14, 11, 40, 10, 3, 16, 49, 31, 12, 26, 14, 0, 25, 34, 16, 18, 23, 23, 1]
[31, 39, 48, 41, 8, 48, 10, 33, 0, 42, 11, 13, 12, 45, 37, 42, 36, 5, 15, 26, 8, 35, 47, 31, 5, 24, 16, 27, 11, 41, 20, 31, 26, 45, 18, 14, 3, 23, 7, 46, 46, 48, 9, 41, 35, 35, 42, 8, 1, 17, 41, 32, 20, 5, 10, 29, 36, 36, 3, 25, 18, 21, 48]
[27, 20, 13, 50, 39, 39, 27, 9, 42, 0, 39, 39, 45, 21, 49, 26, 15, 21, 48, 38, 33, 21, 9, 22, 11, 38, 31, 49, 14, 34, 47, 16, 45, 42, 28, 36, 23, 13, 41, 44, 24, 22, 0, 9, 44, 15, 36, 46, 13, 5, 49, 8, 14, 47, 15, 9, 19, 50, 15, 5, 41, 23, 23]
