N1,N2,...,Nx
[0, 9, 39, 30, 43, 30, 24, 7, 43, 19, 16, 12, 38, 0, 5, 50, 17, 43, 13, 4, 32, 50, 35, 24, 32, 48, 21, 32, 48, 4, 19, 23, 41, 32, 45, 5, 36, 19, 42, 28, 26, 25, 19, 28, 23, 9, 44, 47, 16, 40, 42, 2, 23, 43, 38, 7, 18, 50, 28, 38, 24, 14, 28, 32, 30, 9, 49, 43, 15, 37, 34, 48, 37, 16, 15, 48, 43, 48, 11, 27, 24, 36, 48, 44, 11, 8, 34, 10, 0, 32, 29, 11, 27, 36, 45, 17, 27, 19, 6, 45, 7, 33, 34, 12, 25, 9, 50, 10, 5, 28, 5, 37, 35, 14, 47, 5, 43, 22, 41, 29, 25, 4, 46, 17, 24, 8, 9, 8, 42, 8, 9, 7, 18, 43]
[9, 0, 32, 11, 32, 39, 48, 37, 39, 37, 0, 19, 22, 50, 31, 33, 40, 31, 7, 41, 49, 17, 11, 19, 13, 29, 47, 13, 12, 37, 30, 42, 41, 38, 29, 39, 10, 26, 11, 35, 49, 4, 37, 16, 16, 22, 3, 6, 7, 40, 5, 35, 30, 2, 50, 13, 2, 48, 23, 29, 41, 3, 34, 28, 28, 31, 8, 4, 20, 44, 7, 37, 26, 36, 10, 12, 26, 15, 4, 9, 20, 0, 48, 20, 6, 0, 48, 7, 0, 31, 50, 9, 49, 12, 16, 5, 24, 33, 18, 2, 12, 34, 31, 11, 8, 42, 44, 31, 30, 31, 39, 14, 9, 4, 16, 41, 0, 12, 24, 5, 23, 33, 43, 16, 4, 7, 2, 15, 41, 40, 30, 12, 12, 16]
[39, 32, 0, 25, 27, 6, 1, 29, 2, 48, 22, 6, 11, 50, 29, 30, 9, 33, 48, 27, 12, 19, 34, 4, 9, 44, 46, 46, 45, 24, 9, 14, 23, 13, 3, 31, 20, 12, 37, 37, 42, 50, 11, 22, 40, 14, 6, 20, 40, 39, 43, 49, 0, 2, 27, 10, 20, 25, 0, 45, 33, 35, 10, 8, 50, 22, 42, 0, 35, 33, 47, 28, 49, 9, 12, 46, 9, 45, 0, 15, 33, 46, 34, 18, 21, 25, 32, 17, 44, 19, 31, 49, 32, 29, 4, 31, 6, 42, 41, 27, 7, 50, 4, 22, 16, 11, 20, 47, 26, 12, 43, 41, 43, 36, 2, 6, 18, 11, 35, 8, 22, 11, 18, 1, 49, 49, 29, 29, 35, 25, 50, 12, 33, 17]
[30, 11, 25, 0, 27, 11, 48, 8, 37, 31, 23, 33, 36, 3, 11, 41, 1, 8, 43, 33, 17, 33, 26, 42, 18, 13, 21, 25, 14, 33, 5, 48, 13, 41, 10, 31, 0, 15, 1, 19, 14, 22, 44, 12, 18, 6, 13, 44, 19, 22, 49, 7, 10, 47, 37, 48, 9, 27, 19, 11, 31, 18, 41, 19, 1, 7, 46, 10, 26, 17, 34, 0, 22, 39, 47, 15, 44, 5, 28, 9, 2, 40, 4, 17, 30, 39, 31, 41, 30, 46, 44, 31, 16, 12, 30, 28, 49, 23, 35, 26, 50, 49, 34, 11, 11, 40, 25, 8, 41, 45, 7, 7, 17, 50, 25, 13, 37, 45, 33, 8, 25, 6, 32, 42, 31, 39, 27, 47, 5, 22, 17, 19, 48, 0]
[43, 32, 27, 27, 0, 32, 47, 41, 1, 34, 21, 31, 3, 45, 47, 25, 45, 6, 28, 0, 46, 17, 44, 43, 4, 13, 5, 44, 31, 39, 36, 20, 36, 27, 4, 36, 43, 2, 48, 39, 40, 43, 38, 16, 25, 4, 17, 9, 39, 46, 20, 8, 21, 45, 17, 33, 34, 45, 13, 34, 2, 42, 41, 31, 26, 3, 18, 28, 18, 43, 34, 13, 39, 2, 27, 22, 46, 7, 38, 15, 7, 48, 35, 14, 41, 21, 36, 18, 29, 9, 22, 33, 5, 44, 8, 11, 21, 2, 25, 20, 48, 48, 20, 2, 29, 26, 21, 16, 42, 29, 38, 12, 3, 7, 22, 16, 6, 45, 13, 41, 14, 24, 37, 35, 25, 5, 13, 30, 16, 4, 0, 50, 35, 3]
[30, 39, 6, 11, 32, 0, 40, 2, 13, 50, 18, 11, 6, 35, 49, 44, 21, 50, 50, 33, 50, 27, 13, 12, 24, 40, 20, 41, 47, 42, 15, 0, 24, 47, 21, 33, 38, 11, 35, 11, 35, 9, 22, 30, 22, 0, 25, 30, 44, 16, 16, 11, 40, 11, 32, 8, 34, 30, 43, 1, 21, 21, 29, 10, 20, 28, 4, 6, 14, 44, 8, 4, 39, 22, 47, 35, 4, 15, 44, 24, 47, 21, 47, 36, 1, 4, 8, 28, 40, 23, 44, 5, 48, 1, 1, 17, 41, 10, 42, 29, 15, 40, 34, 19, 10, 40, 9, 36, 2, 33, 8, 21, 43, 18, 41, 20, 20, 49, 45, 17, 5, 26, 47, 21, 38, 44, 39, 7, 8, 3, 31, 12, 0, 16]
[24, 48, 1, 48, 47, 40, 0, 4, 6, 22, 8, 11, 20, 50, 19, 35, 48, 48, 42, 46, 34, 20, 12, 43, 9, 14, 13, 47, 11, 27, 27, 36, 46, 29, 15, 17, 16, 4, 21, 25, 39, 1, 46, 10, 29, 32, 26, 18, 39, 25, 28, 34, 4, 24, 0, 13, 36, 6, 47, 35, 8, 12, 17, 34, 3, 44, 6, 32, 37, 16, 39, 7, 4, 31, 15, 18, 15, 1, 18, 0, 6, 25, 40, 41, 48, 36, 11, 20, 14, 35, 11, 43, 20, 15, 5, 34, 19, 49, 10, 13, 22, 9, 39, 1, 39, 20, 26, 19, 46, 2, 47, 3, 32, 43, 9, 0, 22, 10, 33, 32, 34, 37, 5, 5, 35, 25, 31, 14, 36, 43, 36, 24, 46, 39]
[7, 37, 29, 8, 41, 2, 4, 0, 5, 47, 20, 32, 4, 11, 41, 6, 28, 27, 2, 33, 9, 36, 36, 25, 19, 27, 21, 22, 21, 7, 16, 43, 3, 22, 29, 49, 31, 21, 20, 13, 12, 42, 29, 18, 39, 40, 10, 6, 49, 6, 11, 49, 35, 24, 4, 16, 17, 10, 43, 39, 43, 37, 6, 0, 8, 38, 2, 31, 29, 37, 1, 50, 44, 33, 40, 42, 25, 31, 2, 40, 43, 27, 6, 44, 4, 29, 16, 46, 0, 23, 9, 13, 9, 47, 34, 14, 9, 19, 44, 29, 45, 38, 50, 37, 42, 18, 38, 27, 6, 28, 25, 44, 3, 41, 26, 40, 37, 48, 20, 42, 16, 0, 47, 41, 3, 17, 4, 6, 24, 40, 14, 4, 15, 32]
[43, 39, 2, 37, 1, 13, 6, 5, 0, 18, 20, 31, 20, 11, 16, 27, 34, 50, 40, 12, 0, 48, 7, 45, 15, 8, 39, 0, 8, 44, 30, 2, 23, 33, 8, 41, 16, 44, 12, 43, 17, 12, 20, 24, 22, 1, 5, 24, 25, 18, 11, 29, 12, 37, 31, 31, 4, 13, 48, 47, 8, 30, 28, 5, 2, 14, 32, 22, 36, 9, 37, 9, 39, 17, 49, 48, 40, 7, 18, 26, 29, 27, 13, 20, 11, 8, 5, 13, 27, 1, 19, 37, 11, 49, 15, 14, 45, 45, 23, 38, 5, 0, 22, 38, 46, 46, 28, 37, 44, 48, 14, 22, 40, 32, 18, 44, 20, 22, 32, 28, 3, 9, 31, 33, 37, 11, 4, 42, 4, 42, 34, 11, 23, 5]
[19, 37, 48, 31, 34, 50, 22, 47, 18, 0, 2, 12, 40, 19, 28, 30, 39, 22, 1, 7, 50, 14, 25, 13, 44, 33, 11, 26, 50, 30, 14, 20, 2, 22, 3, 11, 40, 48, 50, 43, 44, 18, 23, 47, 35, 21, 50, 47, 25, 24, 30, 15, 25, 47, 33, 29, 12, 43, 49, 10, 44, 26, 4, 26, 49, 45, 15, 28, 46, 42, 31, 37, 0, 34, 12, 24, 29, 6, 36, 5, 26, 18, 39, 6, 43, 22, 46, 50, 42, 23, 24, 26, 36, 47, 34, 40, 40, 22, 34, 2, 38, 2, 24, 15, 18, 38, 32, 50, 14, 18, 5, 19, 33, 29, 10, 21, 34, 26, 42, 19, 23, 1, 45, 49, 41, 21, 12, 3, 33, 45, 37, 48, 5, 32]
