N1,N2,...,Nx
[0, 50, 20, 42, 7, 33, 11, 16, 41, 5, 30, 15, 24, 14, 19, 30, 41, 5, 32, 47, 0, 41, 7, 29, 26, 29, 6, 48, 22, 9, 10, 50, 41, 22, 47, 0, 15, 34, 39, 44, 13]
[50, 0, 2, 35, 29, 27, 17, 7, 7, 40, 18, 9, 23, 1, 20, 17, 42, 4, 34, 32, 25, 1, 9, 6, 22, 25, 11, 49, 38, 41, 24, 25, 1, 31, 7, 28, 4, 37, 38, 44, 13]
[20, 2, 0, 12, 19, 12, 0, 10, 1, 14, 37, 41, 6, 14, 46, 23, 35, 3, 9, 29, 33, 31, 8, 15, 40, 22, 22, 17, 45, 10, 43, 2, 34, 10, 44, 7, 14, 23, 9, 13, 32]
[42, 35, 12, 0, 22, 8, 40, 19, 36, 33, 23, 6, 26, 43, 23, 26, 1, 43, 19, 28, 25, 23, 32, 14, 7, 50, 26, 29, 32, 1, 24, 33, 5, 4, 13, 43, 36, 47, 29, 39, 46]
[7, 29, 19, 22, 0, 47, 9, 34, 9, 11, 14, 24, 5, 1, 14, 13, 32, 31, 31, 34, 10, 24, 8, 22, 38, 11, 10, 0, 5, 25, 21, 9, 28, 10, 0, 30, 31, 4, 38, 19, 21]
[33, 27, 12, 8, 47, 0, 5, 37, 20, 39, 43, 47, 33, 35, 5, 20, 9, 29, 39, 12, 17, 50, 9, 28, 20, 43, 27, 39, 49, 22, 32, 32, 21, 37, 9, 42, 22, 38, 24, 14, 45]
[11, 17, 0, 40, 9, 5, 0, 0, 24, 43, 23, 46, 37, 15, 20, 24, 46, 28, 8, 18, 22, 38, 4, 4, 37, 49, 45, 34, 24, 36, 48, 45, 37, 19, 21, 9, 2, 5, 42, 35, 37]
[16, 7, 10, 19, 34, 37, 0, 0, 31, 29, 37, 39, 10, 1, 4, 15, 26, 29, 19, 33, 1, 45, 2, 21, 8, 2, 18, 9, 50, 5, 1, 2, 22, 39, 35, 46, 25, 17, 45, 17, 36]
[41, 7, 1, 36, 9, 20, 24, 31, 0, 30, 28, 27, 4, 1, 43, 3, 3, 11, 35, 44, 12, 32, 20, 35, 27, 7, 36, 32, 23, 23, 37, 44, 5, 45, 32, 46, 21, 46, 21, 8, 48]
[5, 40, 14, 33, 11, 39, 43, 29, 30, 0, 23, 14, 14, 37, 27, 37, 30, 1, 16, 33, 20, 8, 26, 0, 9, 17, 18, 45, 9, 39, 43, 44, 11, 39, 17, 30, 3, 14, 10, 36, 42]
[30, 18, 37, 23, 14, 43, 23, 37, 28, 23, 0, 38, 0, 10, 19, 4, 27, 5, 11, 29, 9, 17, 7, 5, 44, 3, 8, 25, 6, 38, 39, 25, 42, 44, 2, 11, 22, 42, 2, 23, 50]
[15, 9, 41, 6, 24, 47, 46, 39, 27, 14, 38, 0, 49, 30, 5, 47, 16, 3, 7, 18, 4, 11, 12, 38, 34, 22, 18, 33, 13, 42, 13, 43, 22, 44, 8, 13, 34, 26, 3, 3, 7]
[24, 23, 6, 26, 5, 33, 37, 10, 4, 14, 0, 49, 0, 28, 3, 9, 1, 6, 25, 45, 36, 4, 36, 30, 39, 10, 44, 39, 25, 28, 17, 41, 5, 8, 35, 49, 37, 50, 45, 45, 3]
[14, 1, 14, 43, 1, 35, 15, 1, 1, 37, 10, 30, 28, 0, 14, 18, 3, 3, 15, 4, 9, 30, 43, 32, 48, 2, 35, 22, 47, 22, 7, 2, 19, 1, 36, 33, 38, 48, 38, 43, 42]
[19, 20, 46, 23, 14, 5, 20, 4, 43, 27, 19, 5, 3, 14, 0, 8, 23, 30, 13, 14, 12, 41, 31, 26, 16, 16, 14, 1, 30, 41, 45, 49, 42, 7, 35, 46, 24, 31, 36, 20, 4]
[30, 17, 23, 26, 13, 20, 24, 15, 3, 37, 4, 47, 9, 18, 8, 0, 43, 23, 37, 22, 19, 20, 12, 33, 45, 16, 21, 7, 45, 25, 2, 7, 6, 13, 42, 36, 42, 4, 4, 39, 10]
[41, 42, 35, 1, 32, 9, 46, 26, 3, 30, 27, 16, 1, 3, 23, 43, 0, 46, 6, 28, 22, 16, 31, 47, 19, 27, 37, 14, 47, 31, 17, 23, 7, 20, 4, 33, 38, 26, 1, 12, 26]
[5, 4, 3, 43, 31, 29, 28, 29, 11, 1, 5, 3, 6, 3, 30, 23, 46, 0, 27, 9, 47, 47, 17, 10, 21, 50, 46, 8, 13, 31, 14, 0, 45, 39, 15, 12, 13, 36, 23, 20, 10]
[32, 34, 9, 19, 31, 39, 8, 19, 35, 16, 11, 7, 25, 15, 13, 37, 6, 27, 0, 28, 5, 16, 50, 17, 7, 6, 35, 43, 0, 10, 9, 13, 26, 8, 48, 20, 37, 50, 16, 11, 22]
[47, 32, 29, 28, 34, 12, 18, 33, 44, 33, 29, 18, 45, 4, 14, 22, 28, 9, 28, 0, 28, 22, 5, 11, 33, 49, 4, 42, 30, 29, 17, 44, 1, 8, 45, 46, 11, 30, 33, 18, 50]
[0, 25, 33, 25, 10, 17, 22, 1, 12, 20, 9, 4, 36, 9, 12, 19, 22, 47, 5, 28, 0, 27, 41, 9, 22, 20, 41, 24, 35, 19, 50, 9, 34, 9, 23, 25, 33, 47, 44, 50, 43]
[41, 1, 31, 23, 24, 50, 38, 45, 32, 8, 17, 11, 4, 30, 41, 20, 16, 47, 16, 22, 27, 0, 9, 8, 35, 40, 21, 30, 10, 33, 49, 9, 12, 39, 31, 1, 14, 18, 11, 44, 32]
[7, 9, 8, 32, 8, 9, 4, 2, 20, 26, 7, 12, 36, 43, 31, 12, 31, 17, 50, 5, 41, 9, 0, 39, 47, 23, 10, 46, 14, 10, 23, 17, 15, 14, 24, 21, 21, 18, 28, 2, 15]
[29, 6, 15, 14, 22, 28, 4, 21, 35, 0, 5, 38, 30, 32, 26, 33, 47, 10, 17, 11, 9, 8, 39, 0, 34, 30, 9, 38, 19, 42, 9, 28, 14, 12, 17, 41, 33, 41, 34, 29, 41]
[26, 22, 40, 7, 38, 20, 37, 8, 27, 9, 44, 34, 39, 48, 16, 45, 19, 21, 7, 33, 22, 35, 47, 34, 0, 29, 0, 39, 5, 32, 9, 1, 40, 2, 22, 49, 5, 25, 45, 5, 43]
[29, 25, 22, 50, 11, 43, 49, 2, 7, 17, 3, 22, 10, 2, 16, 16, 27, 50, 6, 49, 20, 40, 23, 30, 29, 0, 41, 23, 11, 36, 29, 32, 32, 34, 25, 31, 26, 28, 49, 8, 13]
[6, 11, 22, 26, 10, 27, 45, 18, 36, 18, 8, 18, 44, 35, 14, 21, 37, 46, 35, 4, 41, 21, 10, 9, 0, 41, 0, 2, 21, 11, 44, 16, 1, 13, 39, 31, 32, 19, 40, 20, 14]
[48, 49, 17, 29, 0, 39, 34, 9, 32, 45, 25, 33, 39, 22, 1, 7, 14, 8, 43, 42, 24, 30, 46, 38, 39, 23, 2, 0, 7, 28, 38, 50, 43, 2, 16, 27, 25, 31, 27, 34, 42]
[22, 38, 45, 32, 5, 49, 24, 50, 23, 9, 6, 13, 25, 47, 30, 45, 47, 13, 0, 30, 35, 10, 14, 19, 5, 11, 21, 7, 0, 36, 4, 31, 5, 27, 47, 24, 22, 28, 3, 28, 13]
[9, 41, 10, 1, 25, 22, 36, 5, 23, 39, 38, 42, 28, 22, 41, 25, 31, 31, 10, 29, 19, 33, 10, 42, 32, 36, 11, 28, 36, 0, 7, 9, 14, 50, 45, 0, 11, 29, 6, 10, 26]
[10, 24, 43, 24, 21, 32, 48, 1, 37, 43, 39, 13, 17, 7, 45, 2, 17, 14, 9, 17, 50, 49, 23, 9, 9, 29, 44, 38, 4, 7, 0, 8, 19, 10, 48, 47, 12, 45, 7, 24, 41]
[50, 25, 2, 33, 9, 32, 45, 2, 44, 44, 25, 43, 41, 2, 49, 7, 23, 0, 13, 44, 9, 9, 17, 28, 1, 32, 16, 50, 31, 9, 8, 0, 21, 1, 46, 12, 38, 23, 21, 32, 13]
[41, 1, 34, 5, 28, 21, 37, 22, 5, 11, 42, 22, 5, 19, 42, 6, 7, 45, 26, 1, 34, 12, 15, 14, 40, 32, 1, 43, 5, 14, 19, 21, 0, 23, 23, 10, 3, 33, 7, 33, 0]
[22, 31, 10, 4, 10, 37, 19, 39, 45, 39, 44, 44, 8, 1, 7, 13, 20, 39, 8, 8, 9, 39, 14, 12, 2, 34, 13, 2, 27, 50, 10, 1, 23, 0, 47, 9, 36, 18, 38, 40, 19]
[47, 7, 44, 13, 0, 9, 21, 35, 32, 17, 2, 8, 35, 36, 35, 42, 4, 15, 48, 45, 23, 31, 24, 17, 22, 25, 39, 16, 47, 45, 48, 46, 23, 47, 0, 34, 45, 12, 48, 41, 48]
[0, 28, 7, 43, 30, 42, 9, 46, 46, 30, 11, 13, 49, 33, 46, 36, 33, 12, 20, 46, 25, 1, 21, 41, 49, 31, 31, 27, 24, 0, 47, 12, 10, 9, 34, 0, 3, 40, 32, 10, 8]
[15, 4, 14, 36, 31, 22, 2, 25, 21, 3, 22, 34, 37, 38, 24, 42, 38, 13, 37, 11, 33, 14, 21, 33, 5, 26, 32, 25, 22, 11, 12, 38, 3, 36, 45, 3, 0, 22, 36, 0, 17]
