N1,N2,...,Nx
[0, 11, 20, 29, 1, 8, 13, 36, 36, 32, 42, 10, 16, 24, 1, 49, 49, 50, 38, 33, 45, 2, 46, 36, 36, 7, 14, 46, 48, 10, 38, 32, 27, 37, 35, 22, 25, 47, 38, 36, 18, 27, 45, 46, 33, 15, 39, 34, 32, 19, 47, 37, 20, 2, 36, 23, 47, 21, 13, 31, 17, 16, 40, 35, 14, 41, 11, 1, 10, 3, 12, 24, 7, 14, 45, 0, 0, 32, 32, 6, 25, 25, 26, 33, 15, 10, 42, 3, 43, 12, 45, 44, 42, 3, 38, 41, 43, 18, 10, 34, 32, 39, 12, 39, 26, 36, 16, 5, 3, 40, 44, 1, 49, 3, 24, 33, 44, 21, 43, 16, 12, 24, 12, 30, 33, 40, 34, 22, 9, 22, 38, 7, 5, 25, 28, 21, 38, 14, 7, 26, 30, 28, 0, 12, 15, 24, 50, 12, 7, 26, 39, 12, 24, 6, 14, 3, 15, 5, 6, 23, 24, 13]
[11, 0, 21, 12, 21, 10, 35, 14, 8, 9, 38, 29, 5, 15, 28, 6, 11, 0, 9, 24, 34, 8, 25, 26, 14, 43, 10, 43, 28, 3, 20, 26, 45, 34, 1, 21, 43, 12, 5, 12, 32, 33, 10, 6, 36, 11, 28, 31, 34, 15, 9, 25, 5, 11, 47, 43, 46, 12, 35, 15, 39, 43, 27, 33, 35, 19, 8, 37, 18, 34, 1, 29, 39, 30, 25, 5, 30, 29, 40, 35, 48, 4, 0, 46, 16, 12, 5, 41, 39, 18, 11, 26, 41, 42, 11, 0, 28, 8, 9, 6, 45, 46, 33, 26, 19, 2, 3, 19, 31, 41, 6, 48, 15, 34, 48, 2, 44, 11, 44, 12, 1, 21, 45, 44, 19, 13, 42, 9, 10, 47, 44, 29, 32, 37, 1, 37, 29, 36, 38, 43, 19, 44, 39, 49, 4, 28, 30, 46, 33, 47, 42, 40, 28, 13, 17, 1, 28, 20, 45, 4, 44, 50]
[20, 21, 0, 19, 28, 7, 26, 47, 16, 3, 22, 4, 5, 31, 4, 16, 16, 12, 47, 44, 29, 7, 24, 50, 30, 5, 19, 11, 49, 10, 27, 50, 13, 38, 29, 50, 7, 42, 27, 0, 26, 9, 17, 22, 22, 32, 44, 2, 3, 32, 31, 45, 47, 30, 48, 15, 17, 29, 38, 40, 26, 49, 5, 2, 34, 3, 42, 2, 35, 33, 3, 15, 13, 23, 33, 34, 21, 50, 4, 8, 13, 10, 25, 12, 26, 16, 44, 45, 47, 21, 46, 6, 11, 42, 24, 9, 46, 41, 15, 3, 46, 20, 38, 44, 35, 22, 36, 35, 43, 50, 41, 11, 23, 38, 50, 19, 47, 2, 2, 11, 42, 3, 45, 8, 48, 33, 4, 40, 18, 10, 36, 32, 49, 4, 34, 11, 1, 24, 37, 9, 9, 13, 13, 50, 34, 42, 44, 22, 37, 2, 29, 46, 49, 41, 13, 36, 18, 36, 26, 15, 22, 14]
[29, 12, 19, 0, 27, 21, 2, 45, 39, 10, 30, 50, 49, 44, 8, 29, 49, 25, 46, 23, 5, 7, 8, 7, 28, 14, 7, 25, 26, 35, 13, 23, 49, 2, 25, 8, 24, 48, 13, 36, 39, 12, 1, 33, 9, 26, 50, 10, 31, 10, 31, 2, 35, 44, 46, 41, 7, 46, 5, 6, 37, 38, 26, 17, 11, 1, 48, 46, 1, 3, 11, 47, 29, 0, 35, 35, 9, 26, 11, 3, 6, 0, 0, 30, 10, 5, 43, 48, 23, 31, 31, 36, 50, 40, 4, 34, 37, 38, 22, 48, 12, 23, 18, 39, 19, 28, 28, 11, 37, 12, 38, 9, 14, 1, 8, 46, 29, 25, 20, 49, 47, 48, 33, 45, 47, 38, 39, 13, 28, 13, 20, 5, 4, 44, 21, 7, 8, 26, 2, 21, 20, 42, 1, 4, 15, 29, 1, 48, 21, 49, 9, 28, 21, 31, 41, 18, 40, 28, 42, 0, 30, 23]
[1, 21, 28, 27, 0, 43, 28, 37, 8, 30, 28, 38, 29, 35, 36, 35, 8, 43, 38, 41, 19, 26, 6, 1, 9, 22, 31, 0, 46, 44, 1, 3, 46, 47, 24, 4, 14, 16, 9, 18, 49, 35, 31, 39, 0, 49, 35, 44, 10, 11, 50, 0, 42, 14, 35, 41, 20, 27, 38, 25, 48, 30, 23, 17, 41, 19, 32, 35, 11, 20, 46, 9, 48, 22, 27, 21, 16, 43, 30, 14, 21, 23, 32, 24, 15, 31, 50, 0, 41, 37, 25, 4, 37, 9, 4, 10, 50, 49, 11, 39, 4, 30, 6, 33, 1, 26, 16, 37, 26, 4, 39, 11, 29, 41, 14, 2, 4, 26, 33, 0, 17, 26, 18, 39, 35, 46, 18, 31, 29, 46, 27, 44, 29, 37, 50, 38, 29, 28, 32, 27, 2, 2, 28, 31, 0, 49, 16, 49, 39, 3, 11, 50, 43, 34, 27, 46, 17, 37, 0, 31, 43, 34]
[8, 10, 7, 21, 43, 0, 15, 37, 40, 16, 14, 28, 17, 42, 19, 31, 32, 19, 0, 48, 4, 12, 19, 41, 34, 36, 37, 43, 2, 43, 35, 32, 30, 30, 4, 14, 26, 49, 32, 48, 48, 42, 19, 15, 19, 44, 34, 12, 8, 32, 13, 21, 21, 32, 39, 6, 12, 10, 29, 1, 15, 1, 47, 19, 7, 2, 15, 7, 15, 29, 21, 45, 42, 21, 35, 18, 40, 38, 16, 12, 24, 7, 20, 7, 24, 2, 17, 49, 47, 11, 2, 23, 3, 7, 2, 50, 9, 21, 16, 29, 14, 17, 4, 3, 16, 27, 12, 11, 45, 35, 37, 2, 13, 50, 39, 24, 5, 13, 29, 43, 25, 24, 26, 30, 39, 43, 15, 39, 41, 25, 45, 17, 40, 50, 6, 29, 47, 22, 10, 13, 26, 43, 50, 12, 19, 29, 27, 5, 45, 2, 1, 31, 39, 46, 39, 47, 48, 46, 43, 45, 49, 30]
[13, 35, 26, 2, 28, 15, 0, 46, 29, 43, 0, 44, 47, 5, 30, 46, 10, 44, 50, 49, 45, 18, 4, 20, 44, 12, 48, 7, 30, 21, 40, 23, 24, 33, 16, 3, 49, 22, 36, 9, 21, 44, 39, 50, 49, 26, 42, 11, 31, 25, 18, 15, 18, 7, 7, 18, 48, 19, 21, 12, 37, 12, 12, 21, 5, 16, 14, 43, 23, 29, 20, 12, 5, 21, 25, 20, 3, 36, 40, 17, 49, 20, 31, 3, 49, 6, 28, 11, 1, 20, 22, 41, 22, 46, 12, 2, 31, 28, 10, 46, 3, 1, 41, 13, 4, 24, 49, 14, 24, 34, 6, 41, 21, 7, 5, 23, 20, 0, 22, 35, 32, 24, 37, 9, 42, 21, 25, 34, 9, 31, 1, 17, 21, 28, 0, 43, 43, 9, 32, 12, 12, 5, 37, 16, 12, 3, 24, 46, 40, 40, 27, 34, 49, 16, 12, 43, 22, 12, 4, 45, 49, 37]
[36, 14, 47, 45, 37, 37, 46, 0, 8, 30, 15, 35, 47, 7, 28, 33, 8, 26, 21, 34, 32, 36, 0, 40, 50, 45, 16, 31, 34, 16, 21, 13, 28, 43, 4, 24, 9, 50, 50, 31, 41, 6, 22, 22, 11, 19, 19, 27, 1, 36, 6, 46, 24, 40, 1, 6, 33, 18, 38, 31, 35, 45, 37, 39, 12, 40, 23, 48, 31, 8, 8, 12, 18, 30, 5, 34, 0, 32, 14, 10, 26, 38, 1, 43, 42, 42, 4, 23, 44, 4, 35, 32, 12, 6, 13, 38, 27, 28, 20, 9, 0, 19, 44, 9, 18, 32, 33, 37, 49, 40, 23, 23, 50, 3, 13, 2, 28, 29, 49, 29, 15, 14, 10, 50, 46, 33, 32, 49, 49, 15, 13, 29, 47, 21, 3, 42, 4, 34, 24, 15, 0, 2, 12, 22, 17, 29, 33, 20, 3, 29, 3, 49, 11, 3, 32, 19, 9, 11, 29, 24, 4, 47]
[36, 8, 16, 39, 8, 40, 29, 8, 0, 8, 34, 29, 50, 23, 45, 14, 37, 49, 10, 45, 6, 22, 41, 21, 38, 33, 29, 17, 23, 44, 10, 10, 14, 50, 26, 48, 16, 29, 23, 47, 34, 5, 13, 18, 9, 27, 42, 47, 31, 46, 32, 3, 42, 30, 40, 0, 20, 12, 42, 32, 26, 24, 14, 25, 1, 48, 49, 39, 49, 20, 1, 41, 5, 7, 13, 31, 46, 18, 19, 39, 27, 34, 16, 4, 8, 9, 31, 46, 29, 12, 30, 29, 30, 6, 6, 8, 17, 50, 13, 27, 17, 25, 18, 26, 18, 37, 2, 26, 22, 6, 32, 8, 15, 29, 41, 13, 10, 27, 34, 40, 23, 40, 32, 32, 37, 45, 36, 14, 24, 6, 36, 42, 14, 44, 36, 17, 20, 16, 35, 10, 46, 2, 35, 34, 20, 38, 21, 42, 32, 11, 23, 12, 39, 29, 32, 3, 33, 14, 5, 22, 22, 44]
[32, 9, 3, 10, 30, 16, 43, 30, 8, 0, 27, 24, 22, 6, 9, 47, 14, 3, 5, 21, 36, 16, 21, 10, 9, 22, 26, 13, 21, 43, 5, 44, 22, 5, 38, 25, 1, 5, 12, 18, 13, 21, 11, 26, 19, 21, 1, 33, 49, 25, 11, 7, 11, 9, 19, 45, 32, 14, 0, 4, 14, 2, 44, 47, 30, 48, 16, 42, 41, 47, 29, 22, 49, 12, 17, 47, 26, 25, 45, 44, 6, 20, 7, 41, 41, 30, 3, 30, 12, 25, 43, 30, 2, 5, 37, 18, 31, 20, 5, 15, 34, 45, 17, 47, 10, 34, 9, 29, 48, 34, 41, 1, 41, 38, 8, 6, 6, 6, 3, 38, 15, 27, 40, 25, 7, 23, 16, 1, 9, 46, 26, 30, 34, 13, 47, 8, 1, 5, 4, 39, 23, 24, 42, 21, 35, 39, 13, 36, 7, 25, 45, 28, 11, 27, 6, 23, 3, 27, 42, 2, 35, 17]
