P1,P2,...,Pn
[12, 8, 6, 5]
[9, 1, 8, 13]
[3, 2, 6, 10]
[9, 13, 3, 12]
[10, 8, 7, 11]
[13, 12, 0, 6]
[2, 8, 0, 9]
[7, 13, 4, 9]
[6, 4, 5, 7]
[5, 9, 2, 8]
[8, 5, 11, 4]
[9, 11, 13, 10]
[4, 7, 2, 8]
[12, 4, 8, 0]
[12, 10, 4, 1]
[7, 3, 9, 11]
[8, 12, 1, 4]
[13, 10, 0, 9]
[2, 5, 8, 4]
[6, 0, 1, 9]
[13, 0, 14, 1]
[14, 4, 1, 13]
[4, 9, 0, 11]
[14, 6, 8, 7]
[7, 14, 8, 9]
[1, 2, 5, 6]
[1, 6, 11, 2]
[12, 5, 4, 2]
[10, 2, 12, 7]
[6, 1, 9, 7]
[4, 2, 3, 11]
[0, 5, 14, 9]
[8, 12, 13, 9]
[13, 7, 5, 9]
[4, 14, 9, 10]
[12, 7, 14, 10]
[8, 12, 0, 3]
[14, 5, 7, 6]
[1, 5, 2, 12]
[0, 8, 4, 2]
[8, 11, 3, 12]
[7, 9, 1, 11]
[12, 6, 3, 4]
[1, 0, 4, 14]
[6, 7, 12, 14]
[1, 5, 6, 10]
[11, 0, 14, 9]
[4, 7, 14, 10]
[3, 6, 8, 11]
[13, 8, 9, 2]
[1, 12, 11, 0]
[6, 5, 8, 10]
[3, 9, 0, 13]
[0, 11, 12, 4]
[5, 13, 4, 8]
[4, 3, 8, 14]
[8, 4, 11, 14]
[5, 0, 2, 1]
[1, 3, 6, 12]
[11, 7, 6, 5]
[5, 1, 7, 12]
[13, 14, 2, 6]
[7, 2, 5, 6]
[7, 8, 3, 5]
[11, 13, 8, 10]
[6, 2, 7, 12]
[12, 3, 2, 0]
[6, 8, 7, 3]
[10, 4, 1, 7]
[3, 8, 5, 0]
[2, 3, 4, 1]
[5, 6, 0, 4]
[5, 2, 0, 6]
[2, 4, 5, 7]
[2, 11, 7, 4]
[6, 5, 0, 7]
[11, 1, 4, 7]
[10, 8, 7, 9]
[8, 4, 9, 11]
[13, 0, 6, 8]
[11, 13, 5, 3]
[1, 2, 5, 9]
[5, 11, 8, 10]
[13, 10, 9, 11]
[7, 12, 6, 11]
[9, 8, 7, 11]
[6, 3, 4, 2]
[10, 11, 13, 8]
[10, 9, 8, 6]
[1, 12, 13, 0]
[9, 7, 3, 12]
[8, 0, 3, 7]
[2, 1, 9, 10]
[9, 12, 5, 4]
[7, 14, 11, 8]
[8, 13, 9, 14]
[6, 4, 0, 10]
[6, 11, 5, 3]
[6, 3, 7, 1]
[6, 2, 14, 1]
[6, 2, 1, 14]
[2, 8, 12, 14]
[9, 11, 8, 14]
[1, 10, 5, 11]
[3, 14, 8, 2]
[8, 1, 14, 2]
[3, 14, 7, 5]
[4, 5, 9, 10]
[11, 0, 13, 10]
[9, 8, 7, 13]
[3, 11, 6, 8]
[4, 0, 8, 7]
[10, 8, 6, 1]
[8, 10, 3, 11]
[7, 10, 3, 5]
[8, 13, 11, 3]
[7, 10, 1, 11]
[1, 12, 7, 10]
[12, 3, 1, 14]
[11, 1, 0, 4]
[10, 9, 4, 5]
[10, 6, 2, 7]
[5, 11, 14, 12]
[4, 8, 14, 2]
[1, 4, 12, 10]
[13, 12, 0, 1]
[6, 9, 5, 11]
[14, 3, 7, 11]
[0, 11, 10, 13]
[12, 3, 13, 5]
[2, 7, 14, 10]
[2, 0, 1, 11]
[13, 1, 10, 3]
[4, 5, 8, 1]
[1, 3, 6, 4]
[14, 0, 8, 2]
[6, 3, 9, 2]
[4, 7, 1, 3]
[12, 3, 5, 11]
[6, 8, 0, 10]
[6, 0, 14, 8]
[4, 9, 3, 6]
[14, 7, 4, 6]
[1, 13, 9, 14]
[7, 3, 4, 9]
[3, 2, 13, 12]
[12, 0, 2, 5]
[4, 1, 14, 13]
[2, 12, 14, 1]
[13, 9, 8, 12]
[4, 14, 1, 12]
[7, 12, 6, 0]
[2, 9, 14, 6]
[12, 0, 8, 13]
[9, 7, 8, 1]
[5, 6, 0, 8]
[7, 14, 9, 2]
[10, 9, 12, 3]
[7, 0, 2, 11]
[3, 1, 13, 0]
[0, 1, 7, 13]
[10, 0, 14, 7]
[13, 6, 9, 11]
[1, 7, 10, 9]
[6, 4, 14, 3]
[13, 9, 8, 5]
[1, 5, 9, 7]
[5, 13, 8, 1]
[4, 5, 7, 14]
[3, 12, 4, 0]
[12, 11, 9, 14]
[0, 14, 11, 12]
[9, 12, 11, 8]
[13, 3, 5, 9]
[14, 13, 10, 1]
[0, 9, 7, 4]
[1, 8, 4, 14]
[9, 4, 11, 0]
[3, 4, 11, 10]
[5, 6, 7, 2]
[13, 11, 14, 1]
[1, 5, 4, 3]
[8, 7, 1, 4]
[10, 9, 14, 4]
[7, 5, 10, 3]
[14, 0, 6, 12]
[10, 8, 2, 14]
[0, 11, 10, 14]
[6, 1, 13, 10]
[1, 13, 14, 4]
[14, 12, 4, 7]
[8, 11, 7, 1]
[13, 1, 0, 10]
[4, 11, 6, 12]
[13, 7, 5, 3]
[3, 4, 2, 10]
[6, 14, 5, 13]
[8, 3, 12, 0]
[5, 3, 7, 13]
[13, 6, 8, 0]
[4, 12, 2, 13]
[4, 11, 10, 5]
[5, 8, 10, 2]
[2, 13, 8, 11]
[10, 14, 7, 13]
[2, 3, 0, 11]
[8, 0, 5, 12]
[13, 2, 10, 11]
[0, 8, 12, 9]
[5, 14, 2, 0]
[9, 1, 11, 6]
[3, 10, 5, 2]
[12, 8, 3, 0]
[12, 2, 7, 11]
[9, 5, 8, 7]
[13, 12, 9, 8]
[3, 6, 10, 7]
[12, 9, 7, 8]
[2, 4, 8, 3]
[13, 3, 11, 6]
[13, 11, 1, 3]
[6, 13, 10, 4]
[10, 4, 2, 1]
[9, 0, 5, 10]
[8, 0, 11, 1]
[12, 4, 3, 14]
[3, 4, 13, 0]
[12, 0, 6, 14]
[14, 13, 11, 9]
[14, 2, 9, 0]
[4, 8, 9, 1]
[8, 6, 0, 9]
[3, 1, 12, 11]
[5, 11, 10, 2]
[5, 12, 8, 11]
[12, 5, 6, 3]
[7, 11, 10, 13]
[6, 5, 14, 13]
[12, 14, 13, 1]
[9, 4, 12, 3]
[1, 9, 11, 10]
[2, 7, 0, 4]
[7, 13, 12, 10]
[9, 7, 11, 0]
[6, 0, 3, 4]
[9, 11, 6, 14]
[9, 12, 0, 3]
[11, 1, 0, 2]
[7, 1, 8, 5]
[6, 10, 7, 3]
[5, 0, 11, 2]
[1, 12, 5, 11]
[10, 12, 11, 9]
[12, 1, 6, 8]
[2, 12, 14, 13]
[14, 11, 3, 4]
[13, 10, 4, 5]
[7, 12, 8, 5]
