P1,P2,...,Pn
[13, 3, 2, 14]
[14, 12, 10, 5]
[7, 9, 2, 1]
[1, 6, 9, 11]
[0, 8, 2, 14]
[1, 3, 13, 8]
[12, 0, 11, 3]
[5, 11, 6, 0]
[4, 2, 0, 8]
[3, 0, 14, 10]
[7, 3, 6, 5]
[8, 4, 13, 11]
[3, 6, 14, 5]
[8, 6, 9, 0]
[11, 2, 9, 12]
[1, 10, 4, 13]
[10, 1, 8, 7]
[6, 11, 13, 9]
[6, 4, 3, 9]
[1, 2, 0, 4]
[6, 9, 13, 11]
[8, 9, 3, 10]
[11, 0, 8, 4]
[8, 10, 7, 1]
[2, 14, 7, 6]
[10, 12, 11, 9]
[2, 3, 5, 14]
[9, 1, 3, 7]
[2, 12, 10, 1]
[6, 4, 0, 1]
[10, 9, 14, 4]
[11, 8, 14, 10]
[7, 13, 5, 14]
[14, 10, 8, 1]
[5, 7, 10, 6]
[10, 6, 9, 11]
[7, 4, 11, 14]
[7, 0, 14, 5]
[14, 6, 10, 5]
[14, 2, 1, 9]
[14, 2, 8, 0]
[12, 14, 5, 9]
[3, 9, 11, 12]
[10, 13, 14, 1]
[12, 13, 11, 10]
[12, 5, 1, 14]
[10, 7, 9, 11]
[7, 3, 6, 14]
[5, 9, 1, 3]
[11, 1, 4, 3]
[8, 3, 4, 5]
[4, 1, 0, 3]
[13, 11, 12, 10]
[12, 3, 0, 8]
[4, 0, 3, 14]
[14, 5, 0, 11]
[5, 12, 7, 9]
[14, 10, 11, 8]
[13, 10, 9, 8]
[14, 7, 1, 8]
[4, 14, 1, 8]
[6, 13, 8, 7]
[14, 9, 2, 5]
[12, 1, 3, 5]
[10, 9, 7, 4]
[14, 5, 3, 10]
[8, 12, 1, 5]
[11, 0, 2, 10]
[11, 3, 13, 4]
[14, 6, 5, 2]
[2, 12, 13, 10]
[11, 5, 14, 10]
[8, 9, 2, 5]
[5, 7, 8, 14]
[11, 3, 7, 8]
[9, 13, 5, 8]
[4, 13, 14, 2]
[5, 12, 11, 0]
[10, 5, 0, 6]
[2, 3, 9, 10]
[2, 13, 5, 10]
[1, 12, 10, 4]
[11, 3, 6, 2]
[12, 1, 4, 8]
[13, 12, 7, 6]
[3, 11, 12, 4]
[9, 8, 14, 5]
[9, 5, 10, 3]
[11, 0, 9, 14]
[4, 6, 10, 9]
[7, 10, 5, 14]
[6, 14, 4, 13]
[1, 9, 5, 11]
[9, 4, 11, 13]
[1, 13, 11, 12]
[12, 13, 7, 14]
[7, 14, 6, 0]
[12, 7, 9, 1]
[3, 11, 1, 6]
[9, 7, 6, 5]
[5, 2, 4, 6]
[6, 2, 7, 5]
[5, 2, 1, 0]
[4, 13, 0, 10]
[1, 13, 6, 4]
[5, 2, 14, 8]
[0, 3, 10, 5]
[8, 0, 3, 5]
[2, 6, 13, 0]
[9, 6, 7, 2]
