P1,P2,...,Pn
[5, 4, 6, 7]
[6, 2, 10, 14]
[8, 12, 2, 4]
[13, 7, 0, 9]
[2, 11, 0, 1]
[6, 4, 7, 13]
[12, 3, 14, 10]
[2, 1, 4, 11]
[9, 2, 5, 4]
[4, 13, 1, 3]
[4, 14, 12, 9]
[5, 1, 9, 8]
[10, 11, 13, 9]
[11, 5, 8, 7]
[12, 6, 11, 0]
[11, 8, 7, 0]
[11, 7, 8, 9]
[5, 8, 2, 9]
[1, 4, 6, 5]
[7, 11, 10, 6]
[10, 11, 12, 0]
[4, 3, 10, 11]
[4, 2, 9, 13]
[7, 12, 0, 2]
[8, 9, 6, 14]
[6, 4, 0, 11]
[10, 12, 0, 1]
[9, 2, 1, 12]
[3, 8, 7, 1]
[11, 10, 13, 7]
[3, 7, 6, 4]
[2, 8, 0, 7]
[11, 9, 6, 0]
[11, 1, 7, 5]
[10, 7, 6, 14]
[2, 5, 1, 12]
[8, 10, 6, 3]
[10, 4, 0, 7]
[0, 1, 6, 8]
[1, 5, 7, 11]
[12, 11, 6, 7]
[7, 14, 5, 4]
[8, 12, 5, 4]
[8, 5, 6, 3]
[3, 10, 8, 11]
[4, 1, 10, 6]
[7, 4, 6, 9]
[5, 14, 9, 8]
[13, 3, 8, 7]
[4, 1, 14, 11]
[12, 13, 14, 5]
[9, 2, 11, 6]
[1, 11, 6, 0]
[11, 13, 9, 8]
[5, 8, 4, 9]
[0, 10, 5, 13]
[3, 0, 1, 10]
[1, 2, 9, 8]
[6, 3, 5, 9]
[5, 7, 10, 13]
[1, 14, 10, 3]
[3, 13, 2, 8]
[13, 10, 14, 1]
[8, 6, 14, 1]
[4, 7, 8, 13]
[10, 13, 8, 6]
[9, 0, 5, 11]
[13, 6, 8, 11]
[9, 3, 4, 14]
[12, 3, 6, 5]
[7, 3, 6, 13]
[2, 4, 9, 10]
[12, 8, 10, 5]
[6, 9, 7, 0]
[2, 5, 13, 1]
[4, 5, 10, 13]
[8, 6, 12, 9]
[9, 12, 7, 1]
[9, 1, 10, 7]
[4, 3, 11, 5]
[10, 13, 11, 3]
[11, 13, 0, 10]
[9, 8, 10, 2]
[11, 7, 14, 4]
[1, 9, 0, 7]
[5, 0, 10, 11]
[13, 12, 8, 11]
[4, 13, 6, 11]
[0, 6, 4, 12]
[4, 11, 9, 8]
[4, 2, 11, 12]
[5, 9, 0, 12]
[9, 5, 11, 10]
[10, 5, 7, 1]
[1, 13, 11, 9]
[9, 3, 14, 4]
[3, 12, 9, 5]
[2, 8, 4, 1]
[4, 12, 2, 13]
[6, 7, 14, 9]
[13, 9, 0, 4]
[7, 14, 8, 13]
[12, 9, 6, 5]
[13, 11, 6, 12]
[9, 3, 10, 7]
[14, 2, 0, 4]
[14, 13, 1, 7]
[9, 0, 5, 12]
[0, 11, 6, 14]
[2, 9, 14, 12]
[1, 6, 10, 8]
[10, 12, 8, 13]
[8, 12, 9, 6]
[8, 0, 12, 13]
[13, 0, 7, 6]
[4, 1, 2, 10]
[3, 4, 10, 1]
[0, 13, 3, 6]
[11, 3, 0, 1]
[3, 6, 8, 13]
[5, 6, 4, 0]
[9, 6, 4, 10]
[9, 4, 2, 6]
[4, 3, 10, 9]
[7, 10, 5, 9]
[10, 13, 2, 4]
[6, 9, 14, 10]
[3, 2, 8, 10]
[3, 9, 2, 1]
[0, 7, 3, 8]
[3, 0, 6, 5]
[2, 12, 10, 6]
[3, 4, 8, 11]
[5, 11, 2, 10]
[7, 10, 13, 1]
[0, 11, 7, 14]
[0, 5, 7, 10]
[2, 7, 13, 3]
[14, 3, 0, 5]
[10, 5, 4, 11]
[0, 5, 10, 11]
[10, 1, 5, 9]
[8, 1, 14, 12]
[0, 8, 9, 11]
[12, 1, 8, 11]
[5, 6, 1, 10]
