P1,P2,...,Pn
[6, 11, 9, 8]
[1, 7, 0, 14]
[8, 7, 3, 5]
[11, 3, 6, 0]
[4, 5, 8, 11]
[5, 0, 7, 14]
[12, 10, 9, 4]
[13, 10, 3, 11]
[5, 12, 7, 11]
[7, 4, 0, 8]
[0, 14, 7, 1]
[14, 4, 6, 7]
[3, 6, 10, 0]
[1, 3, 4, 2]
[2, 1, 13, 10]
[12, 10, 13, 0]
[11, 7, 3, 9]
[14, 12, 4, 8]
[11, 5, 6, 7]
[3, 8, 10, 13]
[4, 9, 7, 14]
[12, 13, 6, 2]
[4, 10, 3, 8]
[11, 8, 1, 9]
[4, 8, 7, 9]
[4, 7, 3, 11]
[0, 11, 2, 12]
[3, 12, 14, 6]
[0, 11, 5, 7]
[14, 0, 10, 5]
[6, 3, 8, 13]
[11, 6, 7, 4]
[4, 1, 14, 2]
[3, 5, 1, 11]
[11, 10, 8, 3]
[2, 4, 7, 8]
[1, 6, 8, 11]
[2, 9, 1, 0]
[0, 2, 9, 10]
[5, 11, 0, 13]
[4, 10, 7, 14]
[0, 8, 1, 5]
[6, 4, 0, 5]
[8, 12, 3, 0]
[9, 7, 6, 8]
[10, 13, 6, 1]
[3, 0, 13, 6]
[14, 0, 6, 11]
[3, 6, 8, 2]
[7, 14, 10, 13]
[0, 5, 13, 4]
[13, 5, 0, 4]
[14, 10, 12, 11]
[12, 1, 8, 10]
[7, 12, 6, 14]
[4, 5, 7, 1]
[12, 4, 13, 2]
[11, 13, 4, 3]
[11, 4, 9, 6]
[6, 8, 3, 12]
[5, 2, 0, 9]
[7, 14, 10, 13]
[14, 3, 0, 5]
[14, 3, 13, 2]
[13, 12, 8, 4]
[3, 6, 10, 11]
[5, 11, 0, 13]
[8, 2, 9, 1]
[2, 9, 1, 5]
[7, 12, 11, 3]
[14, 10, 6, 9]
[2, 14, 11, 7]
[14, 8, 6, 13]
[4, 9, 14, 10]
[1, 9, 7, 0]
[14, 5, 8, 6]
[3, 0, 9, 4]
[0, 2, 12, 4]
[8, 13, 3, 9]
[13, 14, 8, 11]
[10, 12, 13, 2]
[0, 6, 3, 1]
[4, 10, 8, 3]
[9, 2, 3, 10]
[7, 9, 5, 11]
[2, 11, 10, 13]
[9, 1, 12, 4]
[5, 4, 10, 6]
[5, 3, 14, 11]
[7, 8, 4, 13]
[8, 9, 11, 13]
[13, 7, 8, 14]
[6, 8, 10, 12]
[1, 11, 10, 5]
[14, 0, 7, 1]
[6, 12, 5, 10]
[13, 7, 6, 4]
[4, 8, 10, 6]
[5, 9, 10, 3]
[7, 0, 2, 3]
[13, 11, 0, 7]
[12, 14, 2, 4]
[7, 6, 13, 2]
[11, 7, 14, 8]
[1, 5, 2, 13]
[5, 4, 1, 10]
[7, 3, 5, 4]
[6, 14, 0, 4]
[4, 0, 1, 9]
[10, 14, 0, 5]
[2, 3, 6, 9]
[0, 13, 14, 10]
[9, 10, 4, 11]
[14, 13, 7, 2]
[0, 1, 8, 13]
[12, 3, 10, 14]
[6, 4, 1, 9]
[11, 2, 8, 12]
[7, 10, 2, 0]
[12, 2, 11, 13]
[12, 8, 4, 9]
[0, 10, 6, 3]
[12, 5, 2, 14]
[5, 9, 7, 10]
[10, 13, 1, 12]
[9, 1, 4, 11]
[11, 2, 5, 0]
[0, 9, 13, 5]
[7, 14, 5, 6]
[4, 13, 1, 14]
[0, 2, 7, 4]
[1, 10, 5, 6]
[7, 13, 0, 12]
[3, 5, 4, 9]
[5, 11, 12, 10]
[7, 14, 2, 13]
[5, 9, 0, 6]
[1, 3, 5, 4]
[14, 0, 1, 3]
[13, 1, 8, 14]
[14, 12, 1, 3]
[0, 6, 13, 2]
[12, 8, 0, 2]
[1, 8, 9, 2]
[11, 7, 2, 8]
[9, 4, 12, 14]
[6, 14, 2, 9]
[4, 8, 2, 9]
[5, 14, 0, 1]
[1, 4, 11, 0]
[10, 13, 0, 9]
[0, 10, 2, 11]
[12, 9, 4, 6]
[6, 8, 14, 1]
[4, 8, 13, 11]
[1, 11, 0, 4]
[11, 8, 13, 12]
[3, 10, 11, 2]
[13, 1, 11, 7]
[12, 11, 7, 8]
[5, 4, 8, 10]
[3, 7, 10, 4]
[13, 3, 7, 5]
[1, 5, 3, 14]
[8, 4, 13, 14]
[12, 14, 11, 8]
[4, 14, 0, 13]
[6, 2, 4, 13]
[0, 1, 12, 9]
[5, 7, 3, 13]
[7, 11, 2, 1]
[3, 11, 0, 9]
[8, 0, 13, 9]
[4, 9, 10, 12]
[8, 2, 3, 9]
[9, 2, 6, 0]
[2, 14, 1, 5]
[12, 0, 8, 4]
[6, 4, 12, 7]
[3, 2, 9, 6]
[11, 5, 10, 9]
[2, 9, 6, 10]
[13, 2, 3, 11]
[4, 5, 0, 7]
[8, 12, 4, 0]
[9, 5, 6, 10]
[1, 6, 10, 11]
[1, 12, 13, 0]
[7, 13, 5, 4]
[9, 5, 13, 11]
[11, 14, 1, 7]
[1, 9, 0, 7]
[8, 5, 7, 14]
[1, 11, 6, 14]
[11, 12, 13, 7]
[1, 10, 0, 13]
[5, 1, 4, 10]
[5, 7, 12, 0]
[0, 7, 4, 9]
[12, 6, 13, 4]
[6, 9, 5, 14]
[11, 0, 12, 2]
[6, 2, 9, 11]
[4, 12, 6, 0]
[0, 1, 7, 9]
[1, 4, 2, 0]
[4, 14, 6, 3]
[7, 3, 9, 10]
[12, 1, 7, 0]
[9, 13, 11, 10]
[1, 2, 13, 4]
[14, 0, 11, 10]
[14, 12, 4, 13]
[0, 12, 3, 14]
[5, 3, 9, 8]
[1, 14, 7, 4]
[4, 10, 0, 9]
[2, 6, 3, 9]
[9, 10, 8, 11]
[10, 13, 8, 0]
[3, 10, 14, 2]
[1, 7, 10, 11]
[14, 1, 9, 11]
[1, 0, 4, 7]
[7, 12, 9, 1]
