P1,P2,...,Pn
[2, 14, 6, 13]
[5, 9, 2, 4]
[1, 2, 7, 10]
[9, 14, 6, 11]
[5, 0, 1, 10]
[5, 0, 3, 10]
[9, 11, 2, 7]
[0, 2, 5, 14]
[12, 10, 5, 0]
[10, 13, 0, 1]
[0, 5, 3, 10]
[3, 11, 0, 4]
[13, 11, 2, 1]
[1, 6, 13, 4]
[14, 2, 3, 5]
[12, 11, 4, 1]
[10, 13, 7, 2]
[10, 3, 9, 4]
[1, 13, 3, 2]
[10, 8, 12, 5]
[5, 6, 9, 2]
[1, 2, 9, 14]
[2, 0, 4, 8]
[8, 3, 14, 10]
[9, 3, 10, 8]
[1, 9, 6, 2]
[10, 13, 8, 3]
[1, 14, 13, 9]
[8, 7, 13, 1]
[6, 12, 14, 9]
[12, 10, 7, 8]
[11, 14, 6, 1]
[9, 5, 1, 3]
[12, 11, 10, 0]
[8, 11, 0, 2]
[11, 5, 1, 3]
[6, 12, 9, 0]
[10, 7, 11, 2]
[12, 0, 3, 2]
[3, 0, 13, 11]
[14, 6, 12, 0]
[11, 1, 14, 5]
[6, 8, 4, 3]
[0, 5, 3, 6]
[13, 5, 11, 12]
[3, 11, 8, 7]
[10, 13, 7, 3]
[14, 11, 7, 3]
[3, 1, 12, 13]
[2, 6, 7, 0]
[11, 8, 12, 4]
[3, 2, 1, 10]
[14, 1, 13, 2]
[1, 10, 6, 4]
[14, 8, 6, 13]
[1, 7, 5, 6]
[12, 11, 7, 4]
[14, 6, 3, 9]
[5, 11, 3, 13]
[0, 2, 7, 3]
[8, 2, 1, 0]
[13, 3, 9, 6]
[14, 9, 3, 0]
[6, 4, 13, 9]
[7, 2, 14, 5]
[5, 13, 8, 2]
[3, 8, 7, 4]
[11, 13, 7, 0]
[10, 11, 7, 12]
[4, 7, 1, 11]
[9, 8, 4, 7]
[4, 6, 3, 0]
[5, 6, 11, 12]
[11, 8, 14, 13]
[9, 3, 6, 12]
[3, 11, 2, 8]
[6, 12, 5, 10]
[12, 5, 4, 0]
[4, 12, 6, 14]
[8, 4, 5, 14]
[3, 4, 12, 1]
[10, 12, 6, 0]
[10, 4, 3, 13]
[3, 11, 8, 4]
[8, 10, 14, 4]
[0, 4, 2, 1]
[11, 0, 2, 5]
[4, 8, 7, 5]
[0, 14, 8, 12]
[10, 8, 12, 5]
[7, 4, 1, 3]
[2, 11, 12, 3]
[3, 2, 13, 4]
[9, 6, 12, 1]
[0, 8, 14, 6]
[12, 7, 14, 6]
[9, 2, 3, 12]
[14, 3, 13, 5]
[9, 3, 0, 7]
[5, 3, 12, 14]
[11, 0, 1, 13]
[14, 0, 9, 8]
[3, 1, 2, 4]
[5, 3, 10, 12]
[4, 8, 7, 13]
[13, 0, 11, 2]
[11, 4, 9, 7]
[6, 8, 7, 12]
[0, 10, 11, 3]
[7, 14, 10, 5]
[6, 7, 9, 0]
[3, 7, 6, 5]
[4, 13, 6, 0]
[0, 14, 9, 4]
[5, 6, 13, 0]
[2, 5, 1, 9]
[2, 14, 6, 9]
[9, 10, 8, 14]
[3, 0, 5, 4]
[1, 9, 3, 10]
[8, 7, 10, 14]
[8, 13, 1, 7]
[14, 9, 5, 3]
[13, 7, 14, 11]
[12, 5, 13, 2]
[14, 13, 0, 11]
[2, 6, 0, 5]
[2, 6, 8, 10]
[0, 5, 8, 11]
[3, 6, 10, 9]
[8, 1, 0, 3]
[2, 7, 8, 9]
[4, 8, 9, 2]
[5, 9, 1, 14]
[6, 10, 8, 3]
[5, 6, 2, 13]
[13, 6, 9, 11]
[9, 1, 13, 4]
[1, 8, 10, 2]
[8, 1, 12, 14]
[0, 6, 3, 2]
[6, 8, 13, 9]
[10, 2, 6, 9]
[0, 1, 7, 5]
[14, 2, 1, 9]
[9, 7, 1, 13]
[3, 12, 9, 0]
[2, 5, 10, 14]
[9, 1, 11, 3]
[8, 6, 1, 13]
[9, 1, 14, 2]
[0, 5, 1, 14]
[10, 14, 1, 4]
