P1,P2,...,Pn
[7, 10, 3, 2]
[6, 10, 4, 3]
[1, 10, 12, 4]
[7, 13, 6, 2]
[8, 2, 12, 7]
[2, 7, 9, 14]
[4, 8, 5, 12]
[5, 8, 12, 4]
[8, 10, 1, 11]
[2, 1, 13, 4]
[14, 1, 11, 8]
[10, 4, 3, 9]
[3, 4, 9, 7]
[5, 0, 13, 1]
[2, 14, 5, 12]
[9, 10, 6, 12]
[5, 0, 13, 3]
[2, 7, 1, 12]
[6, 5, 4, 12]
[5, 3, 14, 4]
[6, 7, 11, 4]
[4, 9, 3, 0]
[9, 10, 1, 5]
[8, 4, 13, 0]
[8, 9, 13, 3]
[7, 6, 0, 8]
[13, 2, 9, 5]
[4, 12, 11, 10]
[4, 13, 9, 5]
[3, 12, 7, 13]
[1, 0, 4, 14]
[1, 11, 13, 4]
[4, 8, 1, 3]
[11, 13, 4, 8]
[12, 1, 13, 5]
[14, 0, 2, 1]
[10, 11, 3, 1]
[10, 13, 12, 14]
[6, 14, 2, 10]
[1, 6, 13, 8]
[8, 2, 10, 6]
[13, 3, 0, 5]
[14, 0, 7, 11]
[6, 9, 0, 3]
[2, 12, 7, 0]
[9, 3, 11, 5]
[10, 5, 14, 0]
[6, 11, 9, 5]
[1, 12, 6, 10]
[3, 8, 0, 7]
[5, 2, 9, 4]
[9, 2, 1, 6]
[1, 9, 13, 6]
[6, 8, 14, 12]
[4, 8, 14, 7]
[9, 12, 5, 3]
[7, 10, 5, 14]
[7, 5, 9, 8]
[8, 5, 14, 10]
[0, 13, 11, 4]
[5, 14, 12, 7]
[14, 2, 0, 5]
[12, 11, 13, 2]
[11, 3, 6, 8]
[13, 2, 4, 9]
[14, 1, 11, 3]
[0, 12, 4, 1]
[7, 8, 6, 14]
[9, 10, 14, 3]
[3, 7, 9, 14]
[8, 7, 1, 10]
[4, 3, 7, 6]
[2, 8, 9, 11]
[1, 2, 10, 9]
[2, 8, 7, 13]
[9, 0, 14, 10]
[11, 8, 10, 6]
[11, 0, 10, 3]
[12, 9, 4, 10]
