P1,P2,...,Pn
[9, 2, 6, 5, 4]
[4, 8, 14, 13, 1]
[5, 4, 12, 1, 8]
[5, 6, 13, 12, 0]
[4, 1, 13, 11, 2]
[8, 11, 13, 9, 0]
[12, 0, 7, 5, 11]
[9, 11, 4, 7, 2]
[12, 0, 13, 14, 3]
[10, 14, 2, 5, 6]
[9, 3, 11, 14, 7]
[8, 11, 2, 6, 0]
[13, 10, 14, 12, 8]
[8, 7, 0, 14, 11]
[7, 8, 1, 2, 0]
[6, 8, 5, 3, 9]
[7, 10, 12, 6, 5]
[12, 7, 1, 13, 11]
[6, 1, 14, 9, 3]
[14, 5, 7, 1, 2]
[2, 1, 11, 12, 10]
[6, 11, 0, 8, 5]
[14, 1, 12, 4, 6]
[1, 7, 2, 8, 3]
[10, 4, 13, 2, 0]
[0, 3, 13, 7, 4]
[9, 6, 4, 5, 14]
[3, 0, 7, 11, 10]
[3, 12, 8, 11, 4]
[13, 14, 11, 12, 4]
[4, 13, 7, 11, 9]
[4, 3, 1, 0, 10]
[6, 3, 2, 14, 11]
[2, 13, 12, 1, 4]
[10, 2, 3, 13, 0]
[4, 12, 0, 2, 5]
[7, 6, 9, 12, 11]
[0, 9, 13, 1, 10]
[0, 12, 6, 13, 3]
[14, 4, 9, 2, 13]
[10, 13, 6, 8, 7]
[0, 14, 10, 2, 13]
[8, 6, 0, 1, 11]
[13, 9, 14, 2, 6]
[14, 10, 5, 12, 13]
[0, 4, 6, 13, 3]
[8, 1, 5, 0, 2]
[12, 14, 13, 7, 3]
[10, 7, 5, 4, 2]
[0, 1, 3, 10, 8]
[9, 4, 13, 0, 7]
[14, 13, 9, 0, 5]
[13, 5, 10, 6, 12]
[13, 5, 11, 10, 7]
