P1,P2,...,Pn
[1, 12, 3, 0]
[1, 0, 12, 13]
[0, 10, 13, 7]
[10, 5, 9, 14]
[8, 11, 6, 7]
[9, 12, 8, 1]
[12, 6, 7, 9]
[12, 0, 7, 14]
[14, 6, 7, 3]
[2, 5, 0, 11]
[1, 0, 13, 5]
[4, 1, 7, 3]
[12, 1, 2, 7]
[8, 11, 4, 2]
[4, 14, 10, 12]
[13, 9, 14, 12]
[8, 0, 3, 13]
[12, 2, 6, 7]
[14, 1, 13, 9]
[13, 3, 8, 12]
[10, 11, 4, 0]
[10, 9, 0, 3]
[13, 9, 4, 2]
[7, 0, 4, 13]
[0, 6, 1, 5]
[7, 9, 8, 0]
[9, 1, 2, 13]
[12, 7, 0, 13]
[4, 2, 10, 0]
[6, 10, 9, 5]
[6, 2, 10, 7]
[10, 6, 4, 3]
[8, 13, 3, 7]
[2, 7, 9, 5]
[10, 11, 7, 5]
[2, 3, 0, 9]
[10, 2, 9, 0]
[1, 0, 5, 8]
[12, 1, 11, 6]
[5, 8, 1, 9]
[7, 13, 12, 9]
[12, 5, 7, 6]
[3, 2, 5, 11]
[12, 2, 10, 5]
[14, 4, 11, 2]
[12, 14, 0, 3]
[11, 0, 10, 4]
[9, 7, 11, 1]
[5, 2, 12, 1]
[11, 14, 6, 1]
[13, 9, 6, 1]
[2, 5, 0, 6]
[7, 6, 12, 3]
[11, 7, 9, 13]
[7, 9, 2, 3]
[12, 10, 8, 6]
[5, 11, 2, 12]
[6, 9, 14, 10]
[11, 1, 0, 2]
[5, 6, 4, 3]
[6, 2, 12, 9]
[13, 11, 7, 4]
[10, 2, 13, 5]
[0, 4, 3, 10]
[9, 4, 8, 3]
[8, 5, 11, 0]
[6, 8, 13, 10]
[2, 4, 10, 9]
[14, 8, 11, 5]
[12, 0, 2, 9]
[3, 2, 11, 0]
[5, 1, 14, 4]
[12, 9, 6, 14]
[7, 6, 12, 4]
[7, 11, 0, 2]
[14, 1, 0, 4]
[11, 4, 9, 13]
[6, 8, 14, 11]
[12, 4, 8, 3]
[6, 4, 11, 13]
[1, 7, 0, 5]
[8, 2, 5, 1]
[11, 6, 5, 14]
[7, 2, 1, 11]
[4, 1, 11, 12]
[8, 6, 7, 3]
[10, 13, 11, 5]
[13, 2, 11, 12]
[4, 5, 0, 3]
[8, 0, 11, 13]
[12, 7, 9, 14]
[1, 3, 12, 13]
[11, 5, 10, 0]
[14, 9, 1, 10]
[14, 1, 11, 2]
[11, 3, 7, 4]
[11, 3, 10, 4]
[14, 5, 3, 2]
[6, 5, 10, 0]
[10, 1, 13, 0]
[14, 11, 6, 5]
[10, 5, 11, 12]
[12, 7, 8, 3]
[2, 13, 6, 9]
[13, 3, 0, 4]
[12, 0, 9, 4]
[10, 5, 4, 9]
[1, 10, 6, 5]
[10, 11, 7, 2]
[0, 10, 9, 3]
[12, 4, 10, 6]
[13, 1, 5, 0]
[10, 8, 4, 6]
[8, 14, 13, 4]
[1, 5, 8, 14]
[0, 13, 6, 10]
[8, 3, 1, 7]
[8, 14, 3, 2]
[6, 7, 1, 5]
[3, 0, 6, 12]
[14, 6, 3, 10]
[13, 1, 6, 2]
[14, 2, 3, 7]
[3, 2, 10, 5]
[10, 1, 13, 7]
[1, 9, 2, 0]
[0, 12, 2, 11]
[13, 1, 2, 9]
[12, 9, 6, 2]
[3, 10, 6, 1]
[9, 11, 8, 2]
[1, 8, 4, 9]
[4, 5, 2, 9]
[5, 7, 14, 13]
[8, 10, 9, 14]
[1, 2, 9, 13]
[0, 2, 11, 8]
[13, 10, 6, 0]
[7, 10, 5, 3]
[7, 4, 11, 14]
[9, 7, 6, 10]
[13, 8, 6, 2]
[1, 4, 8, 12]
[12, 9, 5, 11]
[0, 8, 9, 11]
