P1,P2,...,Pn
[13, 9, 1, 5, 0]
[10, 2, 6, 9, 0]
[7, 2, 8, 0, 14]
[7, 10, 8, 0, 11]
[4, 3, 2, 7, 8]
[4, 9, 2, 8, 0]
[9, 11, 13, 14, 4]
[8, 13, 11, 9, 6]
[2, 7, 3, 11, 12]
[5, 3, 11, 7, 8]
[10, 2, 4, 3, 7]
[0, 11, 2, 14, 5]
[6, 4, 2, 11, 14]
[6, 14, 11, 1, 0]
[6, 14, 13, 4, 11]
[11, 7, 12, 14, 10]
[14, 2, 7, 10, 13]
[1, 11, 8, 6, 10]
[14, 3, 8, 5, 11]
[8, 9, 3, 11, 7]
[1, 6, 5, 3, 11]
[11, 0, 10, 4, 8]
[11, 3, 10, 5, 7]
[9, 3, 12, 5, 10]
[8, 10, 4, 6, 2]
[7, 8, 11, 14, 2]
[7, 3, 10, 5, 2]
[1, 12, 4, 11, 8]
[5, 14, 11, 8, 3]
[11, 5, 1, 14, 6]
[4, 11, 8, 1, 10]
[12, 2, 8, 6, 13]
[3, 0, 5, 6, 14]
[3, 10, 9, 12, 0]
[9, 10, 6, 13, 3]
[6, 5, 12, 3, 9]
[0, 12, 6, 14, 8]
[11, 6, 9, 2, 3]
[0, 4, 13, 8, 3]
[11, 1, 5, 13, 10]
[5, 6, 7, 13, 8]
[8, 6, 1, 0, 13]
[7, 13, 6, 11, 9]
[8, 2, 7, 5, 9]
[0, 4, 11, 3, 2]
[13, 11, 3, 1, 14]
[6, 2, 13, 10, 14]
[7, 12, 8, 2, 11]
[8, 1, 6, 10, 2]
[2, 1, 14, 6, 5]
[13, 5, 12, 8, 0]
[0, 11, 14, 12, 2]
[5, 10, 7, 9, 0]
[10, 9, 8, 0, 14]
[5, 11, 1, 8, 3]
[5, 12, 2, 10, 8]
[7, 14, 2, 8, 0]
[12, 2, 11, 7, 13]
[2, 7, 8, 3, 6]
[7, 14, 12, 5, 6]
[4, 7, 10, 2, 6]
[5, 14, 11, 2, 12]
[14, 2, 3, 10, 7]
[11, 6, 13, 10, 7]
[8, 3, 6, 0, 7]
[13, 8, 11, 12, 9]
[10, 7, 13, 11, 0]
[4, 2, 3, 13, 1]
[12, 9, 10, 0, 1]
[13, 6, 11, 7, 2]
[0, 14, 1, 11, 3]
[7, 2, 12, 14, 0]
[3, 8, 10, 7, 11]
[11, 6, 0, 2, 13]
[10, 1, 5, 9, 8]
[9, 12, 10, 0, 11]
[8, 0, 11, 2, 7]
[4, 10, 7, 12, 6]
[0, 12, 3, 1, 5]
[3, 12, 11, 14, 2]
[2, 3, 6, 11, 9]
[7, 1, 10, 6, 0]
[3, 1, 0, 10, 4]
[2, 4, 11, 10, 14]
[11, 13, 0, 9, 3]
[9, 14, 12, 2, 7]
[2, 5, 1, 11, 13]
[7, 1, 4, 6, 14]
[1, 14, 11, 10, 12]
[5, 3, 10, 12, 7]
[0, 4, 2, 11, 1]
[5, 13, 4, 14, 12]
[13, 4, 8, 12, 14]
[14, 1, 10, 8, 7]
[1, 4, 10, 2, 3]
[6, 12, 13, 1, 7]
[5, 10, 8, 6, 12]
[11, 7, 8, 6, 1]
[4, 8, 1, 3, 10]
[11, 5, 10, 4, 14]
[6, 0, 3, 10, 7]
[11, 4, 3, 12, 5]
[5, 6, 11, 7, 4]
[4, 1, 7, 6, 5]
[7, 4, 8, 0, 13]
[9, 6, 0, 7, 10]
[14, 8, 11, 5, 7]
[3, 0, 11, 7, 12]
[11, 0, 8, 6, 1]
[14, 11, 2, 13, 0]
[4, 8, 1, 12, 7]
[12, 6, 9, 5, 14]
[14, 4, 1, 7, 6]
[13, 12, 14, 4, 2]
[13, 10, 11, 14, 0]
[1, 7, 12, 8, 5]
[3, 0, 4, 14, 7]
[5, 2, 3, 11, 14]
[5, 14, 4, 3, 6]
[4, 3, 0, 11, 7]
[5, 1, 14, 9, 7]
[4, 12, 14, 1, 6]
[5, 4, 8, 11, 1]
[9, 11, 10, 7, 5]
[14, 12, 10, 6, 11]
[7, 10, 8, 12, 6]
[0, 6, 3, 12, 1]
[7, 10, 0, 11, 2]
[13, 0, 2, 7, 3]
[4, 1, 8, 5, 7]
[13, 10, 8, 9, 4]
[14, 5, 7, 12, 10]
[7, 3, 4, 5, 11]
[8, 1, 13, 6, 12]
[7, 9, 8, 11, 10]
[0, 14, 3, 8, 7]
[3, 11, 5, 9, 13]
[5, 0, 10, 4, 13]
[9, 7, 0, 2, 6]
[3, 6, 11, 8, 2]
[5, 13, 2, 10, 0]
[12, 8, 0, 9, 6]
[10, 11, 9, 1, 0]
[11, 10, 4, 3, 2]
[12, 4, 7, 10, 14]
[13, 7, 6, 8, 3]
[14, 8, 4, 2, 12]
[5, 6, 8, 1, 11]
[12, 3, 7, 4, 9]
[6, 1, 9, 5, 14]
[2, 5, 0, 7, 14]
[7, 3, 5, 11, 6]
[3, 7, 12, 10, 11]
[13, 0, 14, 11, 3]
[5, 6, 3, 11, 12]
[5, 2, 14, 3, 9]
[3, 7, 4, 13, 6]
[7, 1, 9, 11, 12]
[10, 3, 2, 7, 13]
[9, 1, 4, 3, 11]
[3, 0, 6, 4, 13]
[2, 9, 10, 6, 11]
[6, 10, 11, 8, 12]
[13, 1, 14, 3, 4]
[8, 5, 7, 12, 0]
[11, 13, 7, 6, 0]
[13, 0, 6, 1, 2]
[6, 9, 14, 13, 3]
[0, 5, 1, 10, 13]
[10, 3, 9, 11, 12]
[14, 8, 13, 4, 10]
[9, 14, 3, 13, 4]
[3, 1, 2, 5, 10]
[9, 0, 6, 12, 2]
[7, 4, 13, 12, 6]
[0, 12, 9, 10, 6]
[6, 0, 8, 3, 1]
[3, 0, 11, 1, 10]
[8, 4, 6, 14, 3]
[9, 0, 5, 13, 6]
[7, 1, 9, 0, 14]
[7, 10, 2, 8, 11]
[0, 12, 6, 10, 7]
[12, 3, 0, 2, 5]
[1, 13, 3, 5, 2]
[2, 9, 12, 13, 1]
[1, 5, 14, 12, 8]
[2, 12, 14, 3, 11]
[14, 10, 13, 7, 5]
[9, 13, 5, 1, 14]
[6, 11, 9, 7, 4]
[9, 3, 11, 14, 10]
[12, 14, 9, 13, 4]
[1, 2, 3, 4, 10]
[13, 12, 3, 10, 2]
[7, 13, 2, 3, 1]
[11, 6, 12, 3, 0]
[7, 14, 1, 12, 8]
[4, 5, 8, 11, 14]
[14, 3, 1, 12, 6]
[1, 0, 5, 14, 4]
[0, 4, 14, 3, 5]
[3, 13, 9, 11, 1]
[13, 12, 3, 1, 4]
[12, 6, 2, 1, 13]
[14, 11, 4, 1, 5]
[5, 11, 13, 7, 12]
[14, 5, 3, 13, 6]
[5, 12, 3, 8, 14]
[7, 3, 13, 5, 4]
[7, 14, 6, 1, 13]
[1, 7, 5, 8, 13]
[4, 2, 1, 8, 6]
[2, 10, 12, 3, 8]
