P1,P2,...,Pn
[14, 7, 10, 5, 6]
[12, 5, 0, 10, 6]
[2, 11, 3, 6, 9]
[3, 1, 13, 14, 9]
[14, 7, 13, 2, 4]
[2, 12, 11, 10, 9]
[6, 4, 0, 1, 2]
[10, 6, 8, 7, 5]
[13, 2, 10, 14, 11]
[0, 9, 11, 7, 3]
[0, 6, 2, 13, 10]
[9, 2, 11, 5, 3]
[8, 14, 3, 5, 0]
[11, 4, 9, 10, 12]
[6, 12, 5, 3, 8]
[10, 12, 7, 1, 14]
[11, 13, 9, 0, 8]
[0, 1, 8, 3, 11]
[4, 9, 3, 6, 10]
[10, 12, 6, 9, 0]
[6, 5, 4, 9, 11]
[10, 5, 9, 12, 6]
[7, 11, 4, 12, 1]
[5, 10, 13, 8, 14]
[14, 9, 13, 3, 10]
[7, 11, 14, 13, 12]
[13, 6, 11, 5, 8]
[9, 7, 0, 1, 11]
[6, 3, 1, 0, 12]
[13, 12, 14, 10, 3]
[7, 2, 8, 13, 14]
[9, 3, 2, 11, 12]
[12, 8, 7, 6, 0]
[6, 9, 4, 3, 14]
[10, 2, 12, 14, 3]
[0, 6, 3, 4, 12]
[12, 13, 2, 14, 7]
[6, 14, 3, 4, 12]
[10, 4, 14, 5, 6]
[10, 9, 13, 3, 5]
[11, 10, 5, 8, 3]
[9, 0, 4, 14, 6]
[4, 5, 2, 7, 12]
[4, 6, 12, 10, 1]
[8, 10, 12, 1, 14]
[3, 10, 2, 14, 13]
[0, 9, 8, 1, 6]
[8, 12, 9, 7, 11]
[8, 1, 10, 0, 6]
[2, 11, 3, 6, 1]
[14, 1, 12, 0, 9]
[11, 14, 8, 1, 12]
[8, 1, 13, 9, 11]
[14, 1, 5, 8, 0]
[10, 13, 0, 8, 5]
[5, 0, 3, 14, 12]
[1, 5, 11, 12, 6]
[12, 3, 4, 13, 1]
[13, 7, 0, 3, 6]
[5, 4, 3, 6, 10]
[8, 6, 12, 13, 1]
[0, 12, 7, 14, 10]
[7, 11, 9, 4, 12]
[12, 7, 13, 9, 5]
[11, 6, 9, 3, 2]
[0, 8, 12, 9, 14]
[14, 9, 12, 10, 11]
[8, 10, 12, 7, 5]
[3, 6, 8, 0, 1]
[1, 6, 0, 11, 14]
[2, 6, 14, 0, 1]
[7, 6, 2, 13, 0]
[4, 14, 9, 6, 5]
[1, 12, 13, 2, 14]
[7, 11, 9, 3, 10]
[1, 6, 2, 9, 7]
[10, 8, 1, 14, 0]
[13, 10, 8, 0, 4]
[0, 12, 6, 4, 8]
[6, 1, 4, 2, 0]
