P1,P2,...,Pn
[4, 14, 2, 12, 8]
[11, 7, 8, 2, 1]
[12, 14, 1, 0, 5]
[8, 2, 13, 14, 9]
[14, 4, 13, 2, 3]
[3, 12, 0, 7, 10]
[5, 1, 13, 7, 10]
[14, 11, 3, 13, 4]
[4, 10, 14, 12, 11]
[11, 1, 5, 9, 6]
[9, 14, 12, 7, 11]
[6, 5, 4, 2, 14]
[5, 10, 3, 12, 11]
[12, 8, 0, 11, 6]
[9, 6, 7, 11, 2]
[9, 11, 3, 12, 14]
[6, 3, 7, 8, 13]
[3, 10, 9, 11, 6]
[9, 5, 10, 1, 14]
[13, 3, 12, 14, 11]
[9, 5, 7, 13, 14]
[7, 10, 6, 14, 12]
[3, 2, 11, 0, 13]
[3, 2, 10, 0, 1]
[1, 3, 11, 2, 4]
[4, 14, 2, 6, 13]
[13, 7, 8, 11, 3]
[0, 13, 11, 2, 1]
[12, 4, 1, 9, 10]
[2, 14, 4, 5, 11]
[2, 4, 8, 12, 10]
[13, 2, 10, 5, 11]
[8, 0, 1, 4, 9]
[4, 0, 10, 3, 1]
[13, 0, 2, 12, 9]
[7, 5, 14, 12, 11]
[9, 13, 3, 6, 4]
[8, 10, 1, 4, 11]
[3, 5, 9, 1, 13]
[14, 9, 1, 2, 6]
[9, 0, 4, 3, 5]
[2, 12, 10, 3, 1]
[7, 3, 8, 2, 0]
[9, 6, 2, 0, 5]
[6, 1, 11, 12, 5]
[7, 6, 10, 11, 12]
[5, 9, 0, 8, 10]
[4, 9, 1, 13, 14]
[6, 13, 3, 12, 10]
[11, 1, 6, 7, 14]
[3, 10, 0, 12, 7]
[3, 14, 2, 10, 13]
[6, 13, 4, 8, 1]
[5, 12, 6, 1, 10]
[14, 6, 13, 11, 9]
[9, 8, 3, 11, 4]
[4, 11, 9, 8, 6]
[9, 14, 1, 6, 2]
[1, 8, 12, 13, 0]
[1, 14, 10, 5, 4]
[8, 4, 2, 12, 10]
[12, 6, 2, 13, 9]
[14, 10, 2, 4, 13]
[13, 1, 12, 14, 2]
[12, 9, 10, 14, 8]
[5, 7, 11, 14, 6]
[11, 5, 10, 9, 4]
[8, 12, 9, 0, 1]
[6, 10, 12, 2, 8]
[8, 11, 6, 12, 10]
[12, 8, 9, 4, 2]
[11, 9, 2, 14, 1]
[2, 14, 11, 12, 9]
[6, 11, 2, 8, 10]
[5, 7, 3, 0, 13]
[2, 13, 3, 0, 6]
[3, 0, 7, 13, 4]
[3, 7, 0, 12, 1]
[3, 13, 8, 10, 9]
[1, 7, 3, 2, 0]
[12, 14, 5, 10, 9]
[5, 0, 1, 6, 8]
[0, 6, 2, 8, 10]
[12, 6, 5, 10, 8]
[13, 5, 11, 12, 6]
[0, 7, 11, 14, 5]
[14, 2, 6, 3, 8]
[11, 6, 12, 1, 0]
[0, 5, 7, 4, 13]
[8, 11, 6, 7, 4]
[1, 9, 6, 14, 5]
[14, 4, 1, 12, 5]
[13, 4, 9, 8, 14]
[5, 10, 2, 11, 12]
[11, 12, 8, 1, 9]
[12, 6, 2, 3, 14]
[7, 2, 14, 5, 6]
[8, 9, 0, 10, 5]
[6, 1, 0, 10, 8]
[13, 6, 3, 11, 12]
[11, 14, 6, 2, 1]
[10, 9, 12, 13, 3]
[6, 0, 7, 13, 4]
[5, 12, 2, 8, 9]
[7, 8, 5, 11, 1]
[1, 8, 11, 5, 0]
[4, 12, 7, 10, 1]
[11, 4, 14, 6, 2]
[12, 1, 13, 11, 8]
[8, 1, 10, 14, 2]
[13, 7, 3, 5, 14]
[5, 14, 0, 8, 12]
[2, 5, 7, 6, 9]
[2, 0, 7, 6, 14]
[4, 7, 5, 1, 14]
[2, 9, 13, 7, 6]
[8, 0, 14, 3, 9]
[7, 10, 9, 3, 2]
[5, 10, 12, 1, 3]
[7, 3, 2, 13, 12]
[0, 10, 11, 7, 8]
[0, 8, 4, 14, 9]
[4, 14, 6, 1, 3]
[12, 1, 4, 10, 13]
[14, 11, 12, 10, 5]
[5, 6, 14, 3, 1]
[3, 6, 11, 13, 9]
[0, 10, 4, 6, 2]
[2, 4, 0, 11, 13]
[12, 13, 11, 2, 6]
[2, 3, 5, 14, 10]
[4, 6, 11, 0, 8]
[13, 9, 12, 2, 10]
[5, 3, 12, 9, 8]
[13, 4, 8, 14, 3]
[7, 8, 9, 12, 6]
[2, 1, 4, 10, 9]
[1, 4, 8, 10, 11]
[8, 4, 13, 14, 2]
[1, 12, 14, 5, 3]
[0, 10, 9, 14, 1]
[6, 13, 12, 10, 1]
[10, 12, 7, 11, 9]
[3, 10, 5, 4, 9]
[13, 7, 10, 4, 9]
[9, 13, 2, 11, 12]
[12, 10, 11, 6, 14]
[11, 10, 3, 2, 9]
[4, 1, 10, 3, 9]
[10, 4, 7, 2, 1]
[13, 5, 10, 0, 2]
[5, 14, 10, 0, 7]
[4, 13, 12, 1, 10]
[12, 0, 5, 1, 8]
[9, 7, 11, 13, 0]
[12, 6, 11, 9, 0]
[3, 7, 8, 0, 1]
[8, 10, 0, 12, 14]
[14, 7, 8, 3, 10]
[1, 13, 0, 10, 9]
[4, 14, 11, 8, 6]
[11, 3, 9, 2, 13]
[13, 3, 4, 9, 12]
[2, 4, 5, 0, 9]
[9, 11, 5, 1, 0]
[9, 3, 11, 5, 12]
[8, 14, 11, 3, 13]
[0, 2, 12, 13, 10]
[10, 4, 2, 7, 6]
[9, 2, 1, 10, 14]
[2, 7, 1, 4, 12]
[7, 6, 5, 3, 8]
[12, 6, 1, 8, 3]
[2, 0, 9, 8, 5]
