P1,P2,...,Pn
[13, 4, 14, 8, 2]
[3, 0, 11, 5, 13]
[14, 2, 11, 8, 4]
[5, 11, 3, 12, 9]
[9, 5, 8, 10, 2]
[10, 8, 14, 9, 4]
[2, 0, 4, 3, 1]
[6, 10, 9, 7, 2]
[4, 6, 12, 5, 1]
[10, 7, 14, 0, 1]
[14, 11, 8, 5, 4]
[2, 5, 8, 4, 14]
[14, 1, 10, 5, 6]
[2, 14, 7, 5, 3]
[8, 9, 3, 13, 5]
[6, 0, 5, 12, 2]
[9, 0, 14, 13, 12]
[6, 11, 2, 9, 14]
[13, 2, 1, 0, 14]
[9, 11, 8, 6, 7]
[4, 11, 13, 7, 3]
[11, 8, 3, 13, 12]
[13, 4, 9, 8, 12]
[0, 12, 13, 10, 14]
[14, 1, 6, 12, 5]
[1, 8, 9, 7, 6]
[5, 10, 6, 4, 12]
[6, 7, 2, 13, 1]
[12, 11, 5, 3, 2]
[1, 8, 14, 4, 6]
[7, 13, 5, 9, 12]
[7, 10, 5, 4, 2]
[11, 1, 13, 6, 4]
[10, 13, 4, 11, 9]
[8, 12, 2, 6, 5]
[12, 13, 1, 7, 6]
[14, 10, 8, 13, 12]
[14, 2, 3, 0, 9]
[9, 13, 10, 7, 8]
[14, 0, 3, 8, 12]
[7, 8, 3, 12, 11]
[4, 7, 12, 10, 1]
[12, 14, 6, 2, 4]
[9, 13, 2, 1, 12]
[2, 13, 12, 9, 0]
[1, 10, 0, 2, 14]
[8, 9, 14, 3, 7]
[8, 13, 11, 9, 7]
[5, 12, 2, 1, 4]
[4, 10, 12, 5, 3]
[6, 13, 5, 12, 4]
[6, 11, 5, 12, 3]
[14, 4, 0, 10, 1]
[5, 6, 7, 13, 3]
[1, 5, 6, 8, 2]
[3, 6, 13, 4, 10]
[1, 12, 2, 13, 0]
[9, 3, 12, 5, 10]
[11, 14, 2, 1, 0]
[5, 11, 0, 3, 8]
[1, 12, 13, 7, 4]
[5, 0, 2, 7, 1]
[2, 0, 11, 8, 4]
[11, 6, 8, 0, 14]
[0, 12, 14, 13, 10]
[2, 12, 0, 1, 6]
[8, 10, 3, 1, 14]
[8, 2, 14, 7, 11]
[13, 2, 10, 0, 4]
[5, 13, 14, 2, 6]
[11, 2, 6, 5, 3]
[4, 1, 3, 7, 5]
[2, 13, 7, 9, 0]
[9, 8, 13, 11, 6]
[8, 6, 5, 0, 7]
[1, 9, 0, 6, 3]
[1, 11, 13, 9, 10]
[3, 1, 2, 6, 12]
[2, 0, 3, 5, 11]
[4, 8, 14, 10, 2]
[14, 12, 0, 10, 9]
[12, 8, 0, 13, 3]
[3, 12, 13, 14, 6]
[1, 8, 7, 6, 11]
[13, 6, 10, 5, 7]
[9, 8, 14, 11, 3]
[9, 2, 8, 14, 13]
[13, 0, 14, 5, 3]
[2, 6, 7, 14, 1]
[9, 7, 6, 8, 1]
[12, 6, 1, 5, 3]
[10, 9, 4, 7, 0]
[14, 4, 3, 8, 7]
[4, 11, 10, 6, 12]
[5, 0, 3, 12, 8]
[13, 6, 4, 3, 12]
[11, 2, 8, 12, 0]
[1, 11, 2, 6, 10]
[13, 0, 9, 14, 6]
[1, 8, 0, 10, 13]
[13, 11, 6, 9, 12]
[12, 2, 0, 13, 14]
[3, 5, 14, 9, 11]
[1, 14, 12, 2, 5]
[6, 11, 9, 3, 7]
[5, 8, 2, 3, 13]
[12, 9, 13, 14, 4]
[4, 5, 9, 6, 10]
[5, 3, 0, 9, 4]
[2, 11, 6, 12, 9]
[4, 10, 3, 14, 11]
[0, 14, 6, 1, 4]
[5, 8, 4, 12, 3]
[13, 1, 8, 3, 4]
[6, 2, 13, 9, 10]
[3, 0, 5, 8, 10]
[11, 4, 12, 5, 8]
[6, 4, 10, 5, 2]
[10, 12, 1, 5, 14]
[12, 9, 6, 5, 13]
[8, 7, 0, 6, 12]
[1, 14, 2, 0, 10]
[1, 11, 5, 9, 2]
[4, 0, 8, 2, 3]
[4, 0, 8, 6, 11]
[8, 7, 13, 10, 9]
[0, 9, 13, 12, 8]
