P1,P2,...,Pn
[1, 5, 0, 9, 8]
[2, 3, 10, 7, 14]
[14, 6, 9, 7, 10]
[5, 2, 12, 9, 14]
[13, 4, 10, 12, 3]
[6, 5, 2, 7, 0]
[2, 12, 1, 8, 4]
[8, 7, 6, 10, 12]
[13, 12, 8, 2, 9]
[9, 6, 0, 3, 14]
[4, 9, 7, 8, 12]
[14, 13, 8, 2, 12]
[5, 6, 0, 10, 3]
[0, 5, 14, 9, 4]
[7, 8, 1, 5, 10]
[4, 2, 10, 12, 5]
[7, 6, 3, 5, 4]
[0, 11, 2, 6, 12]
[11, 4, 9, 14, 8]
[3, 1, 13, 6, 2]
[1, 7, 3, 9, 2]
[7, 6, 9, 0, 12]
[7, 3, 0, 10, 1]
[4, 9, 8, 11, 2]
[10, 14, 12, 7, 2]
[2, 3, 11, 9, 1]
[12, 2, 11, 10, 5]
[13, 5, 3, 7, 9]
[0, 11, 14, 5, 2]
[2, 1, 12, 9, 5]
[11, 14, 10, 3, 12]
[12, 14, 9, 3, 5]
[1, 3, 12, 0, 5]
[5, 3, 11, 2, 14]
[0, 13, 11, 2, 6]
[1, 9, 11, 8, 12]
[14, 13, 3, 6, 8]
[14, 0, 2, 6, 7]
[8, 3, 6, 5, 13]
[11, 14, 6, 0, 8]
[8, 14, 1, 0, 10]
[11, 10, 6, 14, 3]
[4, 10, 6, 2, 8]
[0, 9, 10, 6, 14]
[13, 8, 12, 11, 14]
[12, 14, 13, 0, 3]
[2, 8, 14, 4, 1]
[12, 0, 9, 2, 7]
[13, 2, 11, 1, 14]
[1, 4, 7, 0, 13]
[12, 3, 8, 6, 0]
[8, 14, 12, 13, 9]
[0, 4, 6, 1, 10]
[2, 6, 0, 7, 11]
[6, 3, 11, 10, 14]
[11, 6, 14, 13, 7]
[1, 11, 10, 3, 5]
[0, 7, 12, 9, 2]
[3, 8, 9, 0, 2]
[6, 9, 4, 0, 5]
[6, 2, 14, 0, 3]
[1, 8, 13, 5, 12]
[5, 7, 10, 6, 8]
[9, 4, 2, 8, 0]
[14, 10, 13, 8, 6]
[7, 4, 6, 2, 13]
[5, 9, 0, 14, 6]
[2, 7, 6, 13, 14]
[11, 5, 14, 12, 10]
[14, 5, 3, 1, 6]
[14, 11, 6, 3, 7]
[13, 11, 1, 0, 14]
[10, 12, 1, 7, 11]
[9, 11, 12, 10, 4]
[13, 7, 11, 4, 0]
[11, 8, 13, 14, 1]
[6, 0, 5, 13, 12]
[6, 1, 7, 0, 5]
[2, 7, 12, 6, 10]
[11, 1, 7, 2, 12]
[1, 6, 11, 12, 10]
[12, 11, 6, 8, 7]
[6, 11, 12, 5, 1]
[5, 8, 4, 9, 2]
[7, 6, 2, 10, 14]
[4, 1, 7, 13, 11]
[11, 4, 10, 12, 3]
[11, 4, 14, 8, 12]
[6, 9, 8, 13, 10]
[3, 5, 0, 14, 6]
[5, 10, 13, 2, 6]
[10, 2, 4, 0, 9]
[4, 1, 12, 9, 6]
[9, 13, 3, 10, 4]
[9, 0, 12, 4, 5]
[9, 12, 4, 8, 7]
[0, 5, 2, 7, 14]
[9, 3, 1, 12, 5]
[10, 1, 2, 0, 7]
[6, 3, 4, 7, 13]
[13, 14, 0, 2, 1]
[6, 1, 5, 11, 14]
[2, 0, 12, 14, 3]
[10, 1, 14, 4, 11]
[11, 6, 8, 1, 12]
[5, 8, 13, 14, 4]
[5, 11, 12, 8, 14]
[1, 2, 12, 13, 4]
[2, 3, 5, 14, 7]
[7, 1, 5, 0, 14]
[12, 6, 4, 3, 0]
[2, 5, 1, 4, 10]
[2, 8, 11, 14, 1]
[14, 7, 0, 10, 9]
[11, 5, 4, 9, 13]
[10, 8, 0, 9, 2]
[1, 2, 9, 13, 11]
[10, 6, 11, 14, 4]
[6, 9, 8, 11, 14]
[0, 3, 13, 10, 1]
[14, 8, 11, 5, 2]
[6, 5, 11, 9, 2]
[4, 11, 7, 8, 3]
[2, 13, 11, 7, 1]
[4, 5, 8, 11, 14]
[8, 9, 6, 12, 14]
[5, 14, 13, 1, 11]
[12, 11, 13, 5, 6]
[8, 6, 7, 13, 12]
[7, 0, 14, 13, 1]
[3, 6, 5, 0, 9]
[9, 11, 10, 5, 6]
[6, 7, 4, 14, 0]
[9, 1, 13, 4, 6]
[7, 11, 8, 12, 2]
[13, 10, 2, 14, 3]
[11, 12, 5, 0, 10]
[0, 8, 14, 2, 3]
[10, 2, 6, 1, 12]
[6, 1, 11, 14, 2]
[8, 4, 3, 14, 7]
[3, 6, 12, 13, 5]
[12, 1, 5, 3, 8]
[12, 6, 4, 10, 1]
[10, 9, 8, 11, 2]
[5, 13, 14, 10, 4]
[4, 1, 12, 9, 7]
[10, 12, 3, 2, 6]
[3, 6, 12, 11, 5]
[4, 10, 13, 9, 5]
[4, 6, 3, 9, 0]
[8, 11, 7, 14, 12]
[1, 4, 12, 3, 9]
[2, 6, 8, 3, 11]
[10, 3, 14, 1, 2]
[8, 5, 12, 14, 6]
[6, 8, 3, 9, 1]
[7, 0, 3, 4, 5]
[7, 0, 14, 5, 8]
[11, 4, 12, 5, 7]
[2, 9, 14, 1, 13]
[11, 3, 8, 12, 13]
[9, 13, 1, 0, 8]
[11, 14, 10, 13, 2]
[3, 7, 9, 1, 6]
[4, 1, 10, 3, 0]
[10, 13, 1, 6, 11]
[8, 0, 11, 9, 3]
[13, 11, 4, 10, 14]
[6, 11, 13, 0, 10]
[5, 11, 8, 10, 1]
[8, 12, 3, 10, 11]
[3, 2, 11, 7, 6]
[11, 1, 8, 10, 13]
[11, 2, 4, 0, 14]
[8, 14, 4, 1, 13]
[0, 6, 2, 12, 3]
[6, 9, 4, 7, 1]
[1, 14, 11, 2, 3]
[7, 9, 10, 13, 0]
[12, 10, 2, 7, 3]
[11, 3, 1, 14, 9]
[7, 10, 11, 12, 14]
[10, 5, 7, 14, 0]
[1, 14, 2, 12, 8]
[8, 7, 3, 12, 0]
[0, 6, 5, 12, 9]
[8, 13, 4, 10, 5]
[3, 5, 9, 7, 0]
[5, 1, 4, 6, 8]
[3, 0, 8, 6, 10]
[8, 3, 4, 7, 11]
