P1,P2,...,Pn
[9, 4, 14, 1, 7]
[6, 3, 10, 2, 4]
[11, 0, 4, 8, 7]
[8, 2, 3, 5, 11]
[2, 14, 5, 7, 9]
[12, 5, 6, 13, 3]
[3, 0, 8, 1, 4]
[9, 0, 11, 6, 12]
[7, 2, 12, 5, 11]
[10, 5, 7, 11, 1]
[7, 6, 12, 3, 0]
[9, 0, 5, 11, 14]
[12, 10, 9, 0, 11]
[14, 5, 12, 4, 9]
[2, 1, 6, 12, 10]
[3, 10, 12, 6, 1]
[7, 9, 5, 10, 1]
[9, 13, 5, 6, 4]
[1, 3, 11, 6, 4]
[4, 6, 11, 13, 2]
[1, 13, 14, 3, 6]
[14, 8, 13, 2, 6]
[0, 7, 5, 1, 8]
[4, 9, 3, 2, 11]
[11, 5, 10, 6, 2]
[12, 0, 1, 8, 10]
[0, 8, 9, 6, 1]
[6, 13, 10, 9, 8]
[0, 13, 8, 11, 6]
[8, 5, 3, 9, 14]
[10, 6, 9, 4, 3]
[3, 11, 5, 13, 8]
[6, 10, 4, 3, 9]
[5, 4, 11, 0, 1]
[10, 4, 13, 3, 5]
[1, 8, 3, 5, 7]
[7, 11, 2, 10, 8]
[2, 6, 0, 10, 7]
[13, 10, 1, 5, 14]
[10, 6, 9, 8, 11]
[13, 12, 14, 8, 5]
[2, 3, 7, 5, 1]
[3, 2, 14, 0, 4]
[11, 10, 8, 1, 13]
[6, 1, 14, 4, 0]
[10, 1, 13, 12, 9]
[0, 9, 5, 14, 4]
[7, 8, 13, 9, 12]
[5, 0, 8, 2, 7]
[11, 3, 10, 1, 13]
[14, 7, 12, 13, 4]
[8, 11, 9, 12, 2]
[0, 9, 13, 6, 7]
[4, 7, 12, 11, 2]
[1, 2, 12, 14, 4]
[3, 11, 13, 12, 10]
[3, 0, 5, 11, 13]
[10, 7, 12, 0, 14]
[1, 10, 7, 4, 14]
[2, 11, 8, 13, 5]
[7, 12, 3, 1, 9]
[13, 4, 2, 6, 8]
[10, 9, 11, 0, 12]
[1, 2, 0, 14, 13]
[12, 2, 7, 5, 8]
[6, 10, 9, 3, 2]
[5, 4, 7, 6, 13]
