P1,P2,...,Pn
[8, 6, 14, 11]
[4, 10, 13, 0]
[6, 5, 0, 11]
[1, 4, 7, 13]
[9, 5, 8, 12]
[7, 1, 12, 14]
[2, 1, 8, 9]
[9, 0, 2, 12]
[14, 4, 6, 0]
[8, 12, 1, 3]
[14, 7, 1, 3]
[7, 5, 6, 2]
[5, 12, 7, 9]
[8, 12, 9, 7]
[6, 12, 8, 5]
[4, 8, 7, 11]
[1, 6, 5, 3]
[2, 8, 4, 13]
[6, 11, 13, 5]
[4, 12, 8, 2]
[1, 4, 14, 8]
[4, 3, 0, 11]
[12, 13, 14, 1]
[1, 6, 8, 9]
[0, 3, 10, 11]
[7, 8, 6, 12]
[10, 3, 11, 7]
[11, 7, 4, 8]
[12, 3, 1, 8]
[9, 13, 10, 12]
[1, 4, 9, 3]
[8, 14, 4, 0]
[8, 13, 7, 14]
[5, 6, 11, 10]
[12, 3, 9, 0]
[8, 6, 0, 9]
[11, 4, 3, 0]
[13, 10, 8, 3]
[7, 8, 11, 4]
[14, 11, 6, 13]
[12, 4, 10, 14]
[7, 5, 14, 8]
[3, 10, 2, 8]
[9, 0, 7, 10]
[12, 1, 4, 0]
[8, 6, 14, 1]
[13, 6, 10, 1]
[1, 10, 0, 6]
[9, 0, 3, 12]
[11, 9, 3, 7]
[3, 4, 2, 10]
[0, 2, 12, 14]
[7, 6, 0, 11]
[13, 12, 7, 9]
[13, 4, 6, 3]
[13, 4, 1, 14]
[14, 13, 7, 11]
[7, 14, 2, 3]
[10, 0, 8, 7]
[0, 9, 14, 8]
[14, 7, 13, 1]
[8, 10, 4, 14]
[7, 10, 9, 12]
[13, 3, 11, 12]
[13, 9, 7, 8]
[9, 10, 0, 14]
[2, 7, 14, 12]
[4, 6, 0, 1]
[8, 10, 11, 2]
[12, 6, 7, 2]
[4, 12, 6, 7]
[11, 1, 14, 10]
[9, 14, 10, 0]
[14, 10, 2, 13]
[4, 6, 12, 2]
[8, 11, 9, 1]
[13, 12, 3, 1]
[6, 14, 9, 8]
[12, 3, 8, 2]
[12, 2, 8, 7]
[6, 3, 13, 14]
[8, 7, 11, 1]
[10, 5, 6, 0]
[9, 10, 11, 12]
[12, 13, 11, 9]
[9, 2, 7, 5]
[14, 11, 12, 9]
[4, 1, 14, 3]
[8, 1, 9, 5]
[1, 3, 6, 11]
[7, 10, 1, 13]
[12, 4, 2, 8]
[4, 7, 13, 3]
[0, 10, 3, 1]
[1, 14, 11, 9]
[5, 4, 3, 0]
[11, 0, 13, 4]
[5, 2, 13, 1]
[1, 14, 7, 0]
[2, 9, 8, 4]
[0, 9, 6, 14]
[11, 13, 0, 9]
[9, 5, 3, 4]
[6, 7, 3, 2]
[3, 8, 2, 7]
[5, 14, 2, 7]
[9, 12, 2, 3]
[4, 2, 7, 6]
[4, 6, 9, 0]
[14, 4, 5, 12]
[13, 10, 2, 4]
[14, 1, 10, 0]
[1, 3, 2, 5]
[3, 9, 0, 5]
[7, 13, 1, 0]
[5, 7, 10, 0]
[11, 12, 2, 6]
[3, 1, 14, 12]
[7, 10, 11, 14]
[6, 7, 3, 1]
[2, 12, 5, 10]
[4, 2, 14, 0]
[10, 0, 13, 6]
[10, 1, 4, 0]
[10, 7, 0, 4]
[14, 7, 13, 8]
[10, 4, 9, 6]
[6, 2, 9, 12]
[3, 14, 13, 10]
[4, 14, 1, 12]
[3, 14, 9, 13]
[5, 12, 10, 11]
[4, 1, 2, 5]
[14, 3, 7, 13]
[13, 8, 0, 9]
[14, 13, 11, 6]
[8, 2, 0, 7]
[2, 13, 4, 8]
[3, 4, 0, 14]
[7, 12, 8, 3]
[12, 10, 2, 14]
[1, 3, 11, 14]
[0, 4, 11, 12]
[11, 12, 2, 1]
[7, 0, 3, 4]
