P1,P2,...,Pn
[7, 5, 12, 0, 4]
[4, 0, 1, 7, 5]
[12, 3, 10, 11, 7]
[14, 1, 10, 3, 8]
[11, 1, 9, 3, 4]
[12, 2, 7, 14, 9]
[8, 10, 5, 13, 12]
[11, 8, 5, 2, 14]
[9, 1, 4, 2, 12]
[5, 6, 12, 9, 10]
[3, 4, 13, 5, 9]
[11, 7, 8, 13, 6]
[2, 10, 7, 3, 13]
[9, 12, 0, 13, 7]
[8, 0, 4, 14, 13]
[1, 12, 6, 8, 10]
[12, 6, 10, 13, 14]
[4, 9, 7, 13, 8]
[11, 3, 6, 5, 10]
[12, 4, 0, 7, 14]
[14, 2, 10, 7, 1]
[7, 6, 11, 8, 12]
[1, 12, 2, 0, 7]
[12, 0, 3, 5, 9]
[0, 14, 10, 5, 8]
[9, 4, 8, 7, 12]
[1, 12, 7, 6, 8]
[12, 9, 13, 6, 2]
[0, 3, 5, 12, 14]
[8, 11, 2, 4, 12]
[2, 12, 1, 8, 9]
[5, 14, 13, 7, 9]
[5, 13, 8, 4, 14]
[14, 9, 3, 13, 10]
[9, 6, 10, 12, 5]
[1, 9, 2, 7, 10]
[3, 2, 13, 4, 6]
[13, 14, 2, 7, 6]
[5, 4, 1, 12, 10]
[11, 4, 7, 9, 1]
[11, 0, 12, 9, 6]
[7, 2, 0, 11, 1]
[13, 12, 10, 4, 7]
[1, 2, 10, 14, 9]
[13, 10, 5, 1, 6]
[7, 12, 11, 9, 2]
[10, 12, 13, 5, 8]
[10, 5, 13, 9, 7]
[13, 9, 2, 8, 0]
[7, 3, 5, 4, 6]
[6, 11, 1, 10, 3]
[5, 0, 6, 14, 1]
[12, 5, 6, 0, 2]
[10, 4, 9, 5, 7]
[9, 11, 0, 14, 1]
[1, 14, 4, 8, 9]
[5, 12, 6, 1, 4]
[7, 3, 10, 9, 12]
[3, 11, 2, 4, 8]
[4, 9, 13, 11, 1]
[2, 5, 3, 7, 8]
[14, 7, 4, 1, 13]
[5, 12, 14, 0, 1]
[0, 5, 12, 7, 2]
[6, 7, 14, 2, 1]
[4, 6, 2, 14, 5]
[6, 14, 9, 12, 10]
[8, 2, 14, 13, 5]
[5, 2, 14, 8, 9]
[13, 0, 2, 7, 12]
[7, 13, 5, 0, 9]
[11, 7, 6, 3, 13]
[9, 8, 12, 2, 5]
[0, 13, 6, 2, 1]
[8, 11, 14, 12, 5]
[1, 7, 13, 9, 5]
