P1,P2,...,Pn
[2, 5, 8, 11]
[7, 14, 3, 1]
[11, 7, 3, 10]
[7, 11, 5, 13]
[12, 5, 10, 1]
[7, 4, 3, 2]
[7, 2, 5, 12]
[4, 9, 11, 2]
[14, 0, 3, 2]
[1, 4, 8, 12]
[13, 9, 8, 5]
[6, 3, 7, 5]
[0, 5, 3, 1]
[8, 9, 4, 12]
[10, 3, 5, 11]
[11, 3, 4, 8]
[11, 10, 2, 0]
[11, 9, 1, 10]
[12, 8, 13, 3]
[7, 0, 5, 4]
[7, 14, 5, 12]
[7, 11, 2, 5]
[14, 1, 8, 6]
[9, 1, 6, 10]
[2, 8, 7, 10]
[6, 14, 11, 10]
[14, 6, 10, 11]
[9, 2, 12, 6]
[5, 3, 6, 2]
[5, 9, 12, 6]
[8, 14, 3, 6]
[14, 8, 2, 0]
[14, 10, 2, 5]
[7, 6, 11, 1]
[10, 12, 2, 3]
[14, 8, 9, 0]
[2, 8, 11, 0]
[12, 0, 2, 4]
[8, 1, 13, 12]
[4, 2, 13, 10]
[0, 1, 9, 2]
[11, 4, 5, 6]
[14, 8, 12, 5]
[6, 13, 12, 7]
[11, 9, 6, 12]
[12, 4, 6, 11]
[1, 6, 10, 14]
[5, 0, 3, 11]
[1, 7, 11, 4]
[4, 8, 6, 9]
[14, 3, 1, 8]
[10, 1, 11, 4]
[5, 7, 14, 4]
[8, 4, 0, 5]
[13, 11, 10, 5]
[11, 6, 9, 2]
[9, 14, 2, 10]
[1, 2, 11, 14]
[3, 4, 11, 8]
[1, 14, 9, 7]
[0, 14, 9, 11]
[9, 11, 8, 4]
[7, 4, 11, 3]
[0, 7, 9, 4]
[9, 8, 14, 4]
[0, 11, 4, 1]
[11, 14, 1, 9]
[11, 8, 0, 10]
[9, 10, 13, 3]
[5, 14, 13, 2]
[4, 8, 5, 7]
[10, 11, 1, 14]
[14, 10, 4, 6]
[8, 11, 3, 2]
[14, 8, 12, 7]
[0, 12, 7, 5]
[8, 0, 4, 5]
[13, 0, 8, 9]
[4, 10, 3, 7]
[4, 1, 7, 3]
[13, 12, 11, 8]
[2, 0, 14, 5]
[3, 7, 4, 0]
[14, 4, 9, 3]
[11, 9, 10, 6]
[6, 2, 4, 10]
[3, 12, 14, 5]
[14, 9, 11, 4]
[9, 4, 8, 13]
[12, 14, 4, 10]
[7, 0, 11, 6]
[13, 2, 9, 5]
[3, 0, 2, 5]
[7, 5, 13, 9]
[0, 9, 2, 8]
[4, 11, 14, 2]
[14, 1, 2, 11]
[3, 13, 6, 1]
[11, 12, 14, 1]
[10, 6, 1, 9]
[7, 14, 11, 13]
[14, 13, 8, 9]
[12, 4, 0, 10]
[0, 5, 2, 4]
[8, 7, 0, 5]
[11, 2, 13, 12]
[0, 5, 14, 7]
[2, 4, 5, 14]
[14, 10, 3, 4]
[6, 7, 10, 12]
[3, 11, 14, 5]
[7, 13, 14, 6]
[0, 2, 14, 11]
[0, 8, 4, 13]
[9, 11, 14, 12]
[14, 11, 10, 5]
[11, 13, 1, 0]
[7, 9, 6, 11]
[8, 2, 14, 6]
[7, 14, 8, 6]
[12, 3, 4, 10]
[9, 7, 13, 5]
[1, 8, 5, 11]
[6, 14, 8, 9]
[9, 7, 12, 6]
