P1,P2,...,Pn
[3, 4, 11, 5, 6]
[2, 13, 3, 0, 14]
[3, 14, 7, 8, 13]
[4, 11, 7, 10, 0]
[11, 12, 3, 9, 10]
[10, 1, 4, 14, 12]
[7, 0, 14, 1, 12]
[2, 10, 14, 3, 1]
[3, 12, 14, 4, 8]
[4, 9, 6, 10, 13]
[1, 11, 5, 2, 9]
[13, 3, 0, 8, 6]
[7, 13, 14, 10, 1]
[3, 6, 11, 0, 1]
[3, 9, 8, 1, 5]
[8, 14, 11, 6, 13]
[10, 0, 6, 2, 14]
[11, 1, 6, 13, 10]
[3, 2, 12, 4, 7]
[6, 13, 0, 11, 14]
[6, 3, 5, 9, 1]
[11, 5, 9, 12, 7]
[12, 6, 13, 2, 11]
[5, 2, 7, 4, 12]
[1, 5, 4, 8, 12]
[13, 11, 6, 12, 7]
[1, 13, 10, 6, 7]
[0, 6, 9, 1, 3]
[5, 14, 12, 9, 13]
[12, 8, 14, 13, 5]
[13, 7, 14, 10, 4]
[4, 6, 1, 11, 13]
[10, 4, 7, 9, 1]
[1, 10, 5, 9, 7]
[13, 1, 9, 0, 4]
[9, 11, 3, 1, 14]
[9, 3, 10, 1, 11]
[7, 1, 10, 0, 3]
[13, 7, 9, 11, 10]
[6, 9, 4, 11, 8]
[14, 2, 9, 1, 6]
[5, 13, 0, 2, 12]
[11, 12, 6, 0, 10]
[11, 12, 5, 8, 0]
[11, 14, 9, 13, 5]
[4, 12, 2, 3, 6]
[9, 6, 11, 12, 8]
[11, 0, 3, 6, 8]
[12, 10, 1, 4, 0]
[13, 7, 8, 2, 11]
[2, 7, 0, 3, 6]
[11, 4, 6, 7, 14]
[10, 2, 5, 4, 9]
[7, 8, 4, 3, 6]
[13, 1, 9, 11, 0]
[1, 7, 2, 13, 5]
[0, 7, 5, 6, 3]
[7, 2, 4, 9, 13]
[5, 3, 13, 4, 11]
[2, 8, 14, 1, 10]
[7, 2, 0, 11, 9]
[1, 13, 2, 12, 9]
[4, 14, 13, 7, 6]
[5, 14, 8, 10, 4]
[14, 6, 5, 4, 9]
[11, 10, 12, 7, 6]
[14, 8, 5, 10, 13]
[2, 9, 12, 8, 4]
[14, 2, 11, 8, 9]
[11, 2, 10, 4, 3]
[10, 6, 8, 3, 0]
[8, 5, 7, 12, 14]
[4, 9, 6, 10, 13]
[9, 2, 12, 5, 11]
[14, 7, 0, 9, 4]
[5, 0, 4, 6, 11]
[3, 11, 8, 1, 5]
[1, 9, 14, 11, 13]
[3, 6, 13, 7, 5]
[3, 9, 12, 7, 14]
[7, 8, 0, 3, 11]
[10, 7, 4, 2, 13]
[4, 7, 2, 14, 1]
[10, 8, 7, 6, 14]
[9, 7, 4, 2, 10]
[0, 6, 9, 13, 8]
[8, 3, 4, 2, 14]
[13, 11, 0, 1, 8]
[1, 5, 4, 0, 11]
[13, 12, 1, 10, 6]
[14, 2, 10, 7, 1]
[11, 3, 1, 10, 4]
[3, 5, 0, 4, 6]
[10, 1, 2, 13, 14]
[6, 8, 11, 4, 12]
[5, 12, 14, 11, 1]
[8, 11, 4, 6, 1]
[14, 9, 5, 1, 7]
[4, 12, 13, 11, 8]
[9, 3, 10, 13, 12]
[5, 6, 2, 3, 0]
[0, 7, 8, 5, 9]
[1, 0, 3, 5, 8]
[6, 4, 9, 13, 12]
[0, 9, 6, 7, 14]
[6, 7, 10, 12, 0]
[5, 3, 7, 6, 14]
[6, 13, 11, 7, 2]
[7, 4, 13, 12, 9]
[5, 2, 4, 14, 3]
[3, 7, 6, 10, 14]
[3, 5, 9, 12, 7]
[6, 1, 4, 5, 11]
[7, 4, 14, 11, 1]
[6, 11, 5, 9, 8]
[9, 10, 2, 0, 3]
[1, 5, 8, 2, 13]
[3, 11, 1, 10, 9]
[9, 3, 8, 11, 10]
[6, 9, 11, 5, 12]
[12, 11, 13, 6, 14]
[12, 8, 7, 14, 6]
[9, 6, 7, 3, 5]
[12, 1, 9, 10, 14]
[4, 5, 3, 14, 12]
[12, 10, 6, 9, 4]
[4, 10, 2, 14, 11]
[3, 5, 13, 4, 14]
[12, 11, 13, 2, 10]
[3, 0, 14, 13, 1]
[5, 13, 2, 10, 1]
[2, 3, 6, 10, 9]
[5, 14, 9, 8, 4]
[7, 10, 5, 11, 1]
[7, 9, 14, 12, 8]
[3, 1, 14, 2, 10]
[2, 14, 12, 11, 10]
[1, 2, 6, 13, 0]
[14, 13, 3, 11, 0]
[2, 13, 5, 12, 1]
[0, 10, 5, 14, 8]
[7, 11, 1, 12, 14]
[0, 3, 6, 8, 12]
[10, 7, 11, 0, 9]
[12, 0, 7, 4, 1]
[2, 4, 8, 12, 6]
[11, 12, 13, 5, 7]
[10, 5, 3, 1, 11]
[14, 7, 13, 4, 1]
[4, 7, 10, 1, 5]
[11, 4, 6, 12, 2]
[6, 4, 7, 13, 12]
[3, 11, 6, 0, 13]
[2, 13, 10, 3, 0]
[14, 4, 7, 9, 11]
[12, 10, 13, 0, 5]
[0, 9, 8, 4, 13]
[5, 0, 9, 11, 7]
