P1,P2,...,Pn
[11, 9, 14, 12, 0]
[12, 7, 10, 14, 0]
[7, 14, 2, 8, 6]
[6, 9, 2, 11, 3]
[2, 5, 1, 0, 12]
[12, 4, 7, 13, 8]
[10, 14, 12, 4, 7]
[14, 2, 11, 9, 3]
[0, 8, 13, 10, 3]
[14, 12, 8, 3, 2]
[2, 14, 7, 13, 1]
[6, 13, 8, 2, 10]
[5, 9, 3, 10, 13]
[12, 13, 3, 6, 8]
[9, 3, 1, 13, 10]
[12, 8, 1, 14, 5]
[14, 0, 12, 10, 11]
[14, 6, 0, 12, 7]
[8, 11, 5, 6, 14]
[13, 9, 5, 11, 6]
[9, 11, 12, 13, 2]
[12, 7, 6, 13, 8]
[0, 14, 9, 3, 1]
[7, 1, 10, 8, 4]
[7, 1, 5, 14, 2]
[2, 3, 12, 11, 6]
[12, 14, 9, 2, 0]
[5, 2, 12, 6, 10]
[7, 1, 8, 14, 2]
[3, 4, 9, 12, 6]
[6, 4, 12, 7, 14]
[14, 6, 1, 11, 10]
[3, 1, 13, 11, 8]
[3, 12, 7, 9, 2]
[10, 8, 5, 14, 1]
[8, 5, 2, 13, 3]
[13, 8, 9, 4, 5]
[13, 0, 5, 10, 2]
[9, 0, 5, 3, 14]
[14, 5, 9, 2, 6]
[13, 0, 6, 5, 1]
[2, 5, 7, 1, 3]
[6, 0, 3, 2, 1]
[1, 11, 6, 0, 4]
[11, 8, 5, 4, 2]
[12, 2, 0, 3, 14]
[1, 7, 8, 14, 0]
[4, 10, 11, 0, 6]
[1, 12, 14, 13, 0]
[10, 4, 6, 1, 11]
[13, 2, 6, 1, 14]
[11, 2, 5, 7, 8]
[1, 4, 8, 0, 6]
[6, 1, 5, 12, 4]
[6, 12, 3, 8, 4]
[13, 11, 1, 10, 6]
[2, 3, 10, 6, 14]
[13, 1, 9, 4, 7]
[0, 14, 1, 7, 3]
[2, 3, 14, 9, 0]
[14, 10, 11, 6, 1]
[11, 1, 5, 12, 14]
[2, 5, 3, 9, 6]
[11, 4, 7, 9, 5]
[10, 7, 11, 2, 4]
[5, 12, 4, 6, 1]
[3, 8, 11, 2, 13]
[0, 7, 11, 14, 10]
[11, 1, 6, 3, 7]
[8, 12, 0, 5, 14]
[7, 9, 2, 0, 6]
[2, 14, 10, 3, 9]
[1, 12, 3, 7, 8]
[3, 14, 12, 7, 5]
[3, 10, 13, 12, 8]
[13, 5, 12, 6, 8]
[11, 14, 10, 2, 3]
[4, 2, 13, 0, 11]
[3, 6, 9, 8, 13]
[6, 2, 1, 10, 8]
[11, 0, 8, 13, 4]
[3, 10, 12, 14, 2]
[6, 14, 3, 12, 2]
[13, 5, 10, 7, 2]
[0, 8, 1, 14, 9]
[13, 6, 14, 9, 11]
[14, 12, 3, 0, 1]
[14, 13, 12, 8, 10]
[6, 7, 4, 10, 1]
[1, 14, 11, 12, 13]
[10, 12, 6, 2, 5]
[6, 2, 12, 3, 8]
[5, 13, 14, 6, 12]
[14, 7, 11, 0, 12]
[8, 9, 2, 1, 6]
[0, 2, 3, 14, 13]
[9, 7, 3, 2, 14]
[9, 3, 2, 6, 8]
[13, 10, 0, 12, 2]
[14, 3, 13, 9, 12]
[10, 3, 8, 13, 11]
[2, 4, 0, 7, 12]
[3, 9, 8, 5, 2]
[1, 11, 2, 6, 10]
[5, 2, 7, 14, 9]
[10, 2, 4, 11, 0]
[10, 6, 8, 3, 5]
[4, 9, 0, 12, 2]
[12, 3, 5, 1, 0]
[9, 10, 14, 3, 5]
[7, 3, 8, 5, 0]
[13, 14, 2, 9, 0]
[11, 4, 12, 14, 5]
[1, 11, 12, 10, 0]
[6, 9, 0, 11, 3]
[0, 9, 10, 2, 8]
[7, 2, 10, 9, 12]
[3, 4, 13, 0, 7]
[14, 2, 12, 0, 13]
[8, 5, 14, 2, 11]
[13, 8, 5, 12, 14]
[11, 8, 10, 9, 13]
[14, 12, 3, 4, 7]
[9, 3, 2, 12, 6]
[13, 1, 11, 8, 3]
[6, 5, 12, 9, 13]
[6, 3, 0, 13, 1]
[10, 9, 0, 12, 11]
[5, 12, 4, 1, 11]
[8, 14, 13, 3, 11]
[4, 3, 8, 2, 9]
[11, 13, 9, 0, 12]
[14, 11, 0, 1, 13]
[1, 5, 12, 10, 4]
[5, 7, 2, 9, 10]
[9, 0, 5, 6, 14]
[2, 13, 8, 12, 14]
[4, 5, 11, 2, 14]
[8, 7, 11, 14, 1]
[12, 1, 13, 10, 4]
[9, 13, 3, 4, 10]
[13, 14, 5, 7, 3]
[12, 7, 0, 14, 2]
[7, 10, 6, 13, 0]
[7, 5, 8, 2, 6]
[11, 3, 1, 14, 2]
[12, 0, 5, 1, 9]
[14, 11, 3, 13, 1]
[0, 8, 11, 2, 3]
[11, 7, 0, 6, 10]
[0, 13, 5, 8, 7]
[7, 2, 12, 9, 11]
[12, 4, 5, 1, 6]
[10, 3, 13, 11, 1]
[9, 7, 5, 0, 14]
[6, 11, 14, 13, 9]
[14, 8, 3, 11, 5]
[2, 7, 14, 13, 8]
[0, 1, 10, 9, 11]
[12, 14, 0, 8, 3]
[9, 5, 0, 3, 10]
[1, 5, 12, 9, 7]
[2, 3, 5, 7, 11]
[5, 12, 4, 1, 10]
[7, 5, 11, 3, 0]
[12, 0, 10, 6, 3]
[13, 3, 5, 14, 11]
[9, 1, 0, 4, 5]
[11, 14, 13, 1, 6]
[8, 5, 13, 12, 3]
[6, 5, 7, 13, 10]
[3, 13, 4, 10, 8]
[8, 14, 5, 3, 1]
[11, 1, 3, 0, 14]
[11, 5, 3, 14, 13]
[0, 3, 1, 7, 14]
[13, 5, 14, 10, 6]
[5, 14, 12, 10, 0]
[10, 1, 6, 12, 9]
[0, 4, 1, 7, 14]
[14, 5, 12, 2, 1]
[2, 14, 3, 4, 6]
[11, 3, 12, 5, 13]
[14, 2, 9, 12, 6]
[0, 12, 10, 13, 9]
[5, 13, 1, 11, 8]
[6, 8, 4, 0, 11]
[1, 3, 2, 7, 10]
[12, 2, 3, 6, 9]
[14, 7, 3, 12, 2]
[3, 14, 0, 2, 12]
[1, 13, 3, 6, 5]
[0, 4, 6, 11, 13]
[7, 6, 2, 3, 9]
[12, 7, 6, 11, 1]
[2, 4, 13, 1, 3]
[5, 3, 1, 0, 4]
[3, 2, 12, 11, 4]
[11, 12, 9, 8, 2]
[14, 8, 11, 9, 12]
[9, 6, 5, 10, 14]
[14, 12, 7, 4, 8]
[7, 13, 5, 10, 9]
[0, 2, 3, 10, 4]
[12, 11, 1, 13, 3]
[3, 5, 10, 1, 14]
[6, 12, 9, 14, 4]
[0, 8, 13, 4, 10]
[14, 1, 10, 2, 9]
[3, 10, 5, 11, 8]
[12, 14, 9, 8, 4]
