P1,P2,...,Pn
[5, 3, 0, 13, 2]
[0, 4, 5, 1, 14]
[9, 6, 11, 7, 14]
[7, 8, 13, 1, 14]
[8, 0, 13, 5, 14]
[4, 8, 2, 11, 9]
[9, 13, 6, 11, 12]
[14, 3, 1, 4, 5]
[13, 11, 6, 9, 2]
[9, 12, 5, 3, 7]
[6, 4, 8, 7, 1]
[11, 6, 4, 12, 7]
[6, 13, 14, 7, 9]
[8, 1, 6, 9, 5]
[12, 11, 0, 8, 10]
[10, 0, 14, 3, 9]
[4, 8, 12, 1, 9]
[1, 9, 8, 5, 13]
[0, 5, 1, 10, 3]
[9, 1, 14, 7, 3]
[8, 3, 11, 2, 4]
[10, 9, 13, 12, 1]
[5, 1, 13, 2, 9]
[11, 8, 10, 12, 7]
[5, 1, 8, 11, 9]
[0, 7, 12, 9, 13]
[10, 7, 0, 4, 11]
[5, 10, 6, 8, 1]
[13, 1, 0, 8, 4]
[9, 8, 7, 11, 12]
[7, 9, 8, 1, 10]
[0, 2, 12, 1, 11]
[8, 10, 6, 4, 0]
[10, 6, 5, 14, 0]
[12, 4, 7, 10, 14]
[8, 3, 5, 13, 11]
[3, 1, 14, 10, 11]
[8, 7, 1, 14, 9]
[11, 8, 0, 7, 9]
[4, 10, 9, 3, 5]
[0, 5, 11, 3, 4]
[7, 12, 13, 2, 6]
[14, 10, 1, 12, 4]
[9, 8, 7, 11, 10]
[14, 7, 8, 3, 12]
[2, 13, 7, 5, 1]
[13, 6, 0, 3, 1]
[12, 5, 6, 1, 4]
[12, 2, 5, 0, 3]
[5, 2, 12, 8, 13]
[5, 9, 4, 2, 13]
[7, 4, 12, 8, 10]
[8, 3, 4, 1, 7]
[11, 6, 13, 5, 7]
[8, 9, 6, 13, 10]
[8, 12, 1, 3, 0]
[1, 11, 0, 2, 13]
[3, 8, 13, 10, 11]
[6, 12, 10, 4, 8]
[11, 3, 7, 12, 4]
[9, 7, 12, 10, 6]
[13, 11, 4, 6, 1]
[11, 2, 4, 10, 14]
[4, 9, 0, 3, 14]
[6, 8, 7, 5, 12]
[1, 12, 9, 2, 11]
[1, 11, 13, 0, 6]
[12, 8, 10, 11, 7]
[11, 12, 14, 5, 2]
[6, 9, 2, 7, 5]
[9, 8, 12, 6, 14]
[11, 14, 0, 7, 10]
[1, 12, 9, 13, 0]
[3, 0, 12, 13, 9]
[1, 12, 5, 13, 3]
[6, 4, 14, 1, 11]
[2, 8, 14, 1, 3]
[7, 0, 4, 2, 11]
[5, 1, 12, 0, 3]
[7, 2, 8, 5, 10]
[12, 6, 4, 0, 9]
[0, 12, 5, 10, 9]
[9, 8, 7, 10, 2]
[10, 4, 8, 5, 1]
[3, 8, 13, 4, 2]
[1, 5, 9, 2, 11]
[12, 10, 2, 1, 14]
[1, 11, 13, 7, 3]
[4, 8, 7, 2, 0]
[0, 3, 8, 11, 2]
[1, 5, 12, 3, 7]
[8, 11, 3, 13, 0]
[11, 3, 1, 5, 6]
[14, 0, 11, 9, 13]
[2, 6, 13, 5, 14]
[11, 3, 13, 7, 12]
[7, 9, 11, 8, 10]
[0, 8, 4, 11, 3]
[5, 8, 6, 14, 7]
[10, 2, 9, 6, 12]
[14, 9, 5, 10, 1]
[6, 0, 13, 7, 5]
[1, 14, 7, 5, 11]
[7, 10, 3, 12, 14]
[14, 10, 11, 1, 12]
[0, 4, 3, 7, 10]
[1, 9, 10, 11, 7]
[2, 4, 1, 8, 12]
[7, 8, 5, 10, 3]
[2, 12, 14, 8, 3]
[1, 9, 6, 5, 7]
[1, 7, 4, 10, 8]
[14, 5, 8, 10, 12]
[7, 9, 6, 0, 5]
[6, 9, 5, 7, 1]
[8, 4, 11, 0, 10]
[13, 3, 0, 1, 12]
[0, 1, 7, 11, 14]
[14, 1, 13, 11, 5]
[9, 13, 10, 7, 8]
[7, 10, 0, 12, 4]
[8, 10, 13, 9, 5]
[7, 1, 13, 3, 5]
[1, 7, 14, 9, 13]
[7, 0, 10, 2, 5]
[14, 8, 13, 0, 4]
[13, 9, 5, 3, 7]
[0, 11, 12, 14, 6]
[10, 7, 6, 2, 1]
[12, 7, 8, 6, 11]
[0, 5, 7, 14, 12]
[5, 0, 14, 8, 10]
[11, 4, 1, 5, 0]
[4, 10, 11, 6, 2]
[14, 10, 13, 1, 7]
[3, 2, 12, 10, 0]
[2, 11, 6, 10, 1]
[5, 12, 14, 9, 3]
[3, 2, 11, 1, 7]
[7, 6, 9, 13, 11]
[7, 14, 2, 9, 1]
[4, 14, 12, 7, 13]
[0, 5, 11, 4, 3]
[13, 14, 0, 12, 4]
[10, 4, 11, 6, 14]
[10, 8, 5, 6, 13]
[1, 12, 6, 7, 8]
[1, 8, 14, 6, 13]
[10, 8, 6, 11, 0]
[4, 11, 7, 8, 9]
[7, 9, 13, 14, 0]
[2, 5, 12, 10, 9]
[2, 6, 5, 11, 14]
[2, 10, 12, 13, 3]
[2, 1, 0, 6, 12]
[6, 10, 11, 2, 9]
[3, 6, 0, 1, 12]
[3, 12, 2, 10, 14]
[1, 8, 3, 0, 11]
[3, 9, 14, 0, 7]
[7, 11, 10, 9, 13]
[1, 8, 11, 2, 0]
[5, 14, 1, 6, 3]
[13, 2, 9, 11, 6]
[9, 8, 12, 13, 1]
[3, 7, 5, 10, 1]
[13, 4, 5, 1, 10]
[1, 9, 7, 6, 11]
[3, 5, 10, 2, 7]
[14, 8, 3, 9, 10]
[11, 13, 10, 1, 2]
[13, 9, 5, 6, 2]
[9, 10, 11, 8, 2]
[3, 1, 14, 10, 12]
[6, 13, 1, 2, 4]
[7, 0, 13, 5, 3]
[5, 7, 10, 4, 8]
[11, 13, 8, 6, 12]
[0, 6, 2, 12, 10]
[9, 10, 2, 4, 7]
[4, 8, 10, 13, 3]
[8, 0, 3, 7, 1]
[4, 1, 14, 3, 12]
[9, 11, 13, 12, 0]
[9, 7, 1, 12, 6]
[0, 7, 3, 10, 12]
[12, 8, 3, 7, 5]
[7, 2, 1, 8, 12]
[5, 14, 2, 12, 7]
[9, 2, 7, 12, 1]
[10, 8, 3, 1, 2]
[3, 12, 8, 1, 11]
[8, 5, 14, 9, 4]
[9, 1, 10, 14, 0]
[14, 6, 1, 2, 12]
[0, 1, 5, 7, 8]
[11, 2, 0, 6, 4]
[11, 13, 8, 7, 4]
[2, 6, 1, 14, 0]
[7, 2, 3, 4, 14]
[1, 12, 4, 9, 10]
[7, 14, 6, 9, 4]
[7, 14, 10, 11, 6]
[4, 7, 9, 8, 0]
[8, 2, 4, 10, 6]
[6, 7, 13, 1, 8]
[8, 0, 4, 13, 1]
