P1,P2,...,Pn
[13, 6, 4, 10, 8]
[14, 1, 7, 4, 12]
[1, 5, 12, 14, 13]
[6, 2, 5, 7, 0]
[2, 13, 1, 10, 4]
[2, 11, 4, 13, 6]
[2, 1, 7, 6, 11]
[4, 3, 6, 8, 10]
[5, 2, 11, 0, 9]
[5, 14, 10, 6, 13]
[4, 6, 7, 11, 13]
[11, 6, 0, 5, 4]
[9, 8, 2, 4, 13]
[14, 0, 10, 9, 11]
[0, 5, 6, 11, 9]
[7, 14, 2, 1, 0]
[9, 0, 1, 5, 7]
[8, 5, 14, 1, 9]
[13, 2, 10, 1, 3]
[11, 10, 4, 9, 14]
[2, 12, 13, 9, 3]
[1, 4, 6, 8, 13]
[12, 7, 4, 6, 8]
[14, 11, 3, 12, 6]
[13, 14, 4, 3, 12]
[5, 11, 13, 4, 9]
[0, 2, 5, 8, 4]
[11, 1, 12, 13, 4]
[8, 7, 6, 1, 5]
[1, 3, 14, 4, 12]
[5, 4, 2, 9, 0]
[6, 9, 12, 5, 3]
[14, 11, 7, 12, 9]
[4, 2, 13, 7, 12]
[12, 6, 13, 7, 1]
[4, 1, 14, 9, 0]
[9, 12, 0, 8, 10]
[13, 9, 2, 14, 3]
[1, 13, 12, 9, 2]
[7, 12, 11, 8, 4]
[7, 6, 11, 1, 5]
[11, 0, 3, 14, 10]
[0, 13, 11, 8, 5]
[4, 11, 14, 6, 12]
[14, 6, 4, 1, 7]
[7, 13, 6, 12, 14]
[5, 7, 14, 11, 4]
[6, 5, 14, 3, 2]
[4, 5, 7, 13, 1]
[2, 5, 12, 13, 0]
[12, 4, 7, 9, 1]
[0, 4, 10, 13, 8]
[1, 7, 6, 9, 11]
[0, 13, 11, 6, 12]
[8, 4, 13, 6, 10]
[1, 7, 6, 3, 10]
[0, 2, 13, 11, 6]
[9, 0, 12, 13, 4]
[9, 10, 4, 0, 14]
[2, 6, 9, 10, 12]
[2, 0, 3, 9, 4]
[13, 14, 4, 11, 8]
[5, 0, 1, 10, 3]
[10, 8, 2, 14, 5]
[4, 14, 5, 9, 13]
[9, 5, 1, 10, 4]
[7, 11, 9, 5, 3]
[1, 5, 0, 14, 10]
[11, 14, 1, 8, 3]
[9, 5, 1, 2, 4]
[6, 0, 10, 7, 12]
[11, 14, 2, 4, 13]
[10, 1, 14, 11, 5]
[7, 3, 14, 5, 12]
[12, 6, 5, 10, 1]
[9, 2, 5, 0, 1]
[6, 9, 11, 7, 4]
[10, 6, 0, 12, 8]
[11, 12, 2, 4, 13]
[9, 2, 14, 6, 7]
[11, 9, 2, 14, 6]
[13, 2, 9, 12, 10]
[3, 12, 9, 1, 11]
[10, 2, 14, 8, 9]
[13, 7, 10, 11, 2]
[1, 13, 10, 8, 5]
[2, 0, 13, 11, 5]
[4, 5, 1, 14, 10]
[1, 0, 14, 2, 8]
[11, 7, 8, 0, 2]
[11, 10, 8, 5, 3]
[9, 4, 8, 6, 2]
