P1,P2,...,Pn
[14, 1, 6, 3]
[11, 6, 4, 3]
[11, 10, 4, 6]
[5, 1, 11, 3]
[4, 3, 11, 14]
[6, 9, 4, 11]
[10, 9, 4, 12]
[8, 6, 7, 5]
[4, 10, 1, 8]
[9, 6, 4, 11]
[2, 6, 7, 13]
[5, 11, 9, 8]
[5, 11, 2, 12]
[11, 10, 8, 7]
[7, 8, 11, 2]
[6, 0, 1, 11]
[3, 0, 10, 7]
[8, 5, 4, 2]
[12, 2, 9, 7]
[12, 11, 10, 8]
[4, 13, 9, 7]
[9, 6, 12, 2]
[2, 9, 10, 5]
[6, 14, 7, 1]
[13, 12, 7, 10]
[10, 11, 9, 0]
[10, 0, 4, 7]
[9, 5, 14, 6]
[2, 8, 6, 5]
[3, 0, 4, 13]
[9, 3, 4, 10]
[14, 0, 10, 1]
[14, 10, 7, 0]
[1, 13, 14, 8]
[8, 10, 9, 4]
[0, 1, 14, 8]
[4, 10, 0, 12]
[1, 10, 3, 13]
[11, 0, 12, 13]
[1, 4, 11, 8]
[7, 8, 6, 3]
[13, 10, 1, 11]
[13, 12, 14, 5]
[8, 2, 6, 14]
[4, 14, 1, 7]
[11, 8, 3, 9]
[8, 12, 11, 0]
[7, 8, 10, 13]
[0, 3, 7, 13]
[9, 6, 10, 8]
[0, 13, 6, 4]
[0, 11, 13, 7]
[0, 6, 3, 4]
[5, 0, 13, 11]
[0, 5, 2, 7]
[8, 11, 3, 12]
[2, 11, 12, 4]
[5, 2, 14, 6]
[7, 10, 5, 9]
[12, 8, 13, 11]
[0, 13, 7, 10]
[8, 14, 6, 5]
[11, 10, 1, 14]
[3, 6, 4, 7]
[3, 4, 9, 10]
[0, 13, 3, 10]
[14, 0, 10, 13]
[0, 5, 3, 6]
[6, 3, 2, 8]
[0, 14, 1, 5]
[6, 9, 7, 8]
[6, 3, 1, 13]
[6, 12, 14, 9]
[2, 9, 5, 0]
[0, 13, 10, 9]
[5, 4, 2, 7]
[10, 1, 6, 13]
[14, 12, 0, 9]
[3, 14, 12, 6]
[5, 4, 6, 3]
[14, 6, 9, 0]
[5, 2, 12, 6]
[10, 0, 13, 5]
[3, 6, 10, 7]
[4, 10, 6, 11]
[13, 12, 8, 11]
[14, 9, 7, 10]
[7, 12, 4, 11]
[7, 12, 2, 8]
[12, 4, 11, 1]
[7, 6, 4, 10]
[10, 3, 13, 11]
[6, 10, 5, 7]
[9, 0, 5, 3]
[9, 13, 3, 0]
[9, 10, 13, 3]
[7, 12, 8, 6]
[5, 9, 2, 8]
[10, 8, 7, 6]
[7, 9, 10, 6]
[14, 8, 6, 4]
[0, 10, 12, 3]
[13, 1, 0, 12]
[10, 6, 11, 9]
[6, 14, 8, 7]
[5, 1, 8, 11]
[3, 6, 2, 4]
[11, 12, 8, 2]
[14, 13, 1, 11]
[5, 6, 11, 1]
[11, 9, 10, 5]
[7, 2, 9, 5]
[4, 10, 1, 11]
[3, 1, 12, 13]
[9, 0, 12, 13]
[6, 8, 0, 5]
[6, 14, 0, 12]
[7, 1, 14, 2]
[11, 10, 4, 9]
[2, 6, 11, 1]
[12, 11, 5, 7]
[10, 8, 2, 5]
[8, 9, 5, 6]
[9, 7, 0, 3]
[0, 13, 3, 1]
[13, 8, 2, 1]
[8, 3, 7, 14]
[1, 8, 14, 12]
[2, 1, 12, 0]
[14, 7, 6, 4]
[1, 4, 13, 11]
[4, 6, 2, 10]
[10, 11, 3, 8]
[3, 6, 7, 1]
[12, 0, 10, 2]
[8, 7, 2, 14]
