P1,P2,...,Pn
[14, 1, 6, 12]
[12, 9, 8, 11]
[7, 4, 6, 11]
[8, 14, 12, 6]
[8, 11, 9, 14]
[14, 1, 2, 11]
[8, 5, 2, 6]
[1, 8, 5, 3]
[2, 3, 0, 12]
[12, 9, 1, 6]
[7, 13, 6, 10]
[13, 4, 6, 0]
[9, 13, 3, 1]
[10, 11, 4, 3]
[2, 10, 8, 5]
[13, 9, 6, 7]
[10, 6, 12, 1]
[7, 14, 13, 0]
[14, 0, 12, 11]
[8, 3, 6, 9]
[4, 1, 7, 14]
[8, 11, 9, 13]
[10, 13, 6, 7]
[2, 9, 6, 5]
[3, 14, 10, 5]
[1, 10, 14, 0]
[6, 7, 5, 0]
[3, 2, 4, 1]
[0, 9, 3, 12]
[2, 8, 3, 4]
[6, 1, 4, 13]
[13, 8, 3, 11]
[13, 4, 0, 5]
[1, 14, 7, 0]
[2, 14, 1, 9]
[13, 4, 3, 5]
[0, 10, 4, 7]
[8, 14, 3, 4]
[13, 6, 10, 11]
[8, 9, 13, 6]
[2, 13, 6, 7]
[5, 1, 8, 14]
[5, 7, 8, 11]
[11, 4, 13, 1]
[5, 12, 14, 3]
[4, 12, 10, 3]
[9, 13, 11, 8]
[9, 11, 13, 2]
[14, 12, 6, 3]
[13, 4, 0, 9]
[3, 13, 6, 9]
[9, 10, 4, 7]
[6, 10, 4, 14]
[7, 4, 0, 8]
[14, 2, 3, 7]
[0, 3, 8, 9]
[2, 11, 0, 1]
[6, 5, 0, 7]
[1, 9, 2, 4]
[0, 14, 11, 2]
[1, 7, 14, 12]
[4, 2, 13, 6]
[9, 8, 0, 3]
[9, 1, 13, 10]
[7, 9, 5, 3]
[14, 1, 11, 8]
[2, 13, 10, 3]
[0, 2, 10, 5]
[13, 7, 3, 1]
[9, 6, 14, 4]
[10, 6, 9, 5]
[2, 6, 4, 10]
[1, 14, 5, 10]
[12, 13, 6, 9]
[0, 9, 7, 3]
[4, 6, 9, 12]
[6, 0, 8, 3]
[4, 3, 8, 1]
[0, 3, 9, 1]
[2, 7, 14, 6]
[2, 9, 8, 1]
[12, 2, 1, 9]
[13, 5, 2, 12]
[8, 2, 9, 10]
[4, 0, 5, 9]
[12, 3, 7, 14]
[12, 3, 2, 14]
[9, 14, 6, 5]
[14, 1, 10, 7]
[3, 2, 11, 6]
[13, 6, 9, 4]
[7, 14, 12, 5]
[13, 7, 9, 6]
[6, 4, 3, 2]
[0, 1, 5, 2]
[13, 9, 3, 4]
[9, 6, 0, 10]
[13, 10, 8, 14]
[10, 9, 11, 1]
[12, 0, 14, 6]
[11, 9, 7, 1]
[12, 6, 1, 8]
[14, 7, 4, 8]
[10, 14, 11, 5]
[5, 0, 2, 12]
[11, 5, 1, 7]
[12, 4, 9, 13]
[5, 1, 7, 11]
[7, 9, 1, 11]
[3, 1, 7, 11]
[7, 8, 0, 11]
[0, 1, 4, 9]
[11, 10, 6, 1]
[3, 12, 10, 7]
[11, 10, 0, 13]
[6, 5, 7, 14]
[8, 7, 2, 14]
[14, 12, 5, 8]
[0, 6, 14, 9]
[7, 12, 4, 9]
[8, 10, 4, 6]
[5, 3, 0, 8]
[14, 13, 1, 9]
[0, 11, 9, 1]
[2, 7, 1, 5]
[0, 1, 3, 8]
[0, 10, 5, 2]
[1, 13, 7, 11]
[6, 12, 14, 9]
[3, 10, 9, 12]
[3, 8, 6, 11]
[10, 2, 1, 9]
[14, 8, 7, 9]
[13, 5, 11, 4]
[12, 14, 10, 5]
[6, 9, 4, 8]
[7, 11, 12, 8]
[2, 11, 0, 14]
[5, 7, 13, 10]
[14, 9, 4, 13]
[6, 9, 13, 12]
[0, 11, 8, 13]
[5, 0, 12, 8]
[8, 2, 13, 0]
[1, 13, 12, 9]
[6, 11, 12, 3]
[0, 1, 4, 11]
[0, 14, 10, 4]
[8, 7, 14, 3]
[14, 9, 6, 1]
[11, 4, 6, 9]
[8, 13, 5, 6]
[5, 12, 1, 11]
[10, 14, 11, 13]
[9, 12, 1, 14]
[8, 10, 7, 0]
[11, 3, 5, 9]
[5, 11, 12, 10]
[0, 8, 11, 2]
[2, 12, 13, 0]
[2, 7, 4, 10]
[0, 13, 3, 14]
[12, 4, 7, 5]
[13, 0, 2, 3]
[10, 7, 14, 3]
[5, 7, 4, 8]
[14, 6, 2, 3]
[9, 0, 6, 1]
[12, 3, 6, 5]
[6, 1, 12, 3]
[0, 8, 10, 14]
[3, 10, 11, 9]
[12, 9, 1, 2]
[1, 2, 9, 14]
[6, 0, 13, 14]
[0, 12, 10, 1]
[12, 14, 6, 11]
[3, 4, 9, 1]
[8, 1, 13, 4]
[9, 8, 6, 3]
[7, 0, 9, 8]
[10, 12, 0, 5]
[3, 7, 13, 6]
[3, 14, 7, 0]
[13, 9, 2, 0]
[2, 10, 11, 0]
[7, 5, 13, 8]
[2, 5, 8, 12]
[1, 5, 11, 9]
[12, 3, 2, 8]
[14, 2, 1, 11]
[6, 14, 5, 7]
[11, 1, 9, 6]
[1, 10, 14, 12]
