P1,P2,...,Pn
[14, 8, 3, 9]
[4, 6, 0, 7]
[8, 14, 7, 13]
[12, 0, 10, 8]
[12, 7, 6, 1]
[9, 5, 10, 6]
[8, 11, 10, 13]
[12, 14, 8, 7]
[11, 0, 2, 10]
[5, 13, 10, 0]
[12, 2, 5, 14]
[10, 1, 7, 9]
[2, 1, 10, 11]
[3, 1, 0, 14]
[4, 5, 13, 7]
[8, 9, 5, 13]
[2, 13, 0, 9]
[13, 7, 3, 0]
[4, 13, 7, 0]
[2, 14, 7, 13]
[7, 8, 0, 3]
[9, 6, 4, 14]
[9, 0, 3, 12]
[7, 2, 14, 3]
[10, 8, 2, 1]
[14, 7, 12, 5]
[1, 14, 7, 6]
[8, 12, 7, 10]
[14, 7, 5, 8]
[11, 8, 3, 5]
[9, 2, 8, 12]
[7, 13, 8, 0]
[10, 14, 3, 2]
[11, 1, 7, 14]
[6, 9, 0, 14]
[9, 0, 14, 5]
[2, 10, 3, 5]
[9, 13, 0, 14]
[6, 2, 9, 7]
[4, 12, 11, 7]
[4, 12, 11, 0]
[10, 2, 0, 8]
[4, 3, 8, 9]
[0, 10, 4, 2]
[3, 10, 7, 13]
[1, 5, 9, 8]
[0, 7, 8, 2]
[7, 9, 12, 14]
[2, 1, 5, 10]
[9, 14, 12, 4]
[9, 1, 8, 4]
[3, 4, 0, 1]
[11, 7, 12, 6]
[5, 7, 4, 1]
[11, 5, 3, 7]
[3, 10, 0, 9]
[10, 9, 8, 6]
[6, 8, 13, 7]
[13, 11, 1, 14]
[3, 12, 9, 14]
[12, 8, 6, 0]
[2, 1, 0, 9]
[12, 0, 9, 7]
[3, 12, 1, 11]
[7, 3, 14, 2]
[3, 6, 5, 14]
[9, 13, 10, 7]
[10, 11, 3, 14]
[2, 12, 5, 0]
[7, 4, 10, 5]
[3, 6, 10, 8]
[7, 1, 10, 12]
[4, 1, 8, 9]
[13, 14, 2, 12]
[10, 7, 5, 8]
[11, 8, 7, 12]
[1, 0, 9, 6]
[6, 13, 8, 3]
[8, 4, 9, 12]
[14, 6, 8, 1]
[14, 0, 13, 7]
[3, 7, 6, 13]
[8, 7, 11, 2]
[4, 8, 6, 2]
[6, 4, 13, 14]
[14, 13, 12, 4]
[14, 7, 5, 0]
[4, 10, 8, 7]
[1, 7, 12, 14]
[10, 13, 7, 0]
[2, 11, 6, 4]
[2, 13, 5, 1]
[2, 4, 0, 12]
[14, 10, 13, 2]
[7, 8, 6, 4]
[1, 3, 14, 5]
[7, 10, 4, 1]
[5, 3, 2, 10]
[12, 0, 11, 6]
[6, 10, 12, 9]
[14, 5, 4, 6]
[14, 2, 10, 5]
[8, 7, 3, 9]
[8, 13, 3, 14]
[7, 1, 8, 10]
[4, 5, 13, 8]
[13, 11, 2, 5]
[12, 11, 8, 3]
[10, 11, 12, 3]
[5, 13, 10, 14]
[7, 10, 2, 14]
[5, 11, 0, 14]
[13, 9, 4, 5]
[14, 7, 5, 8]
[6, 14, 8, 2]
[1, 2, 9, 0]
[9, 7, 8, 1]
[0, 12, 3, 5]
[1, 9, 2, 11]
[1, 5, 3, 0]
[3, 10, 13, 0]
[12, 0, 11, 1]
[3, 4, 14, 12]
[11, 12, 13, 9]
[13, 9, 0, 4]
[14, 8, 10, 11]
[0, 3, 9, 10]
[0, 10, 7, 14]
[11, 12, 3, 7]
[13, 11, 5, 2]
