P1,P2,...,Pn
[3, 8, 0, 14]
[11, 7, 6, 12]
[6, 1, 14, 9]
[12, 13, 4, 7]
[11, 14, 12, 5]
[1, 8, 6, 5]
[10, 6, 13, 12]
[2, 5, 4, 8]
[8, 12, 6, 10]
[14, 7, 10, 5]
[10, 12, 4, 6]
[14, 11, 3, 2]
[9, 10, 4, 6]
[6, 14, 11, 8]
[14, 7, 10, 11]
[3, 12, 11, 14]
[7, 10, 6, 0]
[13, 11, 7, 4]
[0, 12, 13, 6]
[14, 8, 2, 12]
[4, 9, 13, 14]
[2, 11, 8, 7]
[8, 4, 7, 1]
[8, 3, 5, 13]
[13, 14, 4, 7]
[6, 13, 2, 4]
[12, 4, 8, 13]
[0, 4, 13, 1]
[1, 11, 7, 12]
[13, 6, 1, 7]
[7, 9, 10, 5]
[8, 5, 13, 12]
[14, 0, 12, 10]
[4, 13, 3, 14]
[4, 0, 6, 3]
[8, 0, 6, 1]
[10, 9, 0, 6]
[13, 12, 9, 6]
[13, 14, 11, 7]
[1, 10, 14, 12]
[2, 7, 1, 5]
[6, 8, 13, 9]
[5, 3, 9, 13]
[1, 7, 4, 2]
[10, 5, 7, 2]
[0, 13, 11, 12]
