P1,P2,...,Pn
[13, 11, 6, 1]
[3, 12, 0, 5]
[1, 4, 14, 5]
[2, 0, 9, 12]
[11, 5, 2, 1]
[10, 4, 12, 11]
[8, 2, 12, 5]
[0, 3, 13, 7]
[0, 4, 3, 5]
[8, 10, 1, 14]
[12, 10, 6, 11]
[9, 8, 10, 3]
[3, 2, 14, 0]
[13, 0, 12, 14]
[5, 0, 9, 1]
[13, 1, 2, 11]
[1, 8, 9, 4]
[4, 3, 14, 2]
[10, 7, 9, 3]
[12, 5, 8, 3]
[4, 8, 11, 9]
[6, 5, 4, 7]
[4, 10, 13, 5]
[6, 10, 2, 13]
[3, 10, 5, 12]
[5, 0, 11, 9]
[4, 0, 6, 11]
[2, 5, 13, 12]
[5, 7, 2, 12]
[6, 9, 13, 3]
[14, 0, 13, 11]
[0, 4, 8, 14]
[5, 0, 2, 14]
[11, 12, 0, 4]
[10, 13, 4, 6]
[0, 8, 3, 10]
[4, 5, 1, 8]
[9, 1, 10, 0]
[13, 0, 4, 5]
[7, 10, 6, 3]
[12, 11, 10, 3]
[3, 0, 8, 13]
[8, 2, 7, 14]
[12, 3, 0, 2]
[14, 8, 6, 7]
[8, 7, 2, 11]
[1, 12, 8, 6]
[3, 6, 5, 0]
[12, 2, 10, 8]
[5, 6, 10, 4]
[3, 14, 7, 6]
[7, 13, 5, 4]
[2, 4, 12, 3]
[12, 2, 1, 9]
[2, 4, 14, 13]
[14, 6, 0, 1]
[2, 12, 3, 13]
[4, 3, 9, 8]
[1, 0, 10, 12]
[7, 11, 14, 4]
[14, 4, 8, 3]
[14, 11, 8, 3]
[4, 13, 7, 3]
[8, 9, 1, 0]
[10, 14, 7, 6]
[2, 3, 13, 7]
[13, 4, 7, 12]
[9, 12, 4, 1]
[5, 14, 8, 6]
[0, 5, 6, 14]
[10, 2, 9, 5]
[10, 0, 13, 14]
[8, 13, 10, 6]
[9, 0, 6, 10]
[4, 10, 1, 13]
[0, 3, 1, 2]
[8, 12, 11, 14]
[11, 12, 9, 8]
[1, 11, 7, 9]
[6, 10, 13, 7]
[8, 0, 12, 14]
[10, 3, 8, 12]
[11, 3, 5, 1]
