P1,P2,...,Pn
[1, 9, 0, 4]
[13, 3, 10, 7]
[11, 13, 10, 4]
[1, 3, 8, 0]
[12, 9, 1, 8]
[4, 7, 13, 0]
[10, 2, 14, 6]
[6, 2, 8, 11]
[6, 11, 10, 2]
[7, 1, 6, 12]
[14, 13, 3, 0]
[8, 14, 11, 12]
[12, 14, 7, 6]
[5, 14, 11, 6]
[14, 7, 13, 9]
[13, 6, 0, 1]
[9, 14, 2, 11]
[4, 10, 8, 0]
[13, 12, 6, 10]
[12, 4, 1, 14]
[0, 4, 3, 9]
[3, 14, 11, 9]
[14, 2, 4, 7]
[9, 5, 4, 13]
[3, 8, 5, 12]
[5, 2, 14, 8]
[10, 1, 9, 2]
[2, 7, 8, 10]
[2, 5, 4, 14]
[3, 2, 6, 10]
[13, 7, 14, 5]
[2, 4, 13, 14]
[0, 11, 5, 7]
[5, 6, 13, 4]
[11, 5, 4, 14]
[1, 12, 13, 9]
[5, 11, 4, 10]
[10, 11, 3, 14]
[0, 11, 1, 9]
[10, 8, 5, 3]
[0, 7, 1, 14]
[5, 3, 10, 11]
[9, 1, 7, 8]
[14, 3, 4, 5]
[8, 0, 14, 7]
[6, 3, 1, 12]
[13, 12, 11, 0]
[8, 5, 4, 9]
[8, 11, 4, 0]
[12, 7, 2, 1]
[13, 5, 10, 1]
[13, 12, 5, 10]
[10, 0, 12, 7]
[8, 13, 4, 9]
[12, 5, 9, 6]
[3, 6, 7, 8]
[5, 13, 11, 10]
[6, 5, 13, 3]
[6, 5, 8, 2]
[12, 4, 7, 3]
[8, 2, 9, 7]
[7, 10, 1, 0]
[10, 8, 1, 14]
[11, 2, 10, 12]
[1, 2, 11, 6]
[7, 5, 2, 4]
[12, 0, 7, 11]
[9, 13, 3, 4]
[6, 8, 9, 3]
[5, 1, 6, 8]
[1, 14, 9, 5]
[3, 11, 0, 7]
[1, 5, 0, 6]
[1, 7, 2, 13]
[5, 7, 14, 13]
[7, 8, 5, 6]
[10, 12, 13, 4]
[7, 13, 12, 5]
[14, 2, 12, 0]
[3, 6, 7, 8]
[4, 9, 0, 10]
[10, 0, 3, 8]
[5, 9, 8, 10]
[14, 10, 2, 8]
[6, 7, 3, 4]
[3, 7, 6, 12]
[9, 3, 7, 0]
[10, 11, 1, 7]
[3, 1, 5, 11]
[2, 10, 3, 7]
[12, 0, 8, 11]
[10, 7, 9, 2]
[1, 7, 14, 3]
[14, 10, 4, 5]
[5, 9, 4, 7]
[6, 5, 4, 3]
[12, 13, 2, 7]
[4, 10, 14, 11]
[8, 10, 1, 0]
[5, 14, 11, 7]
[0, 6, 14, 4]
[9, 11, 13, 8]
[8, 1, 2, 12]
[7, 4, 1, 5]
[9, 8, 1, 13]
[9, 7, 2, 12]
[0, 7, 13, 8]
[0, 12, 4, 13]
[5, 12, 3, 14]
[13, 12, 4, 11]
[5, 4, 11, 6]
[14, 5, 3, 8]
[14, 13, 10, 7]
[11, 12, 13, 7]
[11, 4, 9, 6]
[1, 12, 7, 14]
[8, 2, 4, 13]
[7, 2, 10, 13]
[11, 5, 7, 12]
[6, 12, 14, 10]
[5, 11, 1, 4]
[2, 9, 13, 4]
[8, 14, 2, 7]
[0, 12, 2, 9]
[8, 5, 4, 13]
[12, 14, 0, 6]
[6, 10, 1, 3]
[8, 9, 11, 7]
[7, 12, 9, 3]
[3, 7, 0, 6]
[13, 3, 4, 14]
[3, 11, 2, 9]
[2, 6, 5, 3]
[10, 2, 9, 14]
[4, 13, 11, 10]
[12, 0, 11, 6]
[14, 7, 13, 2]
[4, 13, 5, 3]
[8, 14, 9, 11]
[12, 4, 3, 2]
[10, 0, 8, 1]
[1, 6, 0, 13]
[11, 8, 7, 2]
[12, 7, 14, 2]
[14, 2, 11, 12]
[2, 13, 10, 4]
[5, 13, 10, 1]
[10, 7, 14, 6]
[13, 0, 11, 5]
[13, 6, 8, 5]
[12, 8, 14, 3]
[14, 2, 8, 6]
[12, 0, 5, 1]
[12, 0, 1, 4]
[11, 14, 9, 8]
[11, 12, 9, 1]
[7, 9, 2, 5]
[14, 5, 7, 2]
[1, 5, 10, 11]
[1, 11, 2, 5]
[3, 11, 13, 8]
[13, 7, 12, 8]
[12, 6, 10, 1]
[8, 10, 7, 14]
[13, 7, 3, 5]
[5, 12, 4, 8]
[9, 3, 10, 13]
[8, 9, 0, 12]
[9, 0, 13, 14]
[10, 9, 11, 0]
[2, 11, 8, 14]
[5, 12, 4, 1]
[6, 8, 11, 5]
[13, 7, 2, 5]
[13, 10, 6, 12]
[3, 11, 9, 6]
[9, 10, 11, 1]
[10, 3, 11, 0]
[2, 8, 0, 11]
[5, 3, 12, 1]
[6, 9, 12, 14]
[12, 4, 6, 11]
[11, 12, 1, 7]
