P1,P2,...,Pn
[6, 12, 14, 9]
[10, 14, 9, 1]
[0, 6, 5, 3]
[3, 0, 6, 14]
[7, 11, 10, 9]
[11, 0, 7, 9]
[1, 9, 11, 8]
[11, 8, 10, 12]
[8, 0, 7, 10]
[10, 7, 8, 14]
[3, 9, 0, 10]
[0, 5, 2, 1]
[1, 4, 13, 5]
[11, 9, 7, 3]
[13, 11, 6, 1]
[12, 9, 5, 10]
[13, 5, 1, 7]
[5, 13, 11, 9]
[14, 5, 9, 12]
[2, 0, 13, 9]
[0, 8, 1, 3]
[12, 5, 7, 1]
[12, 3, 14, 6]
[0, 10, 2, 6]
[9, 0, 5, 7]
[7, 3, 5, 6]
[1, 3, 0, 12]
[6, 4, 9, 13]
[11, 6, 4, 3]
[6, 7, 0, 13]
[12, 13, 2, 3]
[12, 1, 3, 7]
[6, 3, 2, 12]
[6, 5, 11, 10]
[2, 14, 8, 5]
[11, 0, 6, 8]
[2, 8, 10, 13]
[8, 0, 7, 3]
[6, 4, 8, 2]
[14, 1, 0, 9]
[12, 3, 5, 4]
[4, 2, 11, 6]
[6, 3, 1, 8]
[10, 5, 7, 3]
[5, 7, 1, 14]
[2, 12, 5, 1]
[3, 5, 14, 9]
[12, 10, 1, 6]
[11, 10, 4, 0]
[13, 6, 5, 11]
[2, 11, 5, 14]
[8, 12, 10, 7]
[12, 4, 1, 3]
[7, 6, 0, 3]
[2, 5, 12, 1]
[14, 3, 2, 12]
[10, 11, 2, 12]
[0, 6, 9, 13]
[3, 4, 7, 13]
[8, 14, 12, 2]
[6, 13, 14, 4]
[12, 5, 3, 1]
[9, 11, 14, 8]
[4, 11, 9, 5]
[10, 4, 0, 7]
[6, 1, 14, 4]
[2, 9, 12, 13]
[2, 6, 10, 14]
[8, 7, 12, 1]
[4, 5, 14, 13]
[14, 10, 6, 4]
[1, 11, 9, 2]
[2, 8, 11, 7]
[12, 5, 8, 14]
[14, 10, 11, 9]
[12, 14, 5, 4]
[11, 3, 4, 12]
[1, 12, 2, 9]
[10, 12, 1, 5]
[8, 0, 3, 6]
[3, 9, 1, 0]
[14, 12, 9, 10]
[6, 11, 13, 0]
[3, 12, 1, 10]
[7, 10, 0, 5]
[5, 14, 7, 10]
[5, 7, 8, 11]
[12, 2, 4, 13]
[1, 14, 12, 8]
[5, 13, 0, 8]
[8, 14, 7, 3]
[7, 11, 9, 0]
[13, 14, 0, 1]
[10, 0, 3, 4]
[12, 2, 14, 5]
[1, 3, 12, 2]
[13, 4, 0, 6]
[12, 6, 13, 5]
[14, 2, 5, 7]
[6, 8, 10, 1]
[2, 9, 3, 1]
[5, 14, 12, 6]
[1, 2, 14, 12]
[5, 0, 8, 2]
[1, 13, 8, 0]
[8, 14, 12, 4]
[12, 8, 0, 10]
[10, 14, 7, 4]
[10, 0, 1, 3]
[13, 7, 2, 12]
[11, 10, 5, 0]
[2, 14, 13, 12]
[4, 6, 12, 0]
[0, 4, 6, 10]
[12, 10, 4, 5]
[1, 6, 11, 14]
[0, 2, 4, 12]
[0, 2, 12, 10]
[4, 12, 8, 13]
[13, 7, 10, 5]
[11, 12, 6, 8]
[4, 9, 7, 11]
[5, 8, 10, 4]
[7, 4, 3, 1]
[7, 0, 6, 11]
[6, 5, 4, 3]
[4, 2, 7, 10]
[1, 9, 13, 2]
[10, 0, 12, 1]
[2, 6, 10, 12]
[10, 1, 11, 3]
[8, 12, 14, 9]
[0, 5, 8, 1]
[6, 1, 8, 4]
[2, 10, 11, 7]
[0, 14, 12, 6]
[8, 5, 2, 3]
[2, 4, 1, 7]
[8, 2, 1, 9]
[13, 8, 11, 14]
[10, 6, 9, 14]
[8, 3, 11, 12]
[2, 12, 11, 8]
[3, 4, 10, 5]
[11, 1, 2, 9]
[11, 13, 1, 12]
[10, 14, 5, 2]
[2, 14, 12, 8]
[2, 4, 6, 14]
[3, 4, 0, 12]
[8, 14, 0, 2]
[9, 14, 12, 7]
[5, 14, 10, 0]
[2, 1, 13, 8]
[9, 7, 11, 8]
[13, 1, 6, 3]
[5, 6, 12, 10]
[14, 9, 12, 1]
[14, 6, 12, 9]
[12, 8, 6, 10]
[10, 9, 2, 1]
[2, 6, 13, 7]
[1, 7, 3, 8]
[14, 7, 13, 5]
[2, 4, 10, 12]
[1, 10, 9, 7]
[0, 4, 1, 5]
[6, 13, 4, 3]
[10, 5, 7, 9]
[1, 6, 0, 8]
[2, 4, 1, 13]
[10, 12, 1, 5]
[8, 13, 5, 11]
[8, 1, 3, 6]
[9, 12, 2, 10]
[14, 9, 8, 4]
[10, 9, 8, 13]
[2, 5, 10, 6]
[5, 1, 0, 9]
[12, 3, 8, 7]
[4, 11, 14, 13]
[6, 10, 12, 5]
[14, 6, 10, 9]
[13, 2, 11, 3]
[8, 6, 14, 7]
[3, 13, 11, 5]
[9, 5, 12, 3]
[14, 12, 13, 3]
[5, 10, 12, 8]
[7, 8, 12, 0]
[9, 0, 4, 8]
[5, 6, 0, 14]
[13, 8, 7, 5]
[3, 12, 1, 9]
[3, 13, 11, 1]
[14, 12, 9, 4]
[7, 9, 3, 14]
[10, 4, 14, 2]
[8, 4, 12, 11]
[0, 10, 13, 6]
