P1,P2,...,Pn
[12, 7, 3, 0]
[8, 4, 13, 12]
[7, 13, 4, 1]
[7, 9, 10, 12]
[3, 13, 2, 8]
[14, 7, 2, 4]
[4, 10, 0, 9]
[1, 11, 5, 9]
[1, 14, 4, 2]
[14, 5, 7, 3]
[11, 8, 3, 13]
[3, 1, 9, 6]
[14, 10, 0, 5]
[13, 6, 12, 10]
[1, 7, 11, 6]
[11, 8, 13, 4]
[5, 3, 11, 7]
[6, 0, 4, 12]
[9, 1, 3, 8]
[12, 6, 3, 11]
[10, 3, 1, 14]
[10, 13, 2, 5]
[8, 12, 0, 5]
[0, 5, 13, 6]
[5, 9, 3, 0]
[14, 11, 9, 6]
[7, 11, 2, 13]
[12, 0, 6, 4]
[13, 10, 8, 11]
[1, 0, 11, 10]
[6, 13, 1, 4]
[9, 1, 13, 5]
[2, 5, 13, 6]
[4, 8, 0, 1]
[12, 11, 8, 2]
[3, 8, 0, 2]
[1, 4, 5, 10]
[9, 12, 1, 2]
[14, 2, 0, 6]
[13, 3, 11, 7]
[7, 11, 5, 0]
[9, 10, 11, 1]
[8, 4, 10, 14]
[7, 10, 6, 12]
[10, 1, 8, 6]
[0, 13, 3, 14]
[10, 7, 11, 2]
[1, 14, 3, 7]
[3, 14, 8, 6]
[14, 3, 0, 11]
[14, 9, 5, 6]
[13, 9, 12, 3]
