P1,P2,...,Pn
[10, 2, 3, 4, 1]
[11, 3, 4, 1, 0]
[13, 1, 10, 4, 9]
[1, 9, 5, 2, 8]
[12, 5, 11, 2, 14]
[11, 6, 13, 5, 2]
[13, 12, 3, 8, 0]
[12, 2, 5, 0, 7]
[6, 5, 11, 7, 13]
[6, 12, 11, 13, 5]
[8, 10, 3, 6, 9]
[7, 0, 6, 14, 13]
[7, 3, 10, 11, 13]
[12, 13, 6, 3, 1]
[3, 2, 4, 8, 7]
[3, 2, 1, 4, 9]
[9, 8, 3, 6, 5]
[4, 13, 14, 5, 2]
[14, 1, 7, 3, 13]
[14, 2, 11, 1, 0]
[14, 4, 13, 2, 7]
[6, 14, 0, 3, 12]
[1, 11, 4, 5, 10]
[13, 3, 5, 14, 1]
[8, 11, 12, 6, 7]
[7, 3, 8, 12, 14]
[6, 5, 9, 14, 4]
[8, 1, 10, 9, 2]
[2, 1, 11, 3, 14]
[13, 0, 10, 2, 11]
[13, 5, 0, 8, 12]
[10, 5, 13, 4, 7]
[3, 11, 1, 10, 13]
[11, 9, 3, 2, 4]
[1, 11, 3, 0, 9]
[8, 12, 3, 11, 0]
[7, 10, 4, 9, 3]
[12, 0, 3, 1, 2]
[11, 13, 14, 0, 7]
[0, 7, 9, 14, 4]
[14, 2, 1, 6, 11]
[2, 12, 10, 8, 3]
[13, 11, 3, 9, 1]
[6, 4, 5, 10, 7]
[11, 12, 1, 6, 8]
[1, 11, 4, 8, 9]
[4, 10, 3, 2, 6]
[7, 6, 4, 3, 5]
[3, 10, 6, 12, 11]
[1, 7, 3, 11, 2]
[0, 13, 5, 8, 10]
[14, 5, 0, 11, 4]
[6, 0, 11, 3, 14]
[4, 9, 11, 0, 13]
[12, 0, 3, 1, 4]
[8, 12, 0, 1, 10]
[0, 7, 2, 11, 3]
[4, 13, 1, 11, 2]
[13, 14, 12, 1, 3]
[12, 1, 2, 3, 9]
[11, 7, 1, 13, 8]
[7, 2, 11, 10, 3]
[0, 5, 10, 11, 9]
[12, 5, 7, 3, 0]
[4, 11, 14, 3, 5]
[0, 9, 8, 13, 1]
[8, 4, 6, 10, 5]
[3, 8, 0, 11, 12]
[5, 2, 3, 10, 8]
[11, 3, 9, 7, 6]
[1, 13, 7, 12, 11]
[3, 12, 13, 9, 10]
[9, 3, 2, 7, 12]
[1, 8, 3, 0, 12]
[13, 5, 8, 9, 14]
[6, 14, 4, 13, 8]
[7, 14, 11, 4, 2]
[13, 8, 7, 14, 12]
[4, 8, 10, 11, 14]
[1, 4, 13, 7, 5]
[12, 0, 7, 10, 14]
[9, 13, 3, 12, 10]
[14, 12, 0, 13, 3]
[4, 5, 1, 0, 6]
[4, 11, 12, 5, 9]
[5, 7, 11, 13, 1]
[5, 6, 12, 0, 13]
[7, 4, 9, 13, 11]
[0, 1, 10, 11, 9]
[14, 2, 13, 10, 4]
[12, 1, 5, 2, 6]
[10, 12, 2, 9, 1]
[14, 13, 11, 10, 3]
[6, 4, 10, 0, 12]
[9, 3, 14, 0, 7]
[6, 14, 5, 2, 12]
[14, 1, 0, 6, 12]
[1, 13, 8, 5, 11]
[8, 7, 0, 10, 2]
[12, 2, 0, 1, 9]
[6, 8, 9, 0, 12]
[2, 13, 0, 11, 8]
[9, 3, 7, 13, 6]
[14, 7, 5, 2, 10]
[5, 9, 4, 0, 2]
[11, 13, 9, 7, 6]
[8, 9, 3, 0, 7]
[6, 13, 11, 5, 9]
[7, 9, 2, 12, 8]
[0, 12, 3, 10, 2]
[6, 2, 5, 11, 12]
[8, 3, 7, 4, 11]
[3, 12, 10, 1, 11]
[11, 6, 3, 12, 13]
[2, 11, 6, 5, 12]
[11, 10, 2, 1, 3]
[12, 14, 10, 9, 4]
[9, 7, 3, 0, 4]
[13, 6, 12, 2, 8]
[8, 5, 6, 13, 7]
[3, 2, 9, 5, 4]
[2, 8, 1, 12, 6]
[0, 6, 9, 3, 11]
[6, 9, 4, 10, 12]
[10, 5, 11, 6, 14]
[5, 2, 4, 0, 1]
[1, 2, 3, 11, 7]
[4, 3, 2, 8, 7]
[0, 3, 1, 2, 14]
[13, 9, 10, 0, 1]
[1, 4, 14, 12, 3]
[9, 8, 6, 1, 12]
[11, 4, 7, 13, 5]
[11, 8, 12, 10, 6]
[12, 3, 6, 11, 8]
[8, 0, 3, 10, 1]
[11, 9, 7, 14, 2]
[8, 2, 13, 4, 6]
[14, 2, 9, 4, 13]
[2, 14, 10, 5, 6]
[10, 12, 1, 6, 13]
[9, 8, 6, 0, 2]
[6, 0, 2, 8, 10]
[3, 6, 10, 8, 2]
[5, 4, 11, 10, 14]
[12, 0, 13, 9, 8]
[10, 8, 5, 1, 14]
[13, 9, 3, 4, 5]
[0, 11, 9, 10, 2]
[11, 12, 1, 5, 6]
[4, 2, 8, 14, 13]
[1, 8, 11, 10, 9]
[1, 10, 4, 14, 11]
[6, 13, 1, 2, 0]
[14, 12, 0, 1, 8]
[0, 14, 6, 4, 13]
[4, 9, 7, 0, 14]
[9, 8, 1, 11, 10]
[3, 10, 7, 6, 4]
[9, 0, 6, 5, 4]
[3, 9, 1, 13, 10]
[3, 5, 2, 13, 7]
[9, 2, 6, 12, 11]
[11, 10, 8, 9, 1]
[5, 7, 12, 8, 2]
[0, 7, 8, 3, 14]
[7, 0, 6, 1, 8]
[2, 11, 10, 1, 3]
[5, 10, 0, 11, 3]
[2, 9, 4, 1, 3]
[8, 9, 5, 4, 2]
[2, 1, 9, 4, 3]
[8, 5, 4, 0, 3]
[12, 10, 11, 3, 4]
[7, 11, 6, 5, 1]
[12, 8, 1, 3, 6]
[8, 13, 4, 10, 11]
[0, 1, 12, 10, 13]
[5, 11, 6, 8, 4]
[3, 1, 12, 5, 2]
[13, 9, 12, 3, 2]
[10, 12, 6, 14, 4]
[10, 1, 0, 2, 11]
[7, 8, 3, 9, 5]
[9, 8, 0, 10, 6]
[13, 5, 0, 10, 6]
[2, 3, 5, 12, 7]
