P1,P2,...,Pn
[6, 1, 5, 9, 10]
[5, 0, 14, 9, 11]
[1, 12, 14, 2, 11]
[10, 6, 3, 11, 8]
[0, 11, 4, 6, 2]
[9, 2, 0, 11, 4]
[11, 3, 9, 6, 1]
[10, 1, 2, 11, 12]
[1, 14, 10, 3, 4]
[6, 9, 14, 3, 2]
[9, 12, 3, 14, 13]
[6, 0, 5, 12, 2]
[13, 4, 10, 12, 8]
[3, 12, 7, 14, 11]
[2, 13, 10, 5, 4]
[10, 3, 1, 14, 12]
[5, 6, 7, 9, 13]
[10, 11, 4, 6, 2]
[3, 1, 12, 10, 13]
[6, 4, 10, 11, 12]
[9, 13, 11, 4, 12]
[4, 3, 7, 11, 5]
[1, 11, 2, 4, 13]
[14, 1, 4, 6, 2]
[4, 7, 9, 0, 14]
[5, 6, 7, 0, 10]
[9, 0, 6, 4, 3]
[2, 3, 11, 0, 12]
[7, 9, 2, 1, 5]
[8, 2, 9, 13, 12]
[12, 6, 14, 7, 1]
[4, 3, 7, 0, 2]
[13, 5, 10, 9, 7]
[9, 6, 14, 8, 2]
[10, 6, 9, 5, 4]
[4, 6, 3, 0, 14]
[13, 10, 2, 3, 11]
[12, 14, 3, 7, 5]
[9, 6, 3, 7, 13]
[4, 11, 13, 6, 5]
[14, 5, 1, 6, 7]
[6, 11, 4, 12, 1]
[7, 14, 0, 4, 2]
[9, 11, 6, 8, 5]
[13, 7, 6, 5, 2]
[11, 7, 1, 14, 4]
[0, 14, 13, 3, 11]
[13, 8, 14, 9, 5]
[5, 1, 0, 3, 4]
[4, 5, 3, 14, 10]
[8, 9, 2, 3, 6]
[8, 11, 13, 0, 3]
[5, 3, 8, 10, 11]
[5, 6, 13, 4, 14]
[2, 8, 0, 4, 6]
[8, 0, 3, 7, 5]
[2, 14, 13, 7, 3]
[0, 9, 1, 13, 4]
[13, 14, 7, 11, 2]
[14, 13, 1, 7, 8]
[0, 8, 12, 3, 4]
[3, 5, 10, 1, 2]
[2, 7, 10, 8, 3]
[5, 2, 8, 3, 7]
[1, 3, 2, 11, 14]
[6, 13, 12, 1, 4]
[9, 8, 7, 3, 2]
[3, 0, 1, 6, 14]
[5, 11, 0, 13, 10]
[9, 12, 2, 0, 3]
[12, 9, 13, 3, 2]
[5, 2, 9, 4, 11]
[14, 11, 7, 10, 2]
[8, 11, 10, 3, 2]
[11, 10, 3, 13, 4]
[8, 10, 4, 3, 11]
[10, 8, 14, 0, 2]
[11, 9, 3, 8, 1]
[2, 0, 10, 14, 8]
[3, 13, 4, 10, 2]
[10, 6, 2, 1, 5]
[4, 14, 12, 2, 0]
[6, 12, 1, 10, 2]
[11, 0, 7, 1, 14]
[3, 1, 10, 13, 12]
[5, 14, 7, 12, 9]
[4, 7, 12, 11, 6]
[10, 13, 11, 4, 9]
[8, 0, 4, 7, 14]
[3, 5, 6, 10, 7]
[2, 10, 11, 1, 0]
[13, 8, 10, 1, 7]
[6, 8, 5, 9, 3]
[7, 13, 6, 4, 2]
[1, 3, 10, 14, 5]
[2, 12, 5, 14, 8]
[13, 8, 5, 11, 9]
[5, 9, 13, 14, 8]
[13, 12, 6, 3, 14]
[14, 7, 9, 8, 2]
[2, 4, 14, 6, 7]
[12, 2, 10, 3, 4]
[9, 4, 10, 13, 2]
[1, 0, 4, 9, 11]
[9, 1, 8, 0, 2]
[13, 6, 8, 10, 2]
[14, 5, 0, 3, 1]
[14, 11, 13, 7, 6]
[6, 9, 14, 8, 4]
[10, 4, 11, 1, 12]
[2, 10, 14, 9, 13]
[5, 9, 12, 0, 4]
[14, 0, 4, 11, 1]
[2, 1, 14, 0, 10]
[0, 5, 3, 4, 6]
[7, 5, 3, 11, 14]
[6, 12, 9, 14, 0]
[11, 13, 9, 7, 8]
[0, 9, 11, 1, 3]
[8, 12, 5, 9, 10]
[2, 7, 9, 3, 11]
[4, 9, 2, 1, 8]
[5, 0, 7, 2, 4]
[5, 3, 4, 7, 8]
[9, 0, 8, 12, 13]
[6, 8, 1, 3, 0]
[2, 0, 13, 8, 7]
[5, 8, 10, 1, 7]
[8, 7, 3, 0, 5]
[8, 7, 12, 10, 2]
[9, 12, 2, 3, 7]
[1, 10, 2, 13, 9]
[12, 8, 4, 5, 13]
[6, 11, 10, 9, 14]
[4, 13, 7, 5, 10]
[14, 5, 3, 6, 9]
[6, 4, 2, 8, 12]
[7, 4, 10, 6, 11]
[10, 6, 11, 12, 0]
[7, 4, 8, 12, 5]
[2, 3, 14, 11, 9]
[7, 6, 8, 3, 5]
[7, 4, 3, 9, 6]
[12, 9, 6, 5, 0]
[5, 10, 14, 1, 4]
[1, 11, 0, 4, 6]
[3, 14, 4, 1, 10]
[9, 1, 3, 11, 10]
[10, 12, 1, 0, 13]
[12, 14, 7, 10, 6]
[2, 10, 12, 11, 14]
[10, 2, 6, 4, 13]
[6, 10, 3, 0, 2]
[10, 6, 4, 2, 0]
[13, 5, 7, 3, 2]
[12, 7, 6, 1, 4]
