P1,P2,...,Pn
[10, 1, 14, 12, 3]
[0, 12, 5, 9, 10]
[12, 4, 6, 11, 3]
[7, 6, 11, 1, 0]
[9, 11, 1, 13, 7]
[9, 3, 10, 0, 11]
[10, 6, 0, 12, 9]
[6, 14, 0, 4, 5]
[13, 1, 7, 3, 14]
[14, 11, 2, 10, 9]
[14, 2, 4, 0, 11]
[1, 7, 0, 13, 11]
[8, 5, 1, 0, 7]
[13, 12, 7, 10, 9]
[11, 10, 7, 3, 14]
[14, 1, 8, 0, 13]
[12, 2, 6, 10, 9]
[9, 2, 13, 7, 14]
[6, 13, 1, 3, 8]
[6, 1, 7, 4, 0]
[2, 1, 9, 5, 6]
[0, 2, 4, 10, 9]
[7, 12, 2, 0, 6]
[5, 10, 0, 7, 11]
[5, 8, 2, 12, 1]
[9, 7, 1, 3, 13]
[7, 3, 0, 14, 9]
[0, 6, 7, 13, 4]
[3, 13, 12, 1, 0]
[2, 12, 1, 13, 8]
[10, 9, 7, 3, 5]
[5, 12, 9, 2, 1]
[7, 3, 11, 9, 2]
[7, 1, 14, 12, 2]
[4, 13, 8, 5, 0]
[8, 7, 13, 10, 5]
[9, 8, 13, 2, 5]
[6, 0, 9, 3, 5]
[8, 7, 9, 11, 0]
[8, 13, 14, 12, 4]
[13, 3, 2, 9, 6]
[8, 3, 11, 12, 9]
[10, 6, 5, 12, 13]
[14, 10, 5, 4, 12]
[7, 9, 10, 5, 14]
[4, 5, 10, 14, 13]
[7, 3, 10, 2, 12]
[3, 0, 7, 5, 4]
[9, 4, 3, 5, 11]
[14, 2, 5, 4, 6]
[4, 11, 14, 2, 3]
[2, 12, 11, 6, 5]
[12, 10, 4, 13, 5]
[10, 9, 3, 5, 8]
[9, 10, 0, 5, 4]
[7, 4, 11, 2, 3]
[8, 10, 4, 7, 2]
[6, 1, 7, 12, 4]
[3, 6, 10, 8, 2]
[9, 2, 1, 7, 8]
[5, 0, 12, 2, 10]
[7, 1, 12, 11, 4]
[8, 7, 9, 11, 14]
[6, 5, 9, 2, 3]
[10, 13, 9, 5, 2]
[5, 2, 13, 1, 6]
[7, 3, 1, 6, 4]
[12, 0, 9, 8, 14]
[7, 0, 13, 2, 11]
[10, 11, 6, 4, 9]
[11, 13, 5, 6, 7]
[11, 13, 7, 14, 5]
[7, 14, 5, 6, 1]
[6, 0, 14, 7, 12]
[1, 8, 10, 9, 11]
[10, 3, 12, 8, 7]
[14, 6, 0, 1, 7]
[1, 13, 6, 10, 9]
[6, 12, 2, 0, 13]
[6, 7, 5, 4, 10]
[10, 12, 4, 0, 2]
[1, 14, 4, 8, 6]
[9, 14, 7, 12, 1]
[5, 0, 7, 3, 9]
[10, 12, 11, 1, 7]
[6, 12, 0, 3, 4]
[13, 8, 6, 4, 5]
[4, 2, 9, 14, 11]
[14, 9, 1, 3, 8]
[0, 6, 8, 5, 10]
[9, 7, 12, 10, 0]
[5, 14, 1, 4, 10]
[14, 4, 6, 11, 1]
[7, 1, 3, 12, 6]
[7, 12, 4, 0, 3]
[10, 12, 4, 0, 1]
[0, 12, 14, 5, 1]
[2, 0, 3, 6, 11]
[11, 8, 10, 7, 12]
[3, 8, 6, 9, 2]
[11, 12, 0, 8, 9]
[5, 7, 13, 1, 3]
[12, 10, 8, 11, 7]
[3, 12, 14, 8, 11]
[6, 12, 1, 4, 3]
[3, 10, 4, 13, 11]
[7, 14, 2, 5, 13]
[14, 8, 0, 4, 13]
[6, 11, 2, 5, 14]
[1, 11, 9, 8, 4]
[0, 14, 8, 13, 4]
[5, 13, 2, 1, 4]
[3, 14, 9, 5, 11]
[9, 3, 0, 11, 7]
[11, 12, 5, 7, 4]
[11, 1, 2, 6, 12]
[13, 3, 9, 2, 10]
[5, 10, 3, 7, 11]
[5, 11, 0, 9, 10]
[3, 5, 14, 7, 10]
[2, 7, 5, 6, 14]
[13, 3, 5, 11, 4]
[7, 5, 13, 10, 8]
[10, 6, 9, 14, 8]
[9, 14, 1, 7, 4]
[11, 14, 6, 1, 0]
[11, 8, 0, 3, 6]
[5, 0, 14, 2, 6]
[12, 9, 6, 13, 1]
[6, 11, 5, 0, 1]
[8, 10, 14, 11, 7]
[6, 1, 2, 0, 12]
[1, 0, 13, 14, 9]
[14, 2, 10, 5, 11]
[12, 11, 1, 10, 6]
[10, 8, 4, 5, 3]
[10, 3, 0, 5, 13]
[11, 3, 2, 5, 4]
[1, 9, 3, 14, 10]
[4, 12, 13, 8, 0]
[7, 13, 8, 6, 2]
[2, 3, 1, 7, 5]
[12, 6, 3, 7, 4]
[5, 9, 7, 6, 4]
[13, 2, 3, 10, 14]
[2, 0, 12, 3, 5]
[5, 1, 8, 13, 10]
[4, 7, 0, 9, 2]
[14, 10, 9, 3, 4]
[10, 8, 0, 2, 5]
[3, 12, 5, 6, 13]
[12, 14, 8, 10, 0]
[4, 12, 5, 2, 9]
[5, 10, 9, 3, 12]
[5, 8, 12, 11, 10]
[12, 1, 6, 14, 0]
[3, 5, 4, 1, 0]
[14, 8, 6, 5, 1]
[1, 10, 3, 9, 12]
[8, 5, 9, 14, 13]
[6, 5, 11, 8, 9]
[6, 4, 5, 12, 2]
[6, 8, 4, 2, 3]
[3, 8, 4, 10, 1]
[0, 6, 9, 14, 10]
[10, 3, 6, 1, 7]
[9, 7, 12, 2, 13]
[12, 6, 3, 2, 13]
[2, 6, 3, 4, 9]
[8, 4, 13, 3, 12]
[10, 9, 7, 4, 1]
[3, 12, 2, 5, 11]
[0, 9, 2, 1, 11]
[12, 4, 11, 1, 2]
[2, 10, 0, 7, 14]
[2, 0, 5, 7, 8]
[11, 13, 6, 8, 14]
[14, 10, 4, 12, 7]
[14, 11, 2, 5, 7]
[13, 11, 7, 14, 2]
[6, 8, 13, 3, 1]
[9, 7, 3, 4, 12]
[1, 3, 5, 0, 8]
[14, 4, 0, 9, 5]
[9, 5, 3, 0, 11]
[8, 5, 10, 2, 4]
[9, 8, 6, 3, 12]
[4, 10, 12, 1, 8]
[3, 4, 12, 2, 11]
[10, 13, 3, 1, 12]
[4, 2, 6, 13, 10]
[2, 14, 7, 8, 10]
[0, 12, 6, 9, 7]
[1, 7, 0, 2, 11]
[7, 1, 12, 6, 9]
[12, 11, 0, 1, 8]
[7, 8, 0, 11, 2]
[3, 11, 14, 12, 5]
[7, 9, 4, 12, 3]
[1, 0, 14, 12, 11]
[8, 6, 5, 1, 9]
[12, 10, 4, 13, 0]
[0, 11, 2, 5, 12]
[9, 6, 11, 7, 4]
[10, 9, 7, 2, 6]
[3, 7, 9, 12, 11]
[6, 8, 0, 1, 11]
[7, 6, 0, 8, 4]
[11, 6, 10, 1, 2]
[8, 3, 2, 7, 14]
[8, 6, 10, 5, 7]
[2, 0, 12, 10, 13]
[7, 8, 12, 5, 14]
[11, 1, 0, 3, 6]
[3, 8, 13, 10, 12]
[12, 10, 0, 6, 9]
[13, 10, 12, 11, 6]
[12, 2, 0, 8, 4]
[3, 12, 0, 9, 10]
[4, 7, 12, 5, 9]
[14, 5, 7, 12, 1]
[9, 7, 2, 4, 14]
[14, 10, 6, 3, 1]
[6, 11, 5, 0, 12]
[0, 14, 2, 8, 5]
[11, 1, 6, 2, 13]
[7, 6, 2, 8, 14]
[12, 5, 4, 10, 11]
[0, 13, 5, 2, 3]
[10, 3, 7, 13, 6]
[14, 9, 2, 10, 13]
[1, 14, 12, 9, 10]
[5, 8, 3, 0, 9]
