P1,P2,...,Pn
[5, 10, 1, 0, 8]
[11, 12, 5, 2, 1]
[5, 9, 1, 10, 6]
[5, 0, 2, 14, 1]
[6, 4, 14, 11, 10]
[13, 1, 10, 11, 8]
[1, 4, 13, 8, 9]
[3, 6, 8, 10, 7]
[3, 10, 11, 12, 1]
[7, 5, 12, 10, 9]
[5, 6, 2, 7, 4]
[2, 4, 14, 1, 7]
[3, 7, 6, 13, 11]
[10, 7, 14, 3, 13]
[14, 8, 12, 3, 4]
[1, 7, 12, 4, 3]
[7, 3, 6, 10, 1]
[0, 2, 1, 5, 4]
[5, 0, 8, 6, 7]
[6, 9, 7, 5, 8]
[6, 0, 12, 8, 4]
[3, 7, 11, 6, 4]
[8, 3, 4, 13, 9]
[4, 11, 6, 10, 8]
[14, 4, 5, 6, 0]
[6, 2, 10, 0, 13]
[13, 4, 1, 0, 10]
[11, 3, 8, 0, 9]
[2, 7, 12, 8, 13]
[12, 13, 9, 3, 7]
[5, 13, 4, 0, 10]
[12, 13, 14, 3, 4]
[3, 5, 9, 14, 13]
[8, 14, 12, 7, 3]
[10, 8, 3, 13, 12]
[14, 2, 6, 5, 12]
[3, 6, 2, 12, 1]
[5, 1, 9, 8, 7]
[14, 9, 7, 13, 6]
[14, 13, 10, 8, 7]
[8, 12, 5, 1, 14]
[3, 0, 2, 9, 12]
[9, 10, 1, 4, 14]
[11, 2, 5, 4, 9]
[5, 10, 2, 13, 11]
[8, 3, 10, 7, 13]
[3, 12, 4, 0, 9]
[13, 3, 2, 11, 1]
[8, 7, 3, 5, 4]
[14, 10, 4, 8, 1]
[2, 0, 8, 12, 10]
[10, 11, 6, 9, 3]
[10, 11, 2, 4, 5]
[3, 1, 5, 14, 8]
[3, 10, 5, 7, 2]
[1, 2, 13, 0, 14]
[7, 11, 10, 5, 13]
[2, 10, 5, 9, 7]
[9, 10, 1, 7, 2]
[13, 12, 3, 11, 5]
[12, 8, 2, 6, 3]
[13, 1, 10, 2, 0]
[7, 1, 0, 14, 10]
[2, 4, 6, 13, 10]
[7, 0, 11, 8, 14]
[13, 3, 0, 14, 4]
[6, 8, 0, 13, 2]
[3, 9, 12, 1, 13]
[11, 9, 2, 8, 7]
[7, 13, 10, 3, 6]
[10, 7, 8, 2, 3]
[11, 4, 9, 1, 3]
[10, 11, 9, 7, 12]
[12, 10, 13, 2, 4]
[13, 0, 3, 14, 4]
[0, 14, 2, 8, 9]
[12, 4, 13, 7, 3]
[14, 3, 6, 13, 4]
[3, 2, 13, 14, 12]
[2, 11, 7, 9, 3]
[3, 2, 1, 10, 6]
[5, 2, 12, 6, 0]
[2, 9, 7, 3, 10]
[9, 7, 11, 5, 4]
[8, 10, 6, 11, 13]
[9, 7, 12, 5, 1]
[1, 3, 12, 6, 9]
[3, 12, 13, 1, 2]
[4, 3, 13, 12, 1]
[4, 2, 7, 13, 10]
[8, 13, 7, 4, 9]
[5, 11, 8, 3, 7]
[1, 6, 13, 2, 8]
[10, 7, 2, 14, 12]
[7, 2, 8, 11, 6]
[5, 4, 3, 7, 6]
[6, 13, 7, 5, 4]
[7, 8, 9, 5, 12]
[10, 4, 9, 13, 8]
[2, 4, 6, 3, 10]
[12, 13, 10, 7, 4]
[12, 3, 4, 0, 7]
[2, 4, 6, 11, 1]
[4, 5, 2, 7, 6]
[6, 8, 10, 1, 3]
[5, 13, 14, 4, 2]
[6, 0, 14, 8, 12]
[6, 5, 12, 13, 11]
[3, 0, 9, 14, 10]
[11, 5, 0, 2, 13]
[6, 7, 0, 3, 4]
[2, 14, 8, 0, 6]
[6, 3, 10, 13, 9]
[11, 4, 1, 2, 14]
[11, 9, 0, 7, 6]
[2, 1, 13, 10, 6]
[14, 2, 10, 1, 13]
[6, 12, 13, 7, 0]
[8, 2, 14, 13, 9]
[12, 2, 0, 9, 4]
[3, 4, 12, 6, 11]
[2, 11, 4, 8, 13]
[9, 0, 12, 13, 10]
[6, 14, 0, 2, 11]
[10, 6, 4, 12, 3]
[6, 2, 14, 11, 10]
[14, 6, 12, 3, 13]
[6, 2, 13, 11, 7]
[9, 6, 10, 1, 3]
[0, 8, 5, 11, 4]
[1, 6, 0, 9, 11]
[3, 0, 5, 14, 10]
[10, 9, 14, 8, 11]
[12, 5, 4, 10, 3]
[1, 14, 2, 12, 10]
[11, 9, 8, 13, 1]
[6, 10, 4, 5, 8]
[5, 14, 12, 4, 1]
[1, 0, 6, 10, 8]
[10, 0, 7, 1, 3]
[1, 2, 12, 0, 13]
[0, 13, 10, 9, 8]
[12, 2, 4, 9, 6]
[0, 14, 13, 11, 5]
[3, 8, 2, 9, 4]
[4, 9, 0, 2, 1]
[0, 2, 11, 14, 7]
[4, 1, 7, 13, 0]
[5, 13, 1, 4, 0]
[1, 3, 0, 7, 11]
[7, 11, 5, 10, 4]
[14, 11, 2, 1, 9]
[2, 0, 11, 4, 5]
[2, 0, 1, 4, 9]
[0, 9, 3, 6, 2]
[9, 13, 2, 12, 3]
[14, 11, 1, 5, 6]
[3, 7, 8, 14, 2]
[13, 14, 12, 1, 5]
[5, 14, 7, 4, 12]
[5, 4, 9, 2, 0]
[8, 14, 0, 2, 9]
[0, 5, 8, 14, 11]
[13, 1, 3, 12, 11]
[2, 4, 14, 11, 3]
[3, 11, 1, 13, 8]
[14, 3, 8, 2, 4]
[2, 8, 5, 6, 14]
[12, 0, 2, 11, 5]
[4, 6, 9, 10, 2]
[2, 9, 1, 8, 6]
[14, 10, 7, 9, 8]
