P1,P2,...,Pn
[11, 10, 4, 5]
[14, 2, 0, 12]
[10, 12, 8, 9]
[12, 1, 4, 5]
[4, 13, 0, 9]
[5, 4, 14, 13]
[11, 9, 3, 4]
[4, 11, 7, 12]
[6, 14, 10, 1]
[7, 1, 9, 8]
[10, 11, 4, 14]
[8, 11, 2, 12]
[13, 9, 6, 2]
[7, 5, 14, 0]
[3, 14, 7, 12]
[2, 11, 13, 10]
[5, 8, 9, 4]
[6, 2, 5, 0]
[13, 12, 1, 2]
[7, 11, 5, 2]
[12, 6, 11, 1]
[13, 10, 12, 4]
[3, 7, 1, 4]
[3, 9, 14, 11]
[14, 5, 7, 4]
[6, 12, 3, 8]
[1, 10, 2, 11]
[3, 8, 14, 12]
[10, 3, 2, 14]
[0, 11, 10, 9]
[10, 2, 1, 5]
[1, 9, 5, 11]
[12, 10, 5, 14]
[14, 13, 2, 4]
[0, 1, 7, 3]
[7, 11, 13, 3]
[14, 8, 12, 7]
[14, 4, 13, 11]
[7, 3, 9, 10]
[0, 11, 10, 8]
[8, 1, 3, 5]
[1, 7, 2, 3]
[11, 2, 12, 6]
[6, 0, 10, 8]
[2, 0, 5, 1]
[2, 3, 0, 11]
[12, 7, 4, 9]
[5, 11, 12, 6]
[12, 7, 4, 5]
[11, 8, 5, 7]
[9, 14, 3, 1]
[1, 4, 9, 3]
[1, 10, 14, 7]
[4, 7, 0, 2]
[4, 13, 6, 10]
[8, 6, 13, 2]
[2, 11, 12, 4]
[11, 10, 4, 5]
[3, 7, 8, 5]
[2, 14, 10, 5]
[9, 1, 7, 0]
[11, 7, 1, 0]
[12, 7, 4, 13]
[8, 5, 13, 2]
[11, 0, 10, 2]
[14, 1, 9, 2]
[4, 12, 8, 0]
[9, 7, 2, 14]
[2, 7, 12, 10]
[14, 12, 8, 13]
[13, 7, 11, 4]
[11, 2, 1, 4]
[4, 5, 10, 3]
[4, 13, 12, 1]
[5, 4, 11, 1]
[3, 9, 11, 2]
[11, 2, 8, 3]
[5, 10, 13, 12]
[2, 6, 1, 13]
[3, 4, 2, 10]
[0, 9, 6, 10]
[3, 13, 6, 1]
[2, 10, 11, 14]
[8, 11, 6, 10]
[5, 6, 3, 9]
[3, 4, 1, 11]
[9, 6, 2, 0]
[13, 4, 12, 0]
[4, 11, 9, 13]
[5, 10, 2, 4]
[12, 10, 4, 14]
[2, 6, 12, 8]
[1, 10, 0, 7]
[14, 4, 8, 11]
[10, 9, 5, 12]
[0, 2, 8, 4]
[2, 6, 0, 3]
[4, 13, 6, 14]
[12, 7, 1, 13]
[8, 3, 9, 0]
[3, 4, 6, 1]
[8, 4, 6, 5]
[14, 12, 9, 0]
[2, 13, 4, 5]
[1, 7, 9, 5]
