P1,P2,...,Pn
[11, 14, 3, 9]
[11, 1, 14, 9]
[14, 3, 9, 8]
[11, 8, 10, 1]
[10, 3, 7, 11]
[3, 1, 6, 12]
[12, 3, 13, 4]
[0, 3, 2, 9]
[9, 6, 1, 5]
[3, 1, 4, 8]
[10, 14, 13, 1]
[4, 13, 9, 3]
[13, 4, 5, 7]
[5, 13, 8, 14]
[11, 0, 7, 12]
[5, 13, 6, 12]
[7, 6, 9, 0]
[10, 14, 8, 1]
[3, 8, 14, 1]
[5, 1, 3, 6]
[7, 6, 9, 8]
[3, 8, 12, 0]
[14, 12, 5, 9]
[10, 9, 13, 0]
[4, 1, 12, 7]
[3, 2, 8, 14]
[5, 6, 9, 2]
[0, 3, 10, 8]
[3, 10, 8, 6]
[14, 7, 3, 8]
[8, 4, 6, 1]
[2, 0, 4, 12]
[3, 4, 1, 0]
[13, 3, 8, 14]
[14, 8, 11, 2]
[13, 5, 11, 2]
[5, 9, 7, 11]
[5, 12, 9, 7]
[7, 12, 9, 6]
[13, 1, 7, 12]
[11, 5, 4, 2]
[8, 9, 14, 11]
[11, 7, 5, 3]
[7, 10, 12, 8]
[4, 8, 14, 6]
[1, 3, 5, 2]
[12, 0, 5, 7]
[11, 0, 3, 5]
[7, 8, 9, 12]
[12, 14, 1, 6]
[14, 13, 4, 6]
[1, 9, 14, 11]
[4, 10, 7, 0]
[3, 14, 4, 2]
[0, 11, 5, 9]
[5, 11, 10, 0]
[8, 10, 0, 14]
[1, 7, 13, 12]
[11, 5, 9, 14]
[8, 13, 6, 7]
[6, 0, 8, 4]
[3, 14, 10, 1]
[14, 5, 2, 6]
[14, 8, 1, 4]
[8, 12, 6, 1]
[3, 13, 8, 6]
[14, 12, 2, 6]
[11, 5, 10, 2]
[13, 1, 5, 11]
[12, 0, 10, 4]
[13, 7, 0, 5]
[1, 10, 5, 0]
[14, 8, 1, 10]
[8, 5, 12, 9]
[5, 14, 8, 12]
[4, 5, 7, 14]
[6, 13, 2, 8]
[11, 3, 1, 6]
[13, 2, 0, 8]
[2, 4, 6, 1]
[8, 2, 0, 10]
[7, 8, 9, 10]
[1, 10, 9, 5]
[5, 1, 7, 2]
[1, 7, 2, 0]
[5, 10, 14, 9]
[12, 9, 4, 3]
[3, 4, 6, 9]
[4, 7, 1, 10]
[3, 11, 8, 13]
[3, 12, 4, 6]
[4, 8, 6, 7]
[9, 3, 1, 5]
[1, 2, 6, 5]
[0, 8, 2, 1]
[12, 2, 14, 3]
[12, 4, 2, 0]
[0, 3, 8, 9]
[14, 8, 0, 12]
[2, 13, 4, 5]
[2, 0, 8, 7]
[8, 13, 10, 6]
[9, 3, 2, 1]
[8, 3, 4, 2]
[11, 1, 8, 7]
[13, 14, 2, 4]
[8, 13, 14, 5]
[6, 7, 9, 12]
[5, 14, 3, 13]
[4, 12, 3, 2]
[0, 6, 9, 7]
[7, 3, 4, 8]
[1, 0, 3, 10]
[9, 4, 0, 11]
[6, 11, 12, 10]
[2, 1, 6, 0]
[11, 0, 1, 6]
[3, 0, 1, 9]
[6, 12, 0, 8]
[4, 13, 8, 2]
[14, 9, 2, 11]
[13, 11, 5, 4]
[0, 1, 6, 12]
[14, 2, 6, 7]
[0, 14, 13, 7]
[6, 1, 0, 10]
[3, 10, 9, 13]
[7, 4, 6, 3]
[1, 6, 13, 2]
[1, 10, 3, 2]
[14, 7, 9, 3]
[8, 9, 5, 11]
[11, 10, 1, 8]
[11, 6, 5, 1]
[8, 4, 11, 7]
[2, 14, 1, 8]
[11, 5, 0, 9]
[13, 6, 2, 14]
[3, 7, 6, 9]
[11, 13, 12, 3]
[7, 1, 5, 11]
[4, 7, 5, 3]
[5, 9, 3, 8]
[3, 1, 8, 2]
[12, 2, 8, 9]
[0, 11, 14, 12]
[4, 9, 2, 11]
[3, 12, 0, 11]
[10, 4, 8, 2]
[5, 7, 4, 8]
[9, 1, 12, 5]
[10, 3, 6, 9]
[12, 0, 9, 1]
[3, 4, 2, 8]
[1, 0, 3, 13]
[3, 10, 6, 2]
[7, 5, 0, 1]
[6, 11, 2, 12]
[1, 6, 10, 9]
[14, 11, 7, 0]
[7, 10, 11, 9]
[3, 7, 14, 11]
[7, 3, 13, 11]
[9, 8, 0, 6]
[1, 9, 3, 11]
[11, 10, 12, 2]
[2, 12, 6, 7]
[4, 5, 13, 12]
[0, 5, 1, 14]
[10, 11, 4, 9]
[0, 4, 9, 11]
[4, 6, 13, 12]
[11, 3, 13, 10]
[9, 13, 4, 3]
[8, 12, 11, 2]
[13, 3, 2, 4]
[4, 0, 1, 5]
[1, 0, 7, 2]
[13, 5, 6, 14]
[1, 10, 6, 13]
[1, 11, 10, 6]
[10, 7, 9, 4]
[14, 13, 4, 11]
[7, 8, 0, 4]
[6, 2, 0, 12]
[2, 3, 10, 1]
[4, 12, 13, 1]
[12, 11, 8, 0]
[11, 8, 7, 0]
[14, 12, 1, 2]
[2, 1, 8, 10]
[13, 3, 9, 10]
[5, 14, 4, 12]
[13, 9, 3, 0]
[11, 6, 10, 4]
[1, 2, 4, 5]
[4, 3, 2, 14]
[5, 2, 8, 14]
[7, 11, 3, 8]
[1, 4, 3, 0]
[4, 14, 11, 7]
[10, 5, 6, 11]
[3, 9, 7, 10]
[0, 2, 10, 5]
[12, 0, 8, 14]
[6, 13, 10, 3]
[6, 10, 14, 12]
[0, 4, 11, 9]
[10, 6, 4, 2]
[8, 4, 13, 1]
[12, 1, 8, 13]
[8, 2, 10, 6]
[0, 6, 7, 10]
[5, 11, 13, 2]
[7, 12, 0, 1]
[0, 5, 8, 1]
[6, 2, 4, 5]
[2, 12, 6, 1]
[0, 1, 2, 13]
[3, 4, 12, 14]
[13, 7, 3, 0]
[6, 0, 3, 9]
[2, 13, 8, 5]
[4, 8, 13, 9]
[13, 10, 4, 7]
[1, 10, 2, 12]
[6, 10, 12, 8]
[1, 4, 11, 10]
[12, 0, 6, 2]
[13, 14, 8, 0]
[4, 14, 3, 10]
[2, 14, 12, 1]
[3, 2, 14, 11]
[10, 3, 9, 4]
[3, 4, 6, 1]
[8, 7, 2, 3]
[10, 4, 6, 9]
[7, 13, 1, 5]
[11, 6, 14, 8]
[13, 5, 8, 4]
[1, 2, 11, 8]
[2, 6, 4, 14]
[14, 9, 12, 2]
[12, 6, 9, 14]
[13, 7, 3, 8]
