P1,P2,...,Pn
[2, 6, 9, 8]
[9, 3, 12, 13]
[0, 10, 14, 9]
[10, 6, 13, 8]
[11, 9, 10, 6]
[4, 13, 11, 5]
[8, 5, 9, 7]
[5, 8, 10, 13]
[2, 5, 13, 0]
[13, 3, 1, 0]
[1, 12, 10, 14]
[5, 0, 14, 4]
[8, 12, 13, 1]
[5, 10, 7, 2]
[9, 3, 1, 7]
[7, 0, 5, 9]
[7, 4, 3, 13]
[13, 9, 0, 12]
[4, 11, 5, 3]
[7, 12, 8, 5]
[11, 7, 1, 12]
[6, 5, 12, 11]
[5, 6, 4, 11]
[3, 8, 4, 5]
[7, 1, 14, 0]
[10, 14, 2, 4]
[8, 1, 2, 11]
[5, 13, 12, 4]
[12, 1, 14, 5]
[5, 11, 2, 4]
[1, 9, 14, 4]
[9, 4, 12, 6]
[11, 10, 2, 6]
[8, 0, 5, 12]
[14, 8, 11, 5]
[11, 12, 0, 10]
[12, 13, 6, 5]
[0, 14, 11, 10]
[9, 1, 13, 2]
[1, 4, 14, 3]
[11, 3, 5, 9]
[4, 8, 6, 2]
[1, 5, 7, 10]
[9, 1, 10, 6]
[11, 0, 1, 5]
[0, 2, 8, 11]
[8, 4, 7, 2]
[0, 3, 5, 9]
[4, 14, 13, 1]
[7, 5, 4, 3]
[1, 9, 0, 2]
[3, 0, 9, 4]
[10, 12, 7, 6]
[4, 7, 10, 6]
[0, 3, 6, 11]
[11, 7, 9, 12]
[11, 2, 5, 14]
[7, 6, 0, 1]
[3, 14, 2, 9]
[13, 3, 12, 0]
[10, 4, 8, 1]
[3, 4, 5, 2]
[11, 12, 2, 7]
[9, 7, 11, 14]
[6, 8, 5, 10]
[7, 3, 13, 6]
[3, 4, 12, 9]
[7, 9, 11, 3]
[0, 14, 10, 3]
[5, 8, 11, 1]
[0, 2, 3, 11]
[3, 9, 2, 6]
[9, 12, 4, 13]
[1, 3, 13, 8]
[0, 7, 14, 9]
[3, 13, 11, 2]
[2, 7, 14, 10]
[4, 3, 10, 8]
[13, 11, 0, 9]
[4, 1, 3, 6]
[11, 5, 12, 2]
[9, 5, 11, 4]
[8, 6, 11, 10]
[10, 8, 11, 0]
[4, 0, 9, 8]
[1, 3, 9, 2]
[11, 7, 1, 4]
