P1,P2,...,Pn
[9, 1, 10, 8]
[9, 13, 6, 3]
[0, 12, 6, 8]
[14, 3, 13, 0]
[1, 12, 2, 5]
[9, 10, 3, 13]
[6, 8, 11, 14]
[7, 14, 6, 9]
[1, 9, 12, 2]
[10, 14, 12, 7]
[10, 13, 1, 3]
[14, 5, 8, 3]
[13, 9, 8, 5]
[4, 3, 10, 11]
[10, 7, 9, 2]
[13, 5, 12, 8]
[9, 2, 6, 4]
[7, 4, 6, 1]
[12, 14, 5, 11]
[6, 13, 1, 0]
[8, 11, 1, 3]
[0, 3, 9, 1]
[0, 12, 9, 13]
[4, 8, 13, 7]
[6, 13, 7, 0]
[5, 11, 2, 9]
[14, 10, 7, 12]
[6, 0, 11, 7]
[2, 4, 0, 6]
[10, 9, 3, 12]
[13, 14, 1, 2]
[13, 9, 11, 1]
[10, 8, 1, 7]
[1, 6, 3, 13]
[10, 11, 7, 9]
[10, 6, 1, 0]
[14, 13, 12, 5]
[7, 8, 13, 14]
[6, 7, 1, 9]
[14, 9, 4, 7]
[8, 4, 1, 12]
[10, 4, 1, 13]
[10, 5, 7, 13]
[7, 8, 4, 12]
[13, 8, 4, 1]
[5, 8, 3, 13]
[12, 8, 3, 9]
[5, 9, 7, 3]
[13, 14, 3, 12]
[14, 6, 5, 11]
[5, 4, 1, 2]
[7, 3, 10, 14]
[12, 2, 4, 0]
[5, 3, 7, 11]
[11, 4, 6, 9]
[5, 12, 8, 0]
[6, 0, 5, 13]
[1, 7, 0, 4]
[13, 11, 7, 4]
[9, 7, 5, 11]
[4, 5, 9, 0]
[10, 3, 13, 6]
[8, 5, 6, 14]
[3, 8, 6, 0]
[2, 12, 10, 9]
[1, 3, 4, 0]
[10, 3, 2, 5]
[2, 7, 0, 9]
[4, 8, 10, 5]
[2, 9, 0, 13]
[10, 7, 5, 2]
[14, 8, 1, 13]
[8, 6, 1, 11]
[14, 0, 6, 3]
[2, 13, 1, 3]
[12, 5, 7, 10]
[2, 13, 10, 11]
[13, 6, 10, 3]
[12, 11, 3, 9]
[10, 6, 7, 4]
[0, 13, 9, 2]
[1, 8, 4, 13]
[11, 4, 9, 7]
[8, 6, 1, 13]
[1, 10, 9, 11]
[5, 8, 1, 2]
[9, 5, 8, 12]
[14, 13, 1, 5]
[9, 11, 7, 14]
[1, 12, 2, 14]
[3, 2, 8, 7]
[3, 9, 5, 6]
[12, 8, 4, 6]
[5, 2, 10, 4]
[14, 12, 3, 8]
[5, 14, 4, 9]
[14, 11, 0, 7]
[0, 5, 11, 9]
[8, 0, 7, 13]
[7, 14, 0, 10]
[8, 5, 2, 14]
[10, 4, 2, 7]
[13, 1, 6, 10]
[0, 2, 1, 7]
[0, 4, 3, 11]
[6, 3, 2, 7]
[14, 0, 9, 10]
[7, 6, 14, 5]
[5, 8, 14, 1]
[12, 7, 6, 1]
[7, 13, 0, 9]
[0, 14, 2, 10]
[11, 4, 0, 12]
[10, 4, 13, 1]
[12, 6, 2, 10]
[2, 4, 1, 8]
[0, 9, 3, 10]
[13, 5, 3, 7]
[9, 8, 6, 14]
[0, 8, 4, 14]
[0, 1, 9, 2]
[2, 14, 12, 3]
[2, 5, 8, 13]
[13, 3, 9, 1]
[1, 2, 10, 13]
[9, 14, 11, 5]
[8, 11, 6, 4]
[8, 7, 10, 9]
[5, 0, 3, 8]
[10, 6, 14, 1]
[13, 2, 11, 0]
[11, 2, 0, 3]
[5, 14, 9, 2]
[10, 5, 0, 2]
[11, 2, 9, 4]
[8, 7, 14, 9]
[1, 14, 3, 6]
[1, 3, 11, 0]
[3, 12, 7, 4]
[7, 2, 13, 1]
[5, 11, 0, 12]
[10, 11, 14, 12]
[12, 4, 9, 8]
[10, 12, 11, 14]
[7, 0, 12, 9]
[8, 6, 12, 1]
[5, 11, 6, 13]
[8, 3, 5, 10]
[6, 9, 12, 5]
[12, 4, 14, 5]
[10, 8, 12, 7]
[4, 0, 14, 6]
[4, 3, 11, 2]
[0, 4, 9, 12]
[6, 14, 0, 3]
[1, 12, 4, 14]
[12, 4, 3, 1]
[12, 14, 9, 11]
[14, 3, 8, 11]
[11, 0, 6, 2]
[10, 11, 12, 13]
[14, 0, 8, 4]
[13, 11, 3, 8]
[7, 5, 8, 3]
[11, 0, 5, 2]
[4, 0, 6, 9]
[7, 14, 13, 10]
[8, 3, 6, 7]
[5, 11, 6, 3]
[1, 4, 14, 5]
[9, 5, 13, 1]
[7, 3, 5, 10]
[3, 9, 13, 11]
[9, 4, 0, 14]
[13, 11, 5, 14]
[7, 6, 0, 3]
[5, 9, 1, 6]
[5, 2, 1, 4]
[12, 14, 7, 6]
[6, 13, 10, 9]
[3, 10, 11, 8]
[1, 14, 11, 6]
[3, 11, 5, 9]
[0, 5, 9, 6]
[4, 1, 14, 0]
[6, 7, 4, 8]
[6, 1, 5, 13]
[9, 11, 13, 14]
[5, 7, 2, 13]
[1, 0, 3, 6]
[3, 8, 5, 10]
[7, 2, 3, 5]
[4, 7, 3, 12]
[0, 7, 8, 12]
[5, 3, 2, 11]
[14, 3, 7, 8]
[5, 3, 13, 0]
[6, 11, 1, 12]
[9, 10, 13, 5]
[4, 5, 12, 2]
[7, 0, 5, 12]
[11, 1, 4, 7]
[5, 9, 3, 6]
[10, 1, 7, 9]
[6, 13, 7, 8]
[11, 9, 3, 0]
[5, 0, 14, 7]
[9, 7, 8, 5]
[0, 8, 10, 7]
[0, 2, 11, 7]
[12, 0, 8, 13]
[6, 0, 4, 2]
[3, 13, 9, 8]
[9, 5, 7, 1]
[6, 12, 3, 9]
[14, 11, 5, 13]
[11, 7, 2, 3]
[5, 8, 1, 9]
[12, 13, 10, 11]
[8, 10, 5, 12]
[10, 11, 6, 14]
[12, 2, 5, 14]
[12, 3, 8, 5]
[6, 2, 1, 11]
[1, 10, 5, 4]
[1, 7, 10, 6]
[9, 5, 3, 1]
[2, 6, 1, 0]
[0, 1, 10, 13]
[5, 0, 9, 1]
[12, 4, 13, 1]
[1, 14, 6, 12]
[4, 14, 8, 7]
[0, 6, 14, 9]
[0, 13, 11, 8]
[1, 6, 11, 0]
[9, 1, 6, 2]
[8, 7, 5, 2]
[12, 11, 8, 4]
[3, 10, 11, 8]
[2, 1, 9, 8]
[2, 9, 4, 10]
[11, 1, 0, 2]
[13, 10, 5, 1]
[5, 13, 1, 11]
[4, 8, 9, 1]
[7, 11, 4, 5]
[3, 13, 0, 12]
[0, 2, 11, 8]
[10, 0, 4, 9]
[4, 9, 7, 14]
[13, 14, 10, 5]
[5, 14, 7, 6]
[11, 2, 4, 9]
[4, 2, 5, 7]
[1, 12, 6, 14]
[12, 3, 10, 6]
[4, 5, 14, 13]
[7, 9, 1, 4]
[14, 0, 8, 12]
[13, 10, 9, 8]
[0, 14, 4, 3]
[5, 10, 13, 14]
[3, 12, 8, 7]
[9, 6, 11, 12]
[3, 11, 2, 10]
[11, 12, 7, 5]
[10, 11, 2, 6]
[13, 9, 10, 8]
[12, 7, 13, 0]
[7, 2, 8, 10]
[11, 6, 1, 5]
[1, 8, 9, 10]
[7, 2, 9, 8]
[5, 13, 2, 14]
[8, 12, 11, 6]
[8, 2, 7, 6]
[1, 13, 8, 12]
