P1,P2,...,Pn
[13, 0, 11, 4, 2]
[4, 9, 13, 11, 2]
[8, 14, 13, 10, 3]
[10, 8, 4, 3, 11]
[8, 5, 0, 14, 7]
[3, 13, 12, 14, 2]
[12, 13, 0, 4, 8]
[1, 8, 13, 14, 7]
[3, 7, 6, 14, 9]
[2, 14, 7, 9, 4]
[13, 2, 8, 1, 14]
[7, 0, 2, 4, 8]
[4, 11, 13, 3, 7]
[11, 10, 6, 14, 5]
[14, 2, 4, 8, 0]
[14, 0, 6, 11, 9]
[13, 11, 2, 14, 1]
[0, 12, 7, 9, 2]
[7, 0, 5, 4, 12]
[10, 1, 2, 0, 5]
[1, 13, 10, 0, 8]
[6, 13, 4, 8, 10]
[4, 0, 8, 13, 2]
[8, 7, 2, 3, 5]
[8, 9, 4, 10, 3]
[7, 8, 4, 3, 2]
[5, 4, 11, 10, 12]
[1, 11, 7, 3, 2]
[7, 9, 5, 12, 10]
[8, 11, 14, 6, 0]
[2, 1, 7, 3, 14]
[6, 2, 3, 13, 12]
[10, 8, 7, 13, 5]
[2, 3, 4, 6, 9]
[14, 4, 7, 12, 13]
[2, 11, 5, 4, 9]
[8, 1, 13, 11, 4]
[13, 11, 10, 6, 9]
[7, 5, 6, 9, 1]
[5, 11, 1, 6, 7]
[12, 14, 3, 9, 5]
[4, 5, 7, 2, 0]
[0, 3, 5, 12, 7]
[11, 14, 12, 0, 6]
[8, 4, 1, 9, 7]
[13, 14, 10, 9, 11]
[2, 10, 9, 3, 11]
[0, 9, 10, 4, 11]
[0, 11, 5, 6, 3]
[10, 13, 4, 8, 0]
[4, 13, 10, 11, 14]
[11, 7, 1, 9, 14]
[10, 1, 9, 12, 11]
[13, 10, 4, 0, 7]
[1, 14, 5, 0, 13]
[4, 11, 12, 1, 5]
[4, 7, 0, 11, 14]
[7, 8, 6, 2, 10]
[7, 9, 4, 2, 8]
[2, 6, 7, 11, 1]
[11, 10, 6, 8, 9]
[1, 2, 10, 9, 4]
[0, 5, 11, 2, 13]
[14, 9, 4, 2, 6]
[9, 11, 5, 7, 2]
[0, 1, 11, 6, 14]
[10, 13, 6, 0, 14]
[10, 11, 4, 3, 13]
[2, 9, 3, 13, 4]
[7, 11, 13, 8, 9]
[0, 8, 5, 2, 11]
[2, 13, 1, 9, 8]
[7, 8, 9, 4, 1]
[11, 5, 3, 13, 1]
[14, 10, 3, 13, 7]
[9, 3, 10, 7, 6]
[10, 12, 7, 13, 2]
[4, 5, 6, 10, 1]
[3, 5, 2, 4, 0]
[13, 0, 9, 7, 4]
[13, 2, 12, 7, 14]
[4, 1, 9, 0, 5]
[14, 9, 13, 3, 11]
[7, 14, 12, 10, 5]
[0, 13, 5, 7, 9]
[3, 1, 10, 8, 4]
[0, 9, 4, 1, 5]
[14, 0, 5, 13, 7]
[3, 11, 1, 7, 8]
[8, 0, 3, 7, 12]
[3, 14, 2, 0, 9]
[6, 13, 12, 4, 0]
[14, 12, 1, 9, 5]
[12, 3, 5, 11, 6]
[10, 2, 7, 13, 1]
[5, 1, 4, 9, 7]
[3, 9, 1, 0, 4]
[7, 2, 1, 0, 14]
[3, 9, 8, 6, 10]
[14, 4, 11, 0, 10]
[0, 6, 2, 14, 12]
[12, 0, 11, 7, 9]
[10, 2, 13, 4, 0]
[11, 2, 1, 9, 8]
[11, 7, 3, 0, 12]
[8, 11, 1, 5, 2]
[7, 10, 14, 6, 4]
[3, 11, 1, 13, 9]
[1, 4, 8, 0, 2]
[4, 11, 2, 5, 10]
[12, 3, 10, 5, 9]
[11, 9, 7, 0, 2]
[10, 12, 9, 1, 2]
[2, 12, 14, 6, 9]
[1, 13, 10, 8, 0]
[1, 13, 6, 2, 14]
[13, 11, 6, 1, 12]
[10, 6, 12, 8, 9]
[10, 9, 14, 6, 3]
[1, 9, 13, 3, 7]
[0, 5, 13, 4, 8]
[9, 5, 12, 4, 6]
[13, 9, 11, 5, 4]
[13, 0, 11, 14, 10]
[4, 8, 3, 0, 14]
[8, 7, 2, 14, 13]
[9, 2, 11, 13, 12]
[4, 9, 8, 3, 11]
[10, 12, 2, 4, 9]
[5, 1, 11, 0, 14]
[7, 12, 2, 11, 1]
[6, 3, 2, 0, 9]
[2, 6, 4, 9, 12]
[11, 8, 12, 13, 3]
[5, 6, 8, 11, 10]
[4, 13, 9, 3, 1]
[7, 4, 0, 1, 5]
[8, 10, 14, 13, 12]
[13, 4, 12, 1, 14]
[10, 11, 3, 6, 12]
