P1,P2,...,Pn
[3, 10, 8, 9]
[9, 8, 2, 13]
[3, 1, 7, 11]
[10, 6, 8, 11]
[7, 12, 9, 3]
[0, 4, 10, 6]
[14, 13, 1, 5]
[9, 13, 4, 8]
[2, 1, 9, 3]
[6, 7, 13, 8]
[3, 6, 12, 13]
[6, 7, 3, 13]
[13, 5, 9, 4]
[5, 7, 10, 14]
[1, 3, 14, 2]
[13, 6, 14, 2]
[12, 3, 9, 2]
[4, 5, 11, 8]
[5, 7, 11, 4]
[1, 13, 9, 7]
[7, 12, 13, 8]
[7, 9, 13, 0]
[7, 3, 1, 9]
[12, 3, 14, 13]
[11, 0, 12, 9]
[9, 10, 11, 7]
[5, 14, 8, 12]
[13, 9, 14, 12]
[7, 14, 6, 0]
[14, 10, 5, 9]
[7, 10, 8, 0]
[11, 10, 0, 1]
[9, 6, 7, 3]
[0, 5, 2, 7]
[3, 13, 2, 12]
[0, 10, 4, 14]
[3, 8, 7, 1]
[1, 4, 14, 13]
[4, 14, 7, 9]
[2, 8, 12, 11]
[9, 12, 8, 3]
[13, 14, 4, 5]
[0, 2, 8, 10]
[2, 7, 9, 4]
[11, 3, 0, 14]
[7, 4, 12, 9]
[2, 13, 9, 1]
[9, 6, 3, 12]
[12, 5, 14, 7]
[4, 10, 7, 11]
[10, 6, 14, 4]
[8, 7, 3, 2]
[9, 10, 13, 7]
[7, 2, 14, 10]
[10, 5, 0, 13]
[5, 3, 8, 7]
[2, 8, 10, 11]
[6, 11, 2, 14]
[7, 3, 2, 0]
[8, 11, 5, 0]
[7, 11, 8, 10]
[8, 11, 2, 12]
[9, 8, 2, 5]
[8, 5, 13, 14]
[4, 6, 2, 8]
[9, 7, 10, 5]
[9, 10, 3, 14]
[6, 13, 1, 8]
[8, 5, 9, 7]
[13, 5, 9, 10]
[11, 9, 3, 2]
[14, 7, 11, 2]
[5, 7, 4, 9]
[9, 11, 5, 6]
[4, 3, 10, 5]
[4, 1, 12, 14]
[9, 12, 6, 3]
[1, 5, 10, 3]
[7, 2, 6, 5]
[12, 10, 6, 1]
[7, 1, 14, 0]
[14, 0, 6, 7]
[11, 12, 8, 10]
[9, 13, 3, 1]
[12, 4, 1, 7]
[14, 5, 10, 2]
[7, 5, 1, 2]
[3, 1, 0, 11]
[2, 6, 8, 13]
[12, 6, 3, 8]
[9, 2, 5, 8]
[11, 7, 8, 5]
[7, 14, 13, 5]
[13, 8, 9, 12]
[7, 8, 10, 11]
[8, 14, 5, 1]
[9, 6, 12, 8]
[6, 4, 9, 5]
[9, 7, 14, 5]
[11, 10, 9, 8]
[14, 0, 4, 3]
[12, 14, 8, 11]
[3, 0, 5, 12]
[1, 4, 0, 13]
[9, 5, 3, 2]
[2, 14, 12, 1]
[12, 6, 8, 13]
[6, 0, 8, 2]
[7, 6, 13, 9]
[14, 7, 8, 11]
[0, 13, 7, 10]
[13, 8, 4, 7]
[4, 9, 7, 11]
[0, 12, 11, 14]
[8, 7, 4, 13]
[9, 3, 11, 0]
[2, 13, 14, 5]
[5, 10, 0, 9]
[7, 14, 13, 0]
[1, 14, 6, 9]
[3, 11, 12, 1]
[7, 3, 10, 2]
[14, 6, 12, 7]
[4, 9, 14, 10]
[2, 14, 0, 1]
[2, 5, 7, 8]
[4, 0, 5, 8]
