P1,P2,...,Pn
[12, 3, 11, 1, 9]
[0, 7, 11, 14, 10]
[4, 6, 12, 3, 10]
[3, 4, 9, 6, 5]
[1, 14, 0, 4, 13]
[11, 3, 8, 7, 13]
[1, 14, 13, 2, 5]
[3, 2, 8, 4, 1]
[11, 14, 7, 5, 0]
[7, 5, 0, 14, 1]
[9, 10, 2, 14, 11]
[12, 10, 14, 2, 11]
[11, 6, 4, 9, 14]
[3, 0, 11, 4, 5]
[2, 14, 9, 10, 6]
[11, 3, 13, 0, 1]
[5, 1, 3, 8, 14]
[10, 3, 5, 8, 1]
[3, 4, 14, 12, 9]
[1, 4, 3, 10, 7]
[9, 5, 3, 4, 1]
[10, 13, 7, 2, 1]
[0, 3, 5, 14, 10]
[10, 0, 12, 2, 1]
[11, 10, 8, 3, 5]
[0, 8, 5, 7, 6]
[5, 10, 3, 11, 13]
[4, 14, 7, 10, 8]
[11, 0, 6, 5, 9]
[3, 5, 8, 10, 2]
[3, 13, 11, 7, 5]
[7, 0, 3, 4, 10]
[5, 1, 14, 11, 8]
[6, 10, 0, 12, 4]
[13, 1, 8, 6, 9]
[9, 3, 10, 12, 8]
[4, 0, 12, 6, 3]
[4, 0, 12, 5, 13]
[4, 11, 9, 5, 7]
[5, 13, 6, 3, 9]
[1, 6, 14, 3, 11]
[0, 12, 14, 7, 8]
[7, 5, 12, 8, 10]
[10, 11, 9, 8, 12]
[10, 14, 5, 4, 12]
[12, 8, 14, 7, 13]
[2, 5, 10, 12, 1]
[4, 2, 3, 12, 5]
[13, 12, 11, 8, 1]
[10, 1, 12, 5, 7]
[2, 6, 11, 9, 8]
[10, 6, 11, 13, 7]
[4, 9, 14, 0, 10]
[7, 4, 8, 9, 13]
[8, 5, 7, 6, 4]
[12, 14, 11, 13, 8]
[2, 6, 7, 0, 13]
[4, 14, 0, 8, 7]
[9, 10, 6, 7, 11]
[6, 0, 12, 11, 1]
[9, 13, 1, 2, 7]
[2, 0, 4, 8, 14]
[3, 8, 6, 1, 7]
[13, 14, 4, 2, 12]
[3, 5, 0, 7, 12]
[0, 9, 14, 2, 6]
[9, 12, 8, 7, 6]
[7, 5, 9, 10, 14]
[14, 4, 7, 1, 0]
[11, 7, 3, 10, 13]
[6, 4, 1, 7, 12]
[11, 1, 8, 14, 12]
[9, 2, 7, 4, 8]
[11, 7, 12, 14, 2]
[9, 14, 3, 2, 10]
[6, 11, 3, 13, 7]
[13, 5, 3, 14, 4]
[0, 3, 5, 1, 8]
[0, 13, 5, 7, 2]
[1, 11, 8, 6, 13]
[12, 13, 1, 11, 9]
[5, 1, 0, 4, 11]
[10, 3, 2, 5, 9]
[3, 12, 6, 9, 14]
[11, 13, 1, 7, 3]
[3, 4, 5, 14, 0]
[13, 6, 7, 9, 3]
[9, 4, 7, 10, 5]
[11, 1, 4, 0, 10]
[1, 5, 4, 10, 8]
[5, 3, 6, 2, 11]
[12, 11, 1, 3, 4]
[6, 2, 5, 9, 0]
[1, 8, 7, 10, 13]
[12, 1, 4, 5, 7]
[3, 14, 2, 9, 7]
[9, 13, 4, 8, 6]
[8, 7, 12, 1, 10]
[2, 1, 6, 14, 12]
[4, 2, 6, 14, 13]
[1, 6, 14, 10, 8]
[9, 6, 3, 8, 5]
[11, 4, 9, 2, 14]
[10, 11, 9, 6, 4]
[0, 4, 6, 14, 11]
[5, 12, 7, 6, 8]
[4, 13, 6, 12, 7]
[9, 8, 4, 0, 5]
[5, 12, 3, 7, 11]
[9, 8, 10, 11, 4]
[12, 2, 10, 3, 9]
[10, 0, 9, 8, 14]
[4, 10, 11, 9, 7]
[3, 2, 7, 5, 12]
[8, 11, 10, 4, 7]
[1, 9, 7, 4, 12]
[9, 6, 11, 4, 2]
[11, 8, 5, 2, 14]
[0, 8, 7, 2, 3]
[9, 3, 7, 13, 14]
[5, 11, 3, 8, 12]
[13, 0, 11, 8, 4]
[9, 4, 8, 7, 11]
[7, 8, 6, 14, 1]
[3, 5, 11, 8, 1]
[2, 9, 7, 13, 3]
[11, 4, 14, 8, 7]
[13, 9, 0, 11, 12]
[4, 1, 8, 12, 3]
[14, 5, 0, 12, 6]
[6, 0, 8, 12, 10]
[0, 5, 11, 6, 1]
[12, 13, 14, 5, 4]
[14, 4, 11, 7, 1]
[7, 13, 8, 5, 10]
[12, 9, 2, 4, 10]
[7, 8, 14, 3, 2]
[7, 14, 4, 5, 6]
[5, 12, 6, 14, 11]
[8, 2, 3, 1, 6]
[2, 6, 0, 7, 11]
[5, 3, 7, 2, 9]
[8, 3, 2, 7, 4]
[3, 1, 11, 10, 0]
[12, 11, 10, 7, 14]
[8, 0, 14, 13, 4]
[0, 9, 10, 5, 11]
[5, 4, 12, 10, 0]
[8, 4, 11, 10, 5]
[4, 13, 6, 11, 8]
[1, 10, 7, 14, 2]
[3, 0, 10, 12, 6]
[3, 0, 14, 5, 10]
[1, 5, 3, 13, 14]
[4, 6, 11, 13, 5]
[0, 1, 7, 3, 10]
[12, 9, 14, 7, 1]
[8, 0, 9, 3, 10]
[3, 8, 6, 12, 7]
[6, 10, 12, 8, 7]
[0, 11, 12, 10, 6]
[0, 9, 14, 2, 12]
[3, 0, 13, 4, 12]
[12, 13, 5, 9, 10]
[11, 6, 3, 13, 9]
[14, 3, 7, 0, 12]
[12, 11, 3, 4, 2]
[4, 2, 14, 12, 10]
[9, 6, 8, 10, 5]
[7, 1, 6, 13, 10]
[6, 2, 1, 5, 3]
[4, 13, 11, 1, 10]
[7, 14, 0, 11, 8]
[14, 6, 0, 1, 4]
[12, 0, 2, 7, 4]
[10, 3, 5, 12, 0]
[12, 11, 10, 5, 1]
[1, 8, 7, 14, 4]
[9, 2, 10, 7, 0]
[12, 6, 9, 2, 5]
[3, 10, 6, 14, 13]
[7, 12, 0, 6, 13]
[4, 5, 1, 8, 2]
[7, 9, 2, 1, 14]
[8, 11, 5, 2, 10]
[8, 7, 1, 4, 10]
[4, 14, 1, 12, 3]
[4, 14, 13, 6, 8]
