P1,P2,...,Pn
[13, 1, 4, 12]
[10, 1, 12, 8]
[6, 7, 5, 9]
[3, 0, 2, 6]
[12, 13, 3, 14]
[3, 2, 13, 9]
[2, 1, 12, 9]
[4, 12, 1, 5]
[6, 11, 12, 14]
[5, 8, 1, 2]
[8, 11, 0, 12]
[8, 7, 6, 10]
[3, 0, 11, 8]
[3, 12, 9, 7]
[1, 7, 12, 11]
[5, 4, 2, 0]
[4, 9, 8, 13]
[9, 5, 11, 6]
[7, 5, 14, 0]
[6, 0, 2, 7]
[4, 2, 9, 6]
[6, 1, 13, 0]
[11, 10, 12, 4]
[7, 6, 4, 1]
[0, 6, 10, 3]
[2, 5, 10, 0]
[13, 12, 8, 4]
[10, 7, 1, 4]
[1, 7, 6, 3]
[13, 10, 5, 12]
[12, 10, 0, 6]
[13, 6, 8, 0]
[8, 7, 9, 2]
[5, 11, 3, 4]
[6, 2, 3, 9]
[2, 11, 3, 8]
[1, 0, 13, 2]
[11, 8, 13, 0]
[14, 8, 6, 13]
[1, 5, 4, 0]
[3, 6, 2, 11]
[10, 12, 0, 13]
[7, 0, 10, 2]
[0, 5, 7, 6]
[7, 11, 0, 2]
[10, 5, 14, 8]
[13, 1, 0, 2]
[12, 13, 9, 3]
[5, 7, 1, 14]
[3, 10, 13, 4]
[14, 4, 12, 5]
[13, 5, 1, 0]
[10, 7, 8, 13]
[13, 14, 5, 0]
[0, 10, 4, 7]
[12, 5, 6, 14]
[11, 13, 2, 12]
[8, 14, 6, 0]
[5, 3, 10, 6]
[6, 12, 8, 1]
[12, 5, 7, 13]
[10, 7, 9, 2]
[1, 0, 6, 7]
[10, 7, 0, 13]
[4, 6, 5, 0]
[0, 12, 4, 14]
[9, 11, 8, 6]
[11, 0, 8, 10]
[11, 12, 14, 10]
[4, 10, 7, 6]
[11, 13, 4, 10]
[5, 4, 10, 6]
[2, 14, 7, 4]
[12, 8, 3, 4]
[10, 6, 14, 9]
[5, 11, 9, 7]
[14, 11, 9, 8]
[1, 6, 12, 3]
[2, 13, 11, 14]
[14, 10, 3, 11]
[1, 2, 13, 8]
[6, 13, 8, 5]
[1, 8, 5, 10]
[0, 12, 6, 13]
[9, 12, 2, 10]
[14, 2, 3, 9]
[1, 10, 6, 0]
[5, 7, 6, 14]
[12, 4, 0, 3]
[3, 2, 13, 1]
[13, 11, 7, 2]
[12, 9, 11, 10]
[5, 0, 3, 1]
[5, 14, 1, 8]
[13, 12, 2, 8]
[9, 13, 14, 1]
[9, 14, 13, 4]
[9, 10, 5, 8]
[11, 12, 4, 3]
[4, 14, 6, 8]
[3, 12, 1, 5]
[0, 2, 5, 3]
[9, 0, 10, 3]
[1, 8, 11, 6]
[5, 0, 14, 6]
[13, 12, 5, 4]
[8, 14, 12, 9]
[14, 11, 4, 3]
[5, 0, 13, 9]
[1, 7, 4, 6]
[3, 1, 2, 13]
[11, 12, 9, 2]
[6, 3, 0, 1]
[12, 4, 7, 3]
[10, 6, 2, 1]
[1, 2, 9, 14]
[7, 6, 13, 14]
[4, 0, 1, 8]
[11, 12, 10, 7]
[1, 3, 5, 11]
[13, 9, 5, 12]
[11, 14, 4, 3]
[13, 4, 14, 0]
[8, 10, 12, 13]
[4, 0, 3, 11]
[8, 1, 0, 4]
[7, 5, 6, 14]
[14, 13, 3, 4]
[5, 8, 9, 4]
[10, 6, 2, 12]
[11, 10, 1, 6]
[10, 14, 2, 3]
[8, 11, 4, 5]
[12, 14, 13, 10]
[13, 11, 6, 4]
[11, 1, 10, 9]
[5, 13, 14, 3]
[2, 6, 11, 1]
