P1,P2,...,Pn
[0, 4, 13, 14, 11]
[1, 10, 11, 2, 5]
[3, 8, 9, 12, 0]
[13, 7, 14, 9, 0]
[0, 1, 13, 5, 4]
[11, 13, 12, 10, 1]
[8, 5, 7, 10, 13]
[0, 13, 14, 10, 4]
[8, 7, 2, 6, 3]
[8, 1, 3, 11, 13]
[13, 9, 8, 0, 2]
[0, 5, 3, 6, 1]
[7, 10, 9, 1, 4]
[5, 4, 10, 1, 8]
[6, 12, 4, 13, 11]
[10, 14, 12, 8, 9]
[0, 7, 13, 12, 4]
[0, 11, 4, 5, 6]
[12, 7, 3, 11, 1]
[3, 8, 5, 11, 2]
[4, 0, 2, 1, 6]
[3, 0, 1, 12, 11]
[0, 11, 8, 2, 3]
[9, 3, 12, 6, 11]
[12, 1, 4, 0, 10]
[0, 12, 10, 2, 1]
[5, 11, 8, 9, 0]
[1, 5, 8, 14, 7]
[11, 7, 0, 5, 4]
[12, 4, 9, 14, 11]
[6, 7, 1, 3, 10]
[9, 13, 3, 11, 4]
[13, 5, 0, 7, 8]
[4, 1, 8, 12, 9]
[11, 10, 5, 6, 3]
[12, 0, 2, 8, 13]
[14, 1, 12, 7, 2]
[2, 10, 7, 11, 3]
[3, 4, 13, 14, 12]
[12, 10, 4, 11, 0]
[8, 3, 12, 14, 11]
[14, 2, 4, 6, 7]
[4, 11, 12, 6, 7]
[4, 3, 12, 10, 11]
[14, 5, 8, 9, 2]
[10, 12, 6, 1, 5]
[2, 7, 14, 4, 1]
[11, 10, 7, 9, 2]
[13, 6, 0, 11, 4]
[4, 0, 5, 1, 6]
[6, 4, 11, 7, 13]
[7, 1, 12, 6, 13]
[2, 9, 14, 12, 0]
[5, 14, 0, 3, 10]
[0, 3, 9, 10, 13]
[0, 3, 12, 10, 1]
[0, 2, 4, 10, 13]
[8, 1, 0, 4, 3]
[8, 6, 4, 7, 12]
[6, 9, 8, 12, 10]
[14, 5, 3, 6, 9]
[11, 0, 8, 9, 13]
[10, 11, 14, 2, 13]
[14, 4, 0, 13, 6]
[12, 2, 7, 14, 0]
[14, 8, 7, 5, 4]
[8, 2, 14, 7, 3]
[13, 5, 3, 0, 6]
[6, 13, 3, 1, 9]
[4, 3, 7, 1, 6]
[10, 9, 6, 0, 11]
[7, 6, 8, 11, 9]
[6, 7, 1, 13, 5]
[6, 4, 9, 3, 13]
[13, 14, 4, 6, 3]
[3, 7, 6, 10, 1]
[2, 8, 13, 10, 7]
[5, 1, 13, 0, 3]
[0, 7, 3, 6, 10]
[9, 11, 5, 4, 6]
[7, 9, 4, 1, 10]
[9, 7, 2, 11, 6]
[2, 9, 11, 1, 12]
[6, 10, 7, 0, 3]
[5, 13, 0, 7, 4]
[12, 14, 0, 6, 2]
[5, 10, 6, 8, 11]
[11, 7, 4, 10, 5]
[11, 2, 8, 10, 1]
[0, 12, 9, 1, 2]
[6, 5, 4, 9, 10]
[0, 13, 12, 14, 5]
[0, 14, 6, 12, 9]
[11, 7, 6, 1, 3]
[8, 0, 1, 5, 13]
[7, 13, 1, 0, 3]
[14, 3, 5, 12, 7]
[3, 4, 7, 6, 5]
[13, 5, 10, 12, 2]
[0, 8, 5, 10, 13]
[12, 3, 8, 10, 1]
[7, 5, 4, 13, 14]
[5, 11, 9, 6, 13]
[0, 5, 3, 11, 1]
[0, 6, 12, 4, 13]
[0, 8, 5, 1, 6]
[6, 4, 2, 11, 9]
[5, 7, 4, 10, 14]
[13, 14, 9, 11, 8]
[14, 8, 0, 3, 6]
[7, 4, 3, 2, 11]
[12, 5, 2, 13, 10]
[7, 4, 13, 6, 9]
[13, 6, 7, 1, 3]
[14, 11, 2, 8, 3]
[3, 5, 11, 9, 4]
[9, 0, 11, 7, 13]
[4, 0, 14, 13, 10]
[12, 0, 9, 11, 14]
[10, 5, 0, 11, 6]
[7, 11, 5, 0, 8]
[1, 6, 13, 0, 5]
[5, 1, 6, 3, 12]
[12, 1, 10, 11, 9]
[1, 9, 4, 11, 7]
[11, 9, 10, 5, 6]
[13, 3, 14, 5, 8]
[8, 5, 3, 1, 4]
[12, 7, 5, 8, 6]
[7, 6, 14, 10, 5]
[12, 8, 5, 3, 14]
[9, 3, 7, 4, 0]
[2, 7, 3, 5, 6]
[14, 0, 8, 5, 12]
[4, 11, 1, 5, 8]
[10, 12, 4, 9, 8]
[12, 10, 1, 2, 0]
[5, 13, 6, 12, 4]
[5, 13, 1, 0, 6]
[5, 13, 8, 9, 6]
[6, 13, 14, 2, 3]
[8, 6, 3, 14, 2]
[0, 1, 11, 4, 10]
[6, 4, 14, 11, 7]
[4, 11, 10, 14, 3]
[0, 8, 6, 12, 11]
[5, 14, 2, 9, 0]
[14, 13, 0, 7, 10]
[6, 5, 3, 4, 11]
[4, 5, 14, 7, 13]
[10, 14, 1, 8, 12]
[1, 13, 10, 4, 14]
[7, 2, 5, 6, 8]
[4, 11, 6, 9, 2]
[7, 8, 14, 11, 0]
[7, 10, 8, 0, 9]
[2, 3, 4, 13, 0]
[0, 2, 4, 10, 13]
[14, 3, 1, 12, 0]
[9, 0, 1, 12, 11]
[12, 1, 14, 5, 0]
[13, 0, 3, 8, 2]
[10, 6, 2, 11, 14]
[8, 2, 9, 6, 14]
[14, 3, 9, 13, 8]
[2, 0, 8, 9, 7]
[14, 0, 4, 2, 10]
[6, 0, 5, 10, 3]
[6, 7, 5, 8, 2]
[5, 14, 12, 1, 7]
[9, 0, 8, 1, 12]
[4, 7, 6, 14, 10]
[11, 0, 13, 4, 12]
[0, 6, 5, 11, 7]
[8, 14, 10, 0, 4]
[12, 8, 9, 7, 6]
[6, 0, 8, 5, 9]
[9, 12, 10, 7, 5]
[3, 4, 9, 11, 1]
[3, 6, 4, 5, 1]
[12, 5, 1, 4, 11]
[3, 0, 5, 8, 9]
[11, 10, 6, 14, 13]
[9, 2, 12, 3, 6]
[0, 9, 8, 3, 2]
[10, 14, 6, 13, 12]
[14, 12, 3, 0, 5]
[6, 1, 13, 10, 12]
[1, 6, 10, 9, 4]
[4, 10, 7, 0, 5]
[10, 11, 9, 1, 6]
[2, 0, 8, 5, 6]
[8, 11, 14, 1, 13]
[11, 1, 2, 7, 3]
[1, 10, 3, 6, 5]
[0, 1, 8, 5, 2]
[2, 9, 14, 0, 3]
[13, 11, 10, 2, 14]
[12, 3, 0, 1, 11]
[4, 2, 3, 0, 1]
[9, 3, 13, 1, 12]
[6, 4, 5, 10, 11]
[2, 10, 7, 0, 13]
[12, 11, 9, 8, 1]
[1, 7, 13, 5, 2]
[3, 4, 12, 1, 9]
[13, 14, 11, 5, 2]
[13, 10, 5, 0, 3]
[2, 14, 5, 3, 1]
[5, 7, 10, 12, 4]
[13, 8, 5, 1, 0]
[1, 12, 14, 9, 6]
[10, 11, 1, 5, 2]
[6, 11, 12, 13, 2]
[11, 9, 1, 13, 5]
