P1,P2,...,Pn
[7, 1, 9, 13, 3]
[4, 12, 10, 7, 1]
[10, 9, 4, 2, 3]
[5, 10, 3, 14, 11]
[1, 13, 5, 14, 10]
[14, 6, 12, 9, 10]
[10, 0, 5, 7, 8]
[13, 14, 12, 0, 9]
[13, 0, 3, 6, 14]
[0, 11, 5, 10, 3]
[11, 14, 6, 3, 0]
[2, 5, 12, 7, 4]
[6, 7, 8, 9, 14]
[4, 13, 8, 5, 0]
[7, 3, 13, 12, 5]
[2, 12, 9, 0, 1]
[3, 7, 14, 13, 2]
[11, 4, 14, 5, 6]
[14, 1, 6, 12, 13]
[1, 7, 5, 4, 9]
[6, 14, 8, 3, 5]
[4, 1, 12, 10, 9]
[7, 9, 13, 12, 3]
[3, 0, 8, 2, 12]
[2, 3, 13, 5, 8]
[5, 8, 11, 4, 7]
[11, 14, 5, 10, 3]
[2, 12, 6, 3, 4]
[12, 10, 1, 6, 7]
[1, 9, 6, 4, 7]
[12, 0, 11, 3, 9]
[7, 6, 3, 0, 1]
[6, 11, 3, 10, 8]
[4, 6, 11, 10, 8]
[11, 12, 9, 8, 14]
[0, 14, 6, 2, 10]
[11, 10, 6, 0, 4]
[4, 8, 7, 12, 9]
[0, 14, 7, 5, 12]
[12, 13, 2, 7, 14]
[4, 0, 2, 3, 13]
[10, 12, 1, 2, 0]
[4, 5, 14, 11, 6]
[2, 12, 5, 13, 7]
[11, 1, 2, 8, 7]
[14, 0, 11, 13, 9]
[6, 4, 14, 1, 7]
[13, 8, 5, 14, 6]
[3, 10, 2, 11, 13]
[0, 3, 1, 9, 6]
[7, 13, 9, 8, 12]
[0, 13, 14, 2, 12]
[6, 7, 0, 4, 12]
[6, 5, 0, 9, 14]
[0, 10, 6, 14, 1]
[7, 9, 3, 5, 1]
[6, 14, 0, 7, 12]
[10, 14, 4, 6, 1]
[6, 2, 12, 7, 11]
[13, 9, 10, 5, 3]
[10, 1, 5, 0, 2]
[12, 7, 5, 3, 11]
[6, 10, 11, 14, 3]
[1, 4, 9, 13, 2]
[13, 7, 3, 8, 11]
[11, 0, 6, 13, 3]
[8, 4, 12, 1, 5]
[2, 0, 7, 13, 10]
[5, 4, 13, 14, 6]
[4, 6, 7, 2, 0]
[9, 8, 7, 0, 1]
[8, 13, 12, 0, 3]
[13, 4, 6, 2, 5]
[6, 5, 11, 0, 12]
[9, 12, 13, 11, 8]
[13, 2, 8, 1, 3]
[3, 13, 12, 6, 10]
[14, 3, 2, 9, 10]
[14, 13, 11, 6, 4]
[10, 13, 0, 8, 9]
[0, 6, 11, 10, 12]
[10, 3, 5, 14, 4]
[7, 1, 13, 2, 4]
[5, 2, 12, 7, 8]
[3, 13, 8, 10, 12]
[13, 4, 0, 14, 9]
[13, 12, 10, 2, 14]
[5, 14, 1, 8, 7]
[2, 13, 7, 8, 4]
[10, 6, 3, 14, 11]
[4, 5, 10, 7, 9]
[11, 4, 1, 7, 13]
[8, 3, 11, 12, 4]
[14, 13, 8, 12, 6]
[5, 13, 12, 11, 3]
[13, 1, 12, 2, 7]
[6, 5, 7, 9, 14]
[4, 5, 14, 1, 12]
[4, 8, 7, 5, 9]
[4, 6, 2, 5, 11]
[11, 4, 2, 10, 14]
[5, 7, 2, 8, 12]
[13, 12, 7, 14, 11]
[3, 5, 1, 9, 11]
[1, 14, 6, 7, 3]
[10, 0, 4, 5, 1]
[11, 0, 2, 8, 13]
[6, 14, 5, 0, 4]
[9, 7, 11, 0, 8]
[9, 13, 11, 2, 6]
[13, 10, 12, 0, 9]
[13, 8, 11, 12, 0]
[8, 4, 2, 14, 11]
[2, 10, 1, 6, 13]
[8, 3, 10, 4, 12]
[6, 12, 4, 9, 1]
[0, 13, 4, 10, 8]
[12, 0, 6, 4, 1]
[13, 8, 0, 6, 4]
[6, 13, 0, 8, 9]
[12, 9, 4, 10, 7]
[12, 4, 2, 9, 14]
