P1,P2,...,Pn
[13, 3, 9, 11]
[2, 4, 5, 1]
[10, 11, 12, 2]
[2, 9, 13, 6]
[13, 9, 8, 1]
[4, 11, 12, 8]
[4, 11, 12, 13]
[10, 3, 9, 4]
[12, 14, 4, 0]
[14, 1, 9, 11]
[14, 1, 10, 0]
[0, 11, 7, 4]
[11, 9, 0, 7]
[7, 1, 13, 12]
[0, 9, 7, 11]
[2, 4, 5, 12]
[1, 11, 5, 10]
[6, 0, 2, 5]
[8, 6, 1, 14]
[14, 6, 3, 7]
[12, 3, 2, 6]
[8, 9, 0, 2]
[3, 4, 10, 14]
[11, 1, 4, 14]
[9, 11, 0, 5]
[2, 7, 1, 0]
[6, 0, 3, 11]
[8, 1, 4, 5]
[9, 8, 0, 4]
[12, 3, 13, 7]
[5, 6, 8, 11]
[3, 14, 7, 6]
[9, 8, 12, 2]
[0, 1, 6, 5]
[14, 2, 13, 5]
[12, 2, 6, 1]
[4, 8, 13, 3]
[10, 3, 5, 4]
[0, 8, 10, 14]
[4, 10, 9, 5]
[8, 3, 9, 12]
[4, 7, 6, 12]
[11, 6, 2, 1]
[0, 8, 3, 13]
[9, 10, 5, 0]
[13, 6, 12, 4]
[3, 2, 6, 12]
[4, 12, 9, 14]
[12, 2, 13, 9]
[5, 0, 12, 7]
[6, 9, 13, 11]
[0, 12, 5, 4]
[8, 5, 11, 13]
[0, 14, 6, 1]
[11, 3, 2, 14]
[3, 6, 11, 4]
[9, 2, 11, 0]
[11, 3, 1, 0]
[4, 8, 3, 2]
[11, 6, 4, 1]
[10, 4, 2, 14]
[0, 3, 5, 14]
[2, 10, 13, 5]
[5, 1, 3, 4]
[8, 7, 9, 0]
[8, 14, 11, 0]
[4, 14, 11, 10]
[4, 11, 14, 12]
[1, 10, 6, 2]
[3, 6, 9, 11]
[10, 6, 0, 13]
[7, 2, 4, 10]
[10, 12, 9, 6]
[4, 13, 5, 1]
[1, 9, 14, 3]
[14, 10, 5, 6]
[7, 0, 5, 3]
[2, 4, 3, 13]
[11, 8, 12, 4]
[0, 12, 9, 3]
[0, 1, 7, 11]
[7, 3, 8, 0]
[5, 13, 14, 4]
[12, 11, 2, 1]
[11, 0, 13, 10]
[7, 11, 13, 3]
[14, 4, 5, 0]
[0, 13, 4, 7]
[13, 5, 14, 8]
[9, 14, 11, 7]
[11, 9, 14, 13]
[1, 14, 9, 2]
[8, 12, 4, 11]
[3, 11, 9, 4]
[0, 7, 9, 1]
[6, 2, 10, 4]
[3, 8, 13, 1]
[4, 7, 5, 10]
[12, 1, 9, 13]
[8, 9, 5, 13]
[2, 6, 14, 8]
[13, 7, 0, 12]
[7, 11, 4, 1]
[8, 13, 7, 2]
[14, 6, 2, 12]
[2, 4, 7, 14]
[5, 11, 2, 1]
[13, 7, 3, 10]
[3, 4, 6, 2]
[9, 1, 7, 0]
[7, 8, 14, 10]
[12, 13, 3, 0]
[3, 8, 6, 9]
[7, 4, 3, 1]
[1, 12, 4, 5]
[8, 0, 11, 14]
[7, 4, 11, 13]
[11, 10, 7, 13]
[8, 3, 14, 0]
[10, 1, 13, 11]
[3, 0, 10, 2]
[4, 2, 7, 8]
[13, 7, 5, 11]
[8, 4, 3, 0]
[10, 6, 4, 2]
[8, 14, 9, 0]
[2, 14, 6, 5]
[11, 1, 10, 5]
[9, 2, 0, 6]
[12, 2, 8, 0]
[3, 6, 5, 11]
[14, 2, 1, 0]
[8, 7, 0, 4]
[12, 14, 10, 1]
[1, 11, 7, 5]
[6, 1, 13, 10]
[4, 0, 12, 11]
[5, 7, 0, 6]
[0, 4, 11, 13]
[7, 9, 8, 4]
[2, 8, 1, 11]
[7, 12, 11, 10]
[2, 7, 8, 0]
[1, 10, 14, 7]
[5, 11, 13, 8]
[12, 4, 7, 3]
[5, 0, 7, 6]
[0, 10, 2, 12]
[9, 5, 4, 13]
[6, 3, 13, 11]
[13, 2, 4, 3]
[13, 10, 1, 7]
[12, 8, 2, 14]
[13, 7, 6, 10]
[10, 4, 14, 7]
[9, 0, 5, 1]
[3, 2, 10, 8]
[7, 2, 11, 10]
[10, 8, 1, 11]
[8, 7, 12, 4]
[8, 3, 1, 10]
[7, 14, 0, 12]
[1, 4, 0, 13]
[9, 6, 13, 4]
[14, 12, 13, 10]
[0, 6, 12, 8]
[5, 10, 7, 1]
[5, 4, 7, 8]
[3, 4, 13, 14]
[14, 6, 11, 3]
[5, 3, 12, 0]
[13, 0, 11, 2]
[14, 12, 8, 2]
[6, 1, 10, 5]
[3, 14, 7, 8]
[1, 10, 3, 7]
[6, 9, 5, 12]
[6, 1, 5, 0]
[11, 13, 3, 10]
[13, 7, 8, 12]
[10, 9, 2, 1]
[7, 1, 3, 2]
[2, 12, 14, 5]
[1, 3, 8, 9]
[8, 12, 10, 4]
[9, 14, 13, 7]
[9, 0, 12, 13]
[12, 10, 2, 5]
[9, 14, 12, 1]
[2, 9, 13, 10]
[6, 13, 14, 2]
[9, 7, 0, 12]
[2, 7, 14, 1]
[2, 10, 1, 14]
[5, 11, 9, 1]
[3, 0, 1, 12]
[4, 5, 7, 13]
[4, 3, 0, 1]
[13, 10, 12, 9]
[1, 11, 10, 7]
[13, 8, 7, 6]
[6, 7, 1, 10]
[13, 11, 0, 3]
[14, 9, 0, 8]
[2, 12, 4, 14]
[0, 9, 1, 8]
[10, 11, 4, 6]
[5, 2, 4, 11]
[13, 2, 8, 12]
[7, 13, 11, 10]
[0, 7, 14, 12]
[12, 2, 10, 9]
[4, 13, 0, 7]
[14, 12, 4, 8]
[14, 1, 8, 6]
[14, 10, 12, 6]
[12, 5, 0, 6]
[12, 9, 5, 10]
[8, 13, 3, 11]
[11, 14, 7, 1]
[11, 0, 13, 14]
