P1,P2,...,Pn
[0, 1, 6, 12, 9]
[7, 13, 0, 4, 12]
[5, 14, 12, 6, 1]
[2, 13, 1, 4, 5]
[6, 7, 5, 13, 10]
[8, 3, 13, 11, 10]
[4, 10, 11, 13, 9]
[4, 10, 2, 11, 1]
[14, 3, 10, 12, 9]
[10, 9, 13, 12, 5]
[3, 14, 0, 7, 12]
[8, 10, 12, 2, 0]
[14, 12, 4, 3, 13]
[9, 10, 12, 0, 5]
[14, 2, 1, 3, 5]
[9, 7, 8, 11, 14]
[6, 11, 0, 7, 9]
[1, 10, 7, 4, 11]
[8, 6, 9, 14, 12]
[1, 13, 2, 14, 5]
[6, 0, 5, 12, 14]
[10, 2, 4, 11, 6]
[1, 0, 10, 13, 8]
[12, 6, 14, 5, 4]
[13, 5, 6, 10, 3]
[1, 12, 9, 14, 6]
[8, 4, 6, 10, 2]
[13, 7, 2, 12, 11]
[7, 12, 6, 11, 4]
[10, 7, 12, 0, 13]
[4, 0, 3, 11, 6]
[1, 9, 5, 2, 6]
[2, 3, 8, 13, 9]
[10, 8, 3, 4, 1]
[11, 14, 5, 4, 9]
[6, 2, 13, 12, 5]
[13, 7, 5, 2, 14]
[11, 9, 5, 6, 1]
[2, 6, 14, 10, 5]
[10, 6, 11, 7, 12]
[8, 6, 7, 2, 10]
[12, 0, 1, 14, 3]
[13, 3, 9, 4, 8]
[3, 10, 14, 13, 7]
[13, 10, 14, 2, 0]
[7, 11, 4, 12, 6]
[9, 1, 5, 0, 2]
[11, 14, 4, 0, 12]
[0, 7, 1, 2, 12]
[0, 1, 5, 4, 6]
[10, 12, 4, 3, 13]
[13, 7, 6, 12, 2]
[0, 2, 4, 13, 3]
[13, 14, 7, 8, 9]
[7, 9, 13, 12, 8]
[4, 3, 8, 2, 5]
[12, 13, 8, 6, 0]
[0, 10, 11, 14, 4]
[1, 11, 0, 2, 4]
[6, 11, 9, 12, 1]
[4, 0, 6, 5, 3]
[13, 11, 2, 4, 1]
[14, 2, 3, 13, 8]
[7, 2, 5, 9, 11]
[10, 13, 9, 4, 5]
[2, 1, 14, 11, 10]
[10, 3, 8, 12, 11]
[1, 10, 8, 12, 7]
[7, 6, 3, 10, 2]
[8, 6, 3, 1, 5]
[0, 5, 8, 11, 12]
[13, 8, 7, 6, 14]
[2, 11, 14, 10, 4]
[14, 6, 3, 8, 4]
[12, 14, 3, 9, 5]
