P1,P2,...,Pn
[10, 6, 12, 9, 14]
[13, 14, 2, 12, 1]
[4, 1, 12, 7, 3]
[10, 1, 2, 7, 8]
[7, 8, 1, 3, 13]
[6, 10, 8, 11, 1]
[6, 2, 4, 13, 10]
[12, 4, 7, 8, 14]
[13, 0, 7, 8, 5]
[14, 10, 7, 8, 5]
[9, 0, 11, 1, 14]
[8, 12, 7, 10, 9]
[12, 3, 0, 14, 10]
[11, 9, 5, 6, 7]
[1, 10, 7, 14, 9]
[9, 4, 6, 10, 13]
[14, 12, 10, 9, 3]
[5, 8, 7, 13, 11]
[5, 6, 3, 13, 7]
[9, 11, 6, 1, 12]
[6, 5, 8, 10, 3]
[6, 2, 12, 3, 11]
[0, 13, 10, 11, 6]
[13, 12, 6, 0, 11]
[0, 6, 13, 12, 14]
[7, 5, 13, 3, 10]
[3, 7, 8, 2, 5]
[5, 2, 13, 0, 14]
[0, 7, 8, 11, 13]
[3, 11, 1, 0, 5]
[2, 1, 3, 0, 5]
[3, 4, 8, 13, 1]
[10, 8, 11, 3, 0]
[11, 7, 5, 6, 9]
[0, 13, 4, 5, 9]
[10, 4, 6, 14, 13]
[12, 4, 3, 10, 1]
[12, 10, 11, 3, 9]
[11, 0, 7, 1, 2]
[11, 13, 1, 0, 5]
[14, 6, 12, 10, 7]
[10, 13, 9, 3, 5]
[2, 1, 14, 10, 4]
[13, 12, 11, 4, 14]
[11, 6, 7, 12, 10]
[11, 10, 0, 6, 8]
[7, 2, 6, 13, 11]
[11, 9, 4, 0, 10]
[11, 6, 4, 14, 8]
[13, 3, 2, 14, 11]
[13, 1, 6, 0, 8]
[1, 13, 7, 0, 4]
[4, 7, 9, 10, 0]
[5, 11, 14, 3, 2]
[11, 0, 10, 5, 14]
[0, 2, 11, 8, 13]
[3, 12, 13, 5, 1]
[13, 4, 5, 9, 14]
[14, 1, 2, 9, 3]
[10, 13, 5, 9, 12]
[13, 5, 10, 0, 12]
[6, 13, 10, 4, 11]
[6, 5, 13, 0, 10]
[1, 3, 11, 0, 5]
[2, 1, 5, 14, 13]
[12, 4, 0, 2, 11]
[7, 9, 0, 3, 10]
[6, 14, 2, 5, 9]
[6, 7, 8, 3, 4]
[2, 14, 0, 11, 6]
[11, 12, 1, 9, 14]
[7, 0, 11, 3, 4]
[0, 13, 1, 3, 9]
[11, 0, 7, 2, 5]
[1, 0, 6, 5, 10]
[10, 5, 9, 6, 11]
[1, 12, 7, 8, 9]
[11, 0, 14, 3, 12]
[5, 2, 13, 10, 12]
[14, 11, 2, 5, 13]
[2, 4, 10, 0, 11]
[3, 4, 8, 13, 14]
[5, 6, 2, 1, 7]
[11, 0, 14, 8, 5]
[8, 0, 5, 6, 3]
[13, 8, 10, 3, 1]
[11, 13, 0, 9, 10]
[4, 7, 3, 13, 12]
[2, 10, 12, 11, 1]
[13, 11, 12, 14, 7]
[12, 3, 4, 6, 13]
[13, 1, 9, 12, 5]
[6, 13, 5, 1, 14]
[3, 4, 11, 12, 10]
[4, 3, 1, 12, 9]
[2, 11, 9, 7, 0]
[9, 8, 0, 4, 3]
[9, 12, 13, 6, 5]
[11, 14, 5, 2, 0]
[6, 13, 11, 4, 7]
[13, 10, 6, 7, 5]
[4, 6, 0, 5, 2]
[11, 10, 8, 12, 2]
[1, 5, 2, 4, 6]
[7, 12, 5, 9, 13]
[11, 8, 4, 10, 9]
[7, 0, 4, 2, 10]
[11, 5, 1, 10, 0]
[1, 4, 3, 11, 6]
[5, 7, 12, 0, 10]
[4, 10, 6, 0, 11]
[7, 4, 1, 9, 8]
[14, 0, 13, 8, 2]
[13, 0, 4, 14, 7]
[1, 7, 12, 0, 6]
[4, 6, 1, 11, 14]
[2, 5, 12, 8, 1]
[8, 2, 1, 3, 13]
[11, 0, 3, 7, 2]
[13, 10, 3, 14, 8]
[8, 9, 11, 3, 14]
[12, 5, 3, 2, 8]
[1, 10, 7, 6, 8]
[2, 1, 8, 12, 3]
[0, 7, 5, 8, 11]
[4, 1, 13, 8, 12]
[0, 6, 3, 12, 2]
[8, 11, 12, 14, 7]
[11, 5, 10, 3, 14]
[1, 7, 2, 5, 10]
[12, 6, 0, 10, 1]
[0, 12, 8, 14, 9]
[7, 6, 2, 1, 10]
[10, 1, 11, 6, 9]
[14, 0, 11, 12, 7]
[13, 8, 3, 9, 12]
[14, 5, 2, 12, 6]
[13, 7, 14, 12, 6]
[13, 2, 14, 3, 5]
[11, 4, 14, 3, 6]
[14, 0, 6, 13, 2]
[5, 2, 13, 8, 10]
[8, 10, 7, 0, 6]
[1, 2, 11, 14, 7]
