P1,P2,...,Pn
[3, 1, 8, 2]
[13, 3, 4, 11]
[7, 9, 14, 0]
[7, 6, 14, 1]
[2, 7, 11, 3]
[1, 0, 5, 7]
[0, 10, 1, 4]
[3, 7, 2, 4]
[2, 13, 14, 12]
[2, 8, 14, 4]
[5, 6, 1, 8]
[10, 4, 1, 0]
[2, 9, 6, 8]
[0, 3, 9, 12]
[0, 14, 5, 12]
[14, 0, 7, 4]
[13, 10, 5, 1]
[5, 3, 10, 0]
[5, 3, 0, 9]
[7, 14, 2, 5]
[1, 2, 14, 3]
[3, 4, 8, 12]
[12, 13, 8, 4]
[8, 2, 7, 0]
[8, 14, 4, 7]
[11, 1, 9, 12]
[8, 14, 12, 11]
[3, 2, 0, 13]
[10, 14, 0, 11]
[10, 4, 7, 13]
[5, 0, 10, 2]
[4, 10, 2, 8]
[10, 13, 4, 0]
[1, 14, 12, 7]
[13, 6, 14, 5]
[14, 6, 4, 10]
[4, 3, 1, 13]
[12, 3, 10, 2]
[10, 2, 7, 11]
[7, 2, 12, 3]
[6, 5, 10, 2]
[8, 6, 9, 2]
[13, 6, 3, 11]
