P1,P2,...,Pn
[3, 0, 14, 12, 2]
[2, 3, 6, 9, 0]
[1, 3, 2, 11, 7]
[2, 1, 10, 12, 4]
[14, 11, 1, 10, 8]
[9, 14, 4, 11, 7]
[12, 8, 5, 1, 10]
[1, 14, 2, 13, 11]
[10, 13, 1, 2, 6]
[14, 1, 3, 2, 0]
[13, 2, 1, 6, 8]
[1, 6, 5, 11, 8]
[0, 8, 9, 4, 14]
[0, 3, 9, 10, 7]
[0, 2, 11, 6, 8]
[12, 0, 11, 10, 7]
[2, 14, 6, 5, 7]
[12, 0, 1, 14, 5]
[13, 4, 1, 5, 11]
[6, 4, 0, 5, 13]
[3, 6, 8, 13, 5]
[7, 6, 0, 4, 2]
[10, 2, 4, 1, 13]
[8, 4, 1, 9, 10]
[8, 7, 2, 3, 10]
[5, 13, 3, 4, 10]
[2, 0, 6, 7, 13]
[14, 10, 9, 3, 11]
[11, 12, 1, 4, 0]
[5, 12, 6, 0, 14]
[12, 6, 0, 4, 7]
[10, 7, 9, 5, 0]
[2, 7, 13, 11, 10]
[4, 8, 3, 5, 1]
[5, 8, 14, 1, 12]
[3, 1, 11, 14, 12]
[7, 1, 11, 14, 5]
[7, 12, 5, 0, 14]
[0, 11, 6, 12, 2]
[7, 5, 1, 6, 14]
[13, 8, 11, 4, 0]
[12, 2, 3, 13, 7]
[0, 1, 10, 7, 5]
[0, 13, 12, 1, 5]
[1, 9, 13, 7, 6]
[4, 14, 2, 7, 1]
[14, 0, 3, 10, 4]
[13, 8, 11, 12, 0]
[2, 12, 7, 0, 4]
[9, 1, 7, 6, 5]
[7, 13, 1, 0, 14]
[6, 5, 2, 13, 14]
[12, 8, 10, 2, 1]
[14, 4, 6, 0, 5]
[4, 7, 10, 13, 1]
[10, 12, 7, 6, 2]
[3, 13, 11, 14, 10]
[5, 10, 3, 0, 8]
[1, 3, 0, 8, 14]
[14, 1, 10, 5, 9]
[6, 9, 4, 8, 3]
[7, 3, 8, 1, 12]
[14, 10, 3, 9, 13]
[2, 5, 7, 8, 1]
[7, 9, 13, 8, 4]
[11, 7, 6, 9, 14]
[1, 10, 9, 11, 7]
[0, 7, 2, 5, 4]
[14, 4, 11, 12, 5]
[0, 7, 2, 4, 5]
[7, 0, 9, 3, 2]
[0, 7, 10, 6, 13]
[12, 2, 3, 1, 8]
[2, 10, 1, 6, 8]
[13, 1, 12, 0, 4]
[6, 8, 1, 9, 3]
[11, 10, 6, 3, 7]
[5, 11, 4, 8, 6]
[9, 3, 14, 1, 10]
[14, 9, 5, 7, 10]
[6, 12, 0, 2, 11]
[13, 9, 1, 14, 0]
[0, 9, 4, 12, 11]
[1, 6, 0, 11, 14]
[13, 1, 8, 3, 9]
[5, 7, 0, 9, 12]
[8, 9, 6, 13, 4]
[6, 4, 8, 5, 1]
[12, 9, 1, 11, 3]
[0, 1, 3, 12, 5]
[1, 0, 2, 3, 4]
[9, 11, 14, 7, 13]
[1, 14, 0, 9, 10]
[11, 3, 1, 6, 0]
[8, 14, 7, 10, 6]
[3, 7, 12, 10, 9]
[8, 5, 12, 13, 4]
[8, 1, 5, 7, 12]
[5, 12, 4, 1, 7]
[7, 11, 4, 6, 9]
[4, 3, 14, 2, 1]
[6, 1, 7, 0, 4]
[6, 11, 2, 14, 7]
[11, 7, 0, 10, 6]
[12, 11, 13, 14, 9]
