P1,P2,...,Pn
[4, 12, 7, 9, 5]
[5, 13, 7, 3, 2]
[12, 5, 7, 8, 9]
[1, 13, 10, 5, 0]
[9, 13, 6, 12, 11]
[6, 7, 5, 4, 8]
[4, 14, 1, 0, 9]
[11, 6, 9, 12, 0]
[12, 0, 2, 11, 14]
[2, 4, 6, 3, 13]
[9, 13, 0, 5, 2]
[9, 7, 13, 8, 6]
[14, 13, 9, 11, 3]
[5, 2, 10, 12, 13]
[11, 3, 2, 7, 13]
[13, 11, 9, 14, 2]
[7, 9, 3, 4, 8]
[6, 12, 14, 0, 1]
[12, 3, 14, 2, 1]
[8, 9, 3, 10, 14]
[7, 13, 8, 5, 1]
[11, 8, 5, 1, 4]
[8, 6, 13, 3, 7]
[9, 8, 3, 7, 14]
[8, 14, 10, 7, 1]
[1, 5, 10, 11, 9]
[14, 6, 11, 9, 10]
[11, 8, 9, 6, 10]
[6, 4, 12, 1, 3]
[5, 7, 1, 10, 8]
[1, 11, 14, 8, 13]
[6, 8, 9, 4, 2]
[0, 3, 9, 6, 14]
[2, 1, 11, 3, 13]
[4, 6, 0, 2, 1]
[5, 11, 7, 9, 0]
[13, 4, 12, 14, 10]
[11, 0, 5, 13, 2]
[4, 0, 10, 7, 5]
[6, 7, 4, 12, 3]
[0, 11, 9, 1, 4]
[6, 7, 5, 11, 2]
[8, 3, 13, 5, 10]
[11, 9, 12, 3, 10]
[1, 10, 3, 2, 0]
[2, 10, 13, 8, 3]
[10, 14, 4, 11, 9]
[13, 7, 14, 9, 1]
[6, 14, 0, 4, 8]
[10, 3, 7, 9, 0]
[6, 3, 14, 12, 0]
[0, 13, 4, 9, 14]
[13, 1, 11, 0, 2]
[3, 4, 8, 9, 10]
[14, 3, 13, 1, 4]
[4, 14, 6, 2, 1]
[2, 11, 10, 9, 5]
[1, 13, 8, 0, 4]
[3, 9, 4, 0, 11]
[0, 7, 14, 8, 13]
[9, 5, 14, 6, 10]
[11, 7, 0, 13, 12]
[13, 0, 8, 12, 5]
[5, 4, 7, 0, 13]
[7, 10, 0, 13, 14]
[3, 12, 11, 0, 10]
[3, 0, 8, 4, 13]
[1, 14, 11, 7, 2]
[9, 5, 13, 0, 11]
[5, 3, 2, 7, 14]
[4, 8, 7, 14, 3]
[11, 4, 12, 13, 2]
[14, 4, 10, 3, 1]
[10, 12, 5, 4, 11]
[11, 6, 13, 10, 12]
[4, 5, 0, 14, 7]
[5, 4, 8, 9, 14]
[1, 9, 11, 14, 13]
[5, 4, 2, 9, 6]
[1, 5, 10, 4, 8]
[10, 3, 4, 14, 1]
[13, 10, 4, 6, 11]
[14, 4, 6, 1, 5]
[11, 4, 13, 0, 5]
[11, 6, 9, 7, 8]
[5, 0, 9, 4, 11]
[1, 0, 9, 13, 10]
[13, 14, 0, 2, 11]
[12, 4, 11, 9, 14]
[10, 7, 8, 1, 9]
[12, 10, 2, 5, 14]
[0, 9, 3, 6, 4]
[1, 11, 2, 0, 7]
[8, 1, 11, 5, 0]
[10, 9, 8, 7, 0]
[10, 13, 6, 3, 4]
[4, 14, 10, 5, 12]
[13, 6, 2, 0, 10]
[1, 10, 7, 11, 5]
[5, 6, 2, 12, 4]
[8, 12, 7, 13, 2]
[5, 10, 11, 13, 0]
[3, 8, 5, 1, 10]
[4, 12, 0, 6, 7]
[8, 0, 2, 12, 9]
[7, 4, 3, 1, 2]
[5, 1, 6, 0, 4]
[0, 14, 8, 6, 5]
[3, 0, 8, 9, 13]
[0, 13, 8, 2, 1]
[7, 2, 4, 1, 0]
[1, 7, 5, 8, 9]
[2, 14, 7, 6, 13]
[14, 2, 0, 8, 12]
[11, 13, 9, 0, 2]
[9, 4, 8, 12, 11]
[9, 10, 0, 14, 13]
[9, 0, 8, 3, 2]
[6, 12, 13, 3, 10]
[1, 5, 14, 7, 6]
[10, 2, 9, 11, 5]
[7, 6, 5, 11, 10]
[4, 3, 10, 6, 2]
[7, 10, 1, 11, 0]
[6, 11, 13, 10, 0]
[9, 4, 1, 14, 8]
[7, 13, 1, 12, 3]
[2, 8, 11, 3, 0]
[5, 7, 6, 1, 2]
[4, 12, 3, 6, 2]
[8, 7, 10, 9, 5]
