P1,P2,...,Pn
[8, 3, 5, 14, 13]
[7, 5, 0, 6, 12]
[14, 0, 7, 13, 12]
[2, 5, 0, 8, 7]
[9, 4, 10, 5, 13]
[7, 0, 11, 14, 13]
[5, 0, 1, 7, 4]
[4, 14, 11, 12, 1]
[7, 3, 12, 8, 2]
[8, 13, 0, 1, 10]
[1, 0, 3, 7, 4]
[0, 10, 14, 5, 3]
[3, 6, 8, 2, 7]
[9, 14, 13, 6, 5]
[2, 4, 10, 7, 8]
[8, 9, 3, 5, 12]
[13, 14, 5, 4, 3]
[13, 7, 6, 12, 4]
[13, 2, 6, 12, 3]
[9, 3, 13, 5, 0]
[3, 4, 8, 9, 1]
[5, 9, 14, 11, 6]
[0, 3, 6, 13, 8]
[9, 5, 13, 8, 6]
[1, 7, 5, 13, 14]
[3, 14, 8, 0, 2]
[4, 9, 13, 11, 2]
[0, 8, 5, 11, 10]
[2, 4, 13, 11, 9]
[12, 5, 13, 1, 11]
[8, 6, 14, 12, 3]
[7, 5, 10, 2, 4]
[6, 10, 7, 9, 4]
[14, 2, 1, 8, 9]
[9, 13, 14, 0, 7]
[2, 6, 8, 1, 7]
[7, 9, 12, 8, 13]
[3, 1, 9, 10, 14]
[10, 13, 7, 4, 5]
[0, 11, 14, 9, 4]
[14, 5, 11, 6, 8]
[8, 13, 14, 6, 4]
[2, 7, 3, 14, 11]
[3, 8, 10, 7, 11]
[4, 8, 10, 14, 1]
[6, 13, 11, 10, 1]
[3, 0, 5, 10, 7]
[10, 7, 5, 3, 2]
[9, 11, 13, 6, 8]
[8, 4, 5, 6, 9]
[13, 3, 9, 4, 14]
[13, 1, 11, 7, 5]
[9, 7, 8, 11, 5]
[2, 13, 8, 6, 7]
[4, 7, 12, 6, 1]
[3, 9, 11, 10, 7]
[2, 13, 8, 10, 14]
[8, 14, 0, 12, 6]
[9, 3, 5, 1, 7]
[11, 12, 14, 10, 0]
[2, 6, 7, 9, 12]
[12, 8, 10, 2, 9]
[2, 7, 8, 4, 13]
[1, 11, 12, 7, 13]
[11, 10, 2, 5, 9]
[5, 14, 7, 10, 2]
[3, 10, 13, 4, 6]
[8, 0, 5, 3, 1]
[11, 7, 10, 6, 2]
[8, 9, 7, 11, 12]
[12, 14, 2, 4, 9]
[12, 1, 5, 3, 6]
[6, 14, 1, 0, 13]
[0, 3, 14, 5, 11]
[8, 9, 2, 10, 3]
[14, 1, 0, 13, 11]
[1, 6, 9, 0, 5]
[1, 14, 7, 6, 2]
[8, 5, 6, 4, 12]
[4, 1, 12, 13, 5]
[10, 5, 9, 12, 1]
[11, 1, 2, 7, 9]
[10, 1, 7, 14, 2]
[9, 8, 6, 12, 13]
[4, 2, 14, 1, 13]
[4, 12, 3, 13, 10]
[9, 12, 13, 1, 7]
[7, 5, 0, 11, 1]
[3, 7, 4, 9, 0]
[14, 9, 10, 6, 7]
[8, 14, 4, 10, 1]
[9, 13, 2, 8, 3]
[9, 11, 2, 1, 14]
[10, 12, 7, 4, 0]
[7, 14, 6, 9, 0]
[10, 7, 2, 1, 4]
[3, 13, 0, 4, 10]
[14, 10, 8, 12, 2]
[6, 13, 12, 14, 5]
[6, 14, 10, 4, 13]
[3, 6, 8, 2, 9]
[3, 0, 13, 11, 1]
[6, 8, 3, 7, 5]
[8, 5, 6, 0, 2]
[5, 11, 9, 2, 12]
[3, 5, 10, 2, 12]
[4, 5, 1, 14, 9]
[5, 8, 7, 1, 13]
[10, 7, 12, 2, 8]
[10, 12, 9, 5, 3]
[13, 6, 11, 1, 4]
[13, 12, 3, 6, 14]
[5, 7, 11, 9, 2]
[2, 1, 0, 5, 8]
[12, 1, 4, 9, 14]
[5, 10, 7, 1, 11]
[8, 14, 4, 12, 10]
[3, 4, 9, 0, 11]
[1, 13, 7, 11, 10]
[11, 7, 14, 3, 8]
[11, 5, 14, 7, 0]
[6, 8, 1, 7, 14]
[9, 0, 14, 13, 5]
[2, 1, 6, 12, 8]
[12, 10, 5, 14, 3]
[12, 1, 11, 7, 14]
[11, 1, 4, 5, 14]
[1, 9, 4, 11, 7]
[9, 13, 2, 12, 8]
[8, 11, 14, 2, 4]
[14, 8, 10, 2, 0]
[5, 2, 13, 4, 10]
[2, 12, 4, 13, 3]
[7, 1, 0, 4, 13]
[6, 4, 13, 9, 14]
[2, 5, 1, 11, 0]
[11, 8, 13, 2, 10]
[6, 11, 5, 10, 0]
[3, 9, 7, 14, 10]
[3, 10, 2, 9, 11]
[12, 0, 10, 1, 7]
[1, 6, 9, 8, 3]
[0, 5, 12, 8, 14]
[12, 11, 9, 4, 0]
[5, 8, 14, 10, 9]
[13, 9, 10, 1, 12]
[14, 7, 5, 2, 0]
[6, 7, 11, 4, 3]
[7, 1, 3, 11, 6]
[7, 1, 3, 9, 14]
[6, 3, 12, 8, 13]
[11, 2, 0, 6, 14]
[6, 2, 0, 8, 7]
