P1,P2,...,Pn
[10, 3, 5, 11]
[4, 7, 1, 2]
[3, 8, 9, 2]
[3, 14, 10, 11]
[11, 13, 8, 4]
[4, 9, 3, 10]
[7, 11, 1, 8]
[13, 9, 5, 7]
[12, 1, 0, 5]
[3, 5, 2, 10]
[11, 2, 12, 4]
[5, 13, 10, 12]
[11, 2, 14, 0]
[8, 10, 3, 5]
[12, 10, 11, 7]
[4, 14, 2, 3]
[13, 1, 7, 9]
[9, 2, 12, 3]
[9, 12, 5, 0]
[8, 4, 5, 1]
[11, 6, 7, 14]
[11, 14, 9, 10]
[11, 4, 10, 8]
[11, 7, 2, 4]
[7, 9, 6, 13]
[8, 9, 11, 12]
[7, 11, 0, 12]
[13, 6, 10, 11]
[0, 1, 7, 3]
[8, 13, 5, 12]
[8, 14, 9, 13]
[10, 3, 0, 4]
[3, 13, 10, 4]
[9, 8, 1, 6]
[7, 13, 14, 1]
[14, 5, 4, 1]
[8, 13, 7, 2]
[13, 7, 10, 14]
[5, 10, 1, 4]
