P1,P2,...,Pn
[13, 14, 4, 2]
[4, 3, 11, 14]
[11, 9, 4, 2]
[14, 4, 13, 0]
[8, 6, 7, 2]
[6, 10, 1, 13]
[3, 7, 8, 1]
[7, 9, 2, 8]
[2, 8, 0, 3]
[2, 8, 3, 14]
[8, 7, 4, 9]
[1, 2, 0, 4]
[0, 12, 8, 7]
[7, 13, 4, 11]
[6, 2, 10, 8]
[0, 3, 9, 8]
[1, 12, 11, 5]
[2, 0, 10, 6]
[1, 3, 14, 6]
[13, 6, 11, 5]
[10, 1, 8, 12]
[14, 7, 10, 3]
[6, 14, 9, 3]
[8, 4, 10, 13]
[13, 5, 8, 4]
[12, 0, 5, 4]
[8, 7, 14, 2]
[5, 13, 8, 9]
[6, 3, 2, 10]
[3, 11, 1, 9]
[14, 0, 4, 9]
[14, 13, 1, 6]
[7, 11, 14, 13]
[0, 11, 5, 7]
[10, 7, 1, 2]
[4, 1, 10, 13]
[2, 11, 14, 8]
[8, 10, 2, 0]
[2, 14, 4, 9]
[4, 13, 12, 0]
[3, 5, 14, 12]
[7, 10, 13, 9]
[13, 10, 4, 11]
[13, 4, 14, 8]
[5, 2, 6, 7]
[3, 8, 2, 12]
[0, 13, 9, 12]
[5, 13, 0, 10]
[8, 6, 0, 11]
[0, 1, 14, 6]
[9, 2, 7, 3]
[1, 11, 7, 13]
[13, 14, 1, 11]
[11, 12, 7, 14]
[0, 12, 4, 1]
[4, 14, 2, 3]
[8, 14, 6, 10]
[6, 4, 11, 7]
[8, 10, 14, 9]
[11, 4, 0, 10]
[0, 1, 10, 11]
[7, 14, 4, 9]
[9, 13, 1, 5]
[9, 12, 0, 7]
[4, 14, 7, 1]
[2, 6, 3, 7]
[10, 13, 2, 0]
[1, 11, 3, 9]
[14, 5, 10, 9]
[7, 6, 1, 2]
[2, 14, 11, 8]
[2, 4, 5, 9]
[1, 11, 2, 12]
[7, 4, 10, 2]
[8, 14, 6, 5]
[10, 11, 3, 1]
[2, 10, 14, 4]
[10, 6, 4, 13]
[3, 5, 9, 8]
[14, 2, 12, 5]
[8, 12, 5, 14]
[8, 14, 9, 7]
[6, 2, 3, 5]
[11, 12, 9, 6]
[10, 8, 5, 13]
[0, 2, 13, 9]
[10, 14, 0, 12]
[6, 3, 14, 0]
[14, 4, 5, 10]
[5, 2, 4, 6]
[12, 14, 6, 13]
[5, 9, 1, 10]
[7, 0, 14, 3]
[1, 0, 8, 4]
[13, 9, 14, 0]
[11, 12, 9, 1]
[10, 0, 4, 1]
[7, 13, 8, 0]
[9, 7, 12, 8]
[4, 5, 7, 0]
[4, 1, 0, 3]
[4, 5, 12, 1]
[2, 10, 13, 1]
[7, 12, 14, 10]
[11, 2, 1, 6]
[6, 14, 13, 1]
[6, 14, 7, 2]
[11, 1, 10, 0]
[13, 7, 6, 4]
[12, 0, 4, 5]
[6, 13, 2, 9]
[3, 6, 7, 11]
[7, 3, 13, 5]
[3, 13, 12, 2]
[14, 4, 8, 13]
[5, 4, 9, 1]
[2, 0, 12, 5]
[13, 9, 11, 5]
[9, 3, 14, 8]
[12, 9, 2, 4]
[3, 1, 13, 10]
[8, 9, 1, 3]
[12, 13, 9, 10]
[2, 6, 0, 7]
[10, 4, 14, 9]
[10, 0, 1, 4]
[9, 4, 13, 1]
[9, 11, 1, 3]
[6, 3, 2, 13]
[6, 11, 13, 14]
[10, 2, 3, 7]
[0, 6, 7, 3]
[0, 7, 13, 8]
[0, 14, 13, 11]
[3, 8, 7, 14]
[10, 12, 4, 1]
[12, 4, 14, 5]
[9, 0, 7, 2]
[12, 5, 11, 1]
[6, 10, 9, 4]
[7, 14, 13, 10]
[14, 6, 11, 13]
[14, 12, 0, 8]
[1, 5, 8, 13]
[9, 2, 6, 8]
[14, 6, 7, 10]
[5, 2, 9, 14]
[12, 11, 2, 6]
[14, 6, 12, 7]
[1, 9, 5, 12]
[1, 8, 7, 4]
[6, 3, 9, 5]
[2, 11, 1, 8]
[3, 7, 10, 2]
[9, 8, 6, 14]
[13, 4, 11, 2]
[0, 8, 13, 2]
[4, 1, 2, 11]
[14, 7, 5, 1]
[14, 6, 10, 0]
[1, 9, 4, 2]
[14, 3, 13, 4]
[12, 11, 7, 0]
[9, 3, 13, 1]
[6, 2, 13, 5]
[3, 11, 0, 4]
[4, 9, 1, 13]
[7, 0, 6, 14]
[8, 10, 4, 3]
[1, 11, 4, 10]
[4, 9, 7, 0]
[9, 12, 0, 2]
[10, 14, 1, 2]
[3, 10, 11, 12]
[3, 11, 5, 0]
[8, 3, 13, 4]
[4, 8, 13, 12]
[11, 6, 1, 8]
[12, 0, 1, 6]
[2, 14, 0, 3]
[8, 12, 7, 0]
[3, 5, 11, 8]
[4, 1, 5, 8]
[4, 2, 3, 11]
[4, 2, 6, 14]
[0, 3, 5, 1]
[0, 2, 11, 3]
[2, 9, 6, 4]
[0, 4, 3, 7]
[7, 9, 1, 6]
[14, 2, 7, 1]
[2, 11, 4, 14]
[5, 3, 6, 8]
[2, 4, 7, 8]
[7, 2, 12, 1]
[8, 11, 6, 13]
[5, 13, 11, 2]
[8, 5, 12, 3]
[12, 8, 2, 0]
[7, 12, 8, 13]
[8, 12, 13, 2]
[9, 11, 3, 0]
[9, 14, 8, 0]
[10, 5, 12, 1]
[3, 2, 1, 12]
[5, 6, 12, 4]
[4, 1, 14, 5]
[4, 12, 10, 2]
[13, 8, 1, 0]
[4, 10, 12, 0]
[3, 10, 2, 5]
[2, 7, 10, 1]
[2, 10, 13, 12]
[14, 11, 5, 0]
[2, 13, 14, 1]
[8, 4, 14, 6]
[11, 14, 9, 7]
[1, 14, 0, 7]
[8, 9, 12, 0]
[14, 13, 8, 10]
[13, 7, 10, 12]
[8, 0, 7, 10]
[4, 9, 13, 8]
[2, 10, 5, 4]
[2, 6, 3, 5]
[4, 11, 8, 0]
[4, 14, 0, 3]
[10, 3, 2, 8]
[1, 3, 0, 5]
[9, 0, 12, 13]
[10, 14, 2, 13]
[3, 4, 0, 2]
[5, 8, 12, 7]
[1, 12, 6, 9]
[14, 9, 5, 11]
[3, 12, 4, 11]
[1, 8, 0, 7]
[8, 12, 13, 14]
[9, 13, 1, 7]
[5, 11, 8, 10]
[8, 10, 14, 4]
[0, 13, 12, 5]
[8, 1, 4, 7]
[3, 4, 13, 14]
