P1,P2,...,Pn
[14, 2, 5, 1]
[1, 4, 12, 3]
[11, 1, 8, 5]
[4, 5, 10, 6]
[9, 1, 6, 0]
[12, 6, 4, 10]
[0, 10, 8, 12]
[7, 14, 6, 3]
[1, 14, 9, 12]
[11, 2, 4, 10]
[2, 4, 10, 13]
[10, 11, 12, 0]
[11, 12, 3, 0]
[13, 11, 5, 0]
[12, 7, 13, 4]
[4, 11, 7, 8]
[2, 8, 10, 13]
[12, 14, 4, 2]
[12, 4, 13, 5]
[11, 9, 4, 2]
[6, 13, 5, 7]
[3, 0, 6, 14]
[10, 13, 8, 5]
[8, 5, 11, 13]
[7, 3, 4, 12]
[3, 12, 1, 7]
[14, 4, 0, 5]
[11, 3, 9, 13]
[13, 12, 4, 6]
[1, 4, 11, 5]
[11, 12, 7, 6]
[1, 8, 2, 11]
[5, 9, 0, 14]
[1, 7, 2, 3]
[14, 13, 2, 3]
[6, 7, 12, 2]
[2, 7, 10, 8]
[2, 8, 9, 12]
[13, 1, 0, 8]
[14, 9, 5, 12]
[5, 9, 6, 14]
[5, 8, 12, 3]
[7, 4, 0, 3]
[4, 8, 11, 7]
[3, 1, 10, 14]
[4, 6, 2, 5]
[3, 1, 2, 0]
[4, 3, 5, 0]
[6, 7, 11, 13]
[12, 2, 10, 9]
[11, 2, 6, 9]
[6, 0, 10, 3]
[8, 6, 13, 7]
[12, 4, 5, 11]
[2, 0, 3, 1]
[8, 5, 0, 1]
[13, 11, 4, 8]
[3, 11, 4, 0]
[8, 6, 12, 10]
[11, 9, 4, 8]
[1, 11, 4, 14]
[6, 4, 7, 14]
[11, 2, 0, 9]
[2, 6, 9, 1]
[6, 1, 4, 13]
[5, 2, 8, 11]
[4, 9, 0, 1]
[3, 6, 11, 14]
[14, 8, 3, 6]
[12, 0, 6, 8]
[0, 3, 8, 5]
[3, 4, 13, 9]
[3, 13, 12, 4]
[11, 5, 12, 3]
[14, 3, 9, 11]
[14, 7, 3, 11]
[7, 14, 6, 4]
[11, 14, 2, 5]
[12, 2, 5, 10]
[7, 10, 8, 5]
[10, 3, 4, 0]
[9, 2, 1, 0]
[0, 4, 9, 7]
[1, 7, 11, 4]
[7, 3, 6, 14]
[10, 14, 7, 13]
[9, 1, 12, 13]
[0, 6, 12, 8]
[1, 2, 8, 9]
[2, 13, 7, 11]
[11, 8, 0, 12]
[10, 3, 4, 6]
[10, 9, 7, 14]
[14, 7, 3, 10]
[12, 8, 4, 6]
[1, 9, 5, 0]
[2, 6, 13, 0]
[10, 1, 2, 8]
[0, 11, 10, 14]
[3, 5, 12, 10]
[4, 0, 13, 10]
[13, 2, 10, 14]
[3, 9, 6, 8]
[1, 13, 4, 10]
[11, 14, 2, 7]
[3, 7, 1, 13]
[1, 6, 9, 3]
[9, 0, 12, 3]
[0, 3, 8, 5]
