P1,P2,...,Pn
[2, 10, 12, 5, 1]
[7, 3, 0, 10, 2]
[12, 9, 10, 14, 6]
[12, 4, 14, 1, 7]
[2, 5, 10, 12, 11]
[13, 3, 10, 14, 6]
[14, 10, 5, 7, 11]
[5, 11, 1, 3, 12]
[1, 6, 9, 7, 13]
[11, 4, 6, 7, 8]
[3, 12, 14, 5, 1]
[4, 2, 6, 11, 13]
[12, 5, 2, 7, 0]
[6, 2, 3, 1, 9]
[2, 6, 8, 11, 7]
[12, 10, 1, 4, 7]
[12, 8, 1, 0, 14]
[1, 8, 12, 9, 0]
[6, 11, 14, 1, 0]
[2, 0, 5, 12, 8]
[12, 3, 7, 4, 14]
[10, 12, 3, 1, 2]
[12, 9, 7, 11, 13]
[6, 10, 5, 7, 11]
[2, 0, 13, 1, 6]
[6, 10, 1, 0, 8]
[7, 2, 12, 11, 4]
[10, 14, 12, 4, 7]
[10, 1, 12, 11, 4]
[1, 6, 12, 9, 5]
[12, 9, 4, 1, 7]
[10, 9, 14, 12, 3]
[6, 8, 2, 1, 10]
[9, 6, 0, 13, 4]
[2, 9, 8, 0, 12]
[5, 13, 6, 9, 11]
[12, 14, 2, 4, 6]
[1, 6, 8, 9, 11]
[12, 10, 9, 11, 0]
[2, 7, 9, 1, 11]
[7, 1, 6, 2, 5]
[14, 7, 11, 3, 0]
[10, 2, 12, 5, 8]
[2, 5, 14, 11, 13]
[9, 8, 3, 5, 10]
[3, 7, 13, 11, 1]
[4, 11, 7, 8, 9]
[6, 12, 9, 11, 8]
[14, 13, 0, 12, 11]
[11, 10, 5, 12, 0]
[7, 6, 14, 10, 9]
[6, 12, 5, 4, 14]
[4, 7, 12, 14, 0]
[14, 10, 7, 12, 11]
[1, 9, 5, 14, 7]
[12, 1, 0, 4, 8]
[4, 2, 3, 0, 10]
[0, 14, 3, 1, 11]
[14, 4, 6, 8, 3]
[11, 2, 14, 3, 5]
[13, 7, 4, 5, 12]
[1, 5, 7, 14, 13]
[0, 4, 9, 14, 12]
[13, 9, 14, 5, 1]
[3, 13, 14, 6, 0]
[13, 10, 1, 4, 5]
[0, 11, 13, 4, 12]
[7, 5, 12, 0, 8]
[10, 14, 12, 1, 8]
[14, 6, 11, 10, 13]
[8, 11, 12, 10, 2]
[1, 0, 12, 4, 6]
[1, 0, 14, 5, 12]
[1, 4, 14, 13, 11]
[14, 2, 10, 3, 9]
[0, 2, 9, 7, 5]
[6, 10, 9, 8, 3]
[14, 0, 1, 5, 13]
[14, 6, 12, 8, 0]
[12, 9, 8, 2, 7]
[9, 6, 3, 7, 12]
[8, 2, 7, 14, 11]
[10, 6, 3, 7, 13]
[13, 11, 6, 12, 9]
[12, 5, 9, 14, 3]
[12, 7, 6, 13, 9]
[3, 13, 2, 7, 9]
[12, 13, 6, 1, 9]
[5, 4, 6, 1, 9]
[9, 13, 11, 14, 5]
[10, 5, 9, 3, 2]
[13, 2, 10, 12, 11]
[5, 14, 9, 4, 12]
[13, 6, 2, 7, 3]
[10, 4, 13, 14, 0]
[13, 3, 8, 4, 5]
[2, 11, 14, 8, 6]
[4, 11, 0, 9, 5]
[3, 10, 1, 6, 14]
[6, 14, 4, 3, 5]
[1, 8, 12, 11, 2]
[13, 7, 1, 9, 6]
[6, 4, 14, 3, 13]
[12, 9, 14, 2, 11]
[14, 5, 8, 7, 12]
[14, 9, 8, 11, 2]
[6, 9, 0, 2, 3]
[14, 7, 4, 0, 12]
[2, 14, 6, 4, 3]
[8, 9, 14, 5, 12]
[10, 13, 5, 11, 3]
[12, 2, 7, 6, 3]
