P1,P2,...,Pn
[6, 2, 11, 0]
[1, 14, 6, 12]
[8, 13, 9, 11]
[5, 8, 4, 0]
[2, 1, 3, 7]
[5, 11, 3, 8]
[9, 2, 12, 7]
[3, 10, 12, 1]
[5, 12, 9, 13]
[10, 3, 4, 9]
[9, 10, 12, 14]
[13, 7, 11, 14]
[2, 0, 10, 12]
[13, 2, 9, 8]
[2, 3, 4, 12]
[1, 13, 3, 0]
[5, 4, 14, 3]
[9, 13, 2, 1]
[7, 12, 6, 10]
[1, 12, 2, 13]
[1, 5, 11, 7]
[1, 6, 7, 12]
[10, 1, 12, 4]
[4, 5, 1, 2]
[1, 14, 9, 11]
[10, 6, 9, 11]
[13, 6, 5, 0]
[3, 12, 11, 10]
[14, 5, 12, 7]
[9, 5, 14, 13]
[2, 12, 9, 1]
[6, 5, 8, 0]
[1, 9, 11, 8]
[14, 1, 9, 4]
[13, 0, 7, 2]
[13, 0, 2, 12]
[6, 4, 2, 13]
[12, 0, 5, 2]
[13, 8, 4, 3]
[11, 10, 7, 9]
[1, 0, 11, 10]
[7, 0, 3, 13]
[13, 7, 11, 14]
[8, 11, 2, 3]
[1, 2, 9, 10]
[13, 9, 11, 2]
[13, 10, 1, 12]
[10, 5, 12, 2]
[13, 11, 7, 10]
[2, 9, 1, 8]
[1, 4, 5, 12]
[3, 4, 14, 1]
[1, 10, 13, 6]
[9, 1, 0, 11]
[6, 3, 12, 2]
[9, 0, 14, 1]
[10, 0, 6, 4]
[4, 11, 12, 14]
[8, 14, 4, 0]
[0, 5, 4, 1]
[0, 12, 13, 7]
[0, 9, 3, 2]
[4, 9, 8, 13]
[11, 0, 3, 2]
[12, 13, 2, 14]
[14, 7, 2, 1]
[0, 12, 6, 7]
[12, 6, 1, 7]
[7, 8, 1, 9]
[3, 11, 5, 12]
[11, 14, 9, 0]
[8, 3, 10, 2]
[14, 12, 13, 4]
[10, 2, 1, 8]
[10, 13, 9, 3]
[9, 13, 12, 10]
[5, 4, 3, 13]
[14, 12, 9, 3]
[6, 5, 8, 13]
[1, 5, 10, 4]
[12, 3, 6, 0]
[8, 14, 10, 3]
[11, 3, 6, 4]
[2, 7, 12, 9]
[14, 11, 1, 9]
[10, 4, 14, 1]
[5, 6, 9, 2]
[10, 0, 8, 2]
[3, 14, 1, 2]
[6, 1, 8, 14]
[3, 7, 2, 11]
[11, 6, 1, 14]
[3, 2, 1, 10]
[14, 3, 8, 13]
[1, 7, 4, 8]
[5, 0, 4, 6]
[4, 9, 14, 3]
[5, 13, 12, 7]
[13, 7, 6, 2]
[2, 14, 4, 8]
[5, 14, 3, 12]
[8, 13, 4, 3]
[4, 13, 7, 10]
[12, 6, 2, 10]
[8, 13, 9, 1]
[7, 5, 8, 9]
[9, 11, 3, 14]
[7, 4, 2, 3]
[3, 8, 0, 14]
[0, 9, 4, 3]
[13, 12, 7, 4]
[6, 1, 11, 0]
[12, 9, 10, 7]
[11, 9, 5, 13]
[8, 10, 2, 0]
[7, 6, 0, 11]
[1, 11, 13, 6]
[14, 6, 13, 10]
[14, 2, 4, 9]
[2, 9, 14, 12]
[7, 11, 0, 5]
[5, 9, 11, 4]
[7, 8, 2, 3]
[6, 2, 9, 11]
[10, 6, 2, 12]
[14, 0, 10, 4]
[4, 8, 6, 7]
[5, 7, 4, 9]
[6, 4, 10, 9]
[9, 8, 6, 1]
[0, 12, 13, 10]
[2, 7, 10, 0]
[9, 6, 7, 11]
[0, 9, 13, 3]
[4, 2, 3, 13]
